keyword,language,author,twitter_name,create_at,location,text,hashtag,tweets_count,retweet_count,favourite_count,date,time,sentiment
#arsenal,th,365liveball,@365liveball,2022-03-25 07:57:05+00:00,,"สื่อสเปนรายงานว่า อาร์เซน่อล ได้ส่งตัวแทนเข้าไปเจรจากับเอเย่นต์ของ ฟิลิปเป้ คูตินโญ่ แล้ว เพื่อสอบถามถึงความเป็นไปได้ในการเข้ามาเล่นในถิ่นเอมิเรตส์สเตเดียมซัมเมอร์นี้
#arsenal

*****************
📺ดูบอลสดฟรีที่เว็บ #365LIVEBALL
#ดูบอล #ดูบอลสด #ดูบอลฟรี https://t.co/7OC3xvfyPD",/arsenal/365LIVEBALL/ดูบอล/ดูบอลสด/ดูบอลฟรี,1,0,0,25/03/2022,07:57,positive
#arsenal,en,Mywin247bet,@Mywin247bet0,2022-03-25 23:54:14+00:00,Nigeria,"MATCH POSTPONED DUE TO COVID 19 OUTBREAK.
Arsenal vs Tottenham
Source #skysportsnews 

#mywin247bet 
#sports 
#arsenal https://t.co/ixhnzR5ZTt",/skysportsnews/mywin247bet/sports/arsenal,1,0,1,25/03/2022,23:54,negative
#arsenal,en,HA7 CLASSICAL SHIRTS,@HA7CLASSICS,2022-03-25 23:40:31+00:00,"London, United Kingdom","After our 350 shirt stock drop, We have now landed ANOTHER 150 VINTAGE FOOTBALL SHIRTS including some of these bangers, we will work hard to get them uploaded ASAP

#coventrycityfc #arsenal #afc #barcelonafc #FCB #ClassicFootballShirts #VintageFootballShirts #RetroFootballShirts https://t.co/teQfC1XZAI",/coventrycityfc/arsenal/afc/barcelonafc/FCB/ClassicFootballShirts/VintageFootballShirts/RetroFootballShirts,1,0,2,25/03/2022,23:40,negative
#arsenal,en,Albrecht Schulz🇺🇦,@CojaboBerlin,2022-03-25 23:39:45+00:00,"Wien, Österreich","#Tierney⚽🥅
#Ødegaard⚽🥅
#Pépé⚽🥅
#Balogun⚽🥅
#Guendouzi🅰️

#Arsenal players on international duty",/Tierney/Ødegaard/Pépé/Balogun/Guendouzi/Arsenal,1,0,2,25/03/2022,23:39,neutral
#arsenal,en,Albrecht Schulz🇺🇦,@CojaboBerlin,2022-03-25 23:28:24+00:00,"Wien, Österreich","#Ødegaard⚽🥅
#Pépé⚽🥅
#Balogun⚽🥅
#Guendouzi🅰️

#Arsenal players on international duty",/Ødegaard/Pépé/Balogun/Guendouzi/Arsenal,1,0,2,25/03/2022,23:28,neutral
#arsenal,en,James Anderson,@JamesAn5312225,2022-03-25 23:19:48+00:00,,Arsenal v Man U tickets is available dm for more enquirers #Arsenal #ManchesterUnited #tickets #PremierLeague #manchesterunitedy https://t.co/0mM2xIJrcl,/Arsenal/ManchesterUnited/tickets/PremierLeague/manchesterunitedy,1,0,3,25/03/2022,23:19,neutral
#arsenal,en,Warta Arsenal,@Warta_Arsenal,2022-03-25 23:19:22+00:00,,"Top story #Arsenal: Video on Twitter https://t.co/qQ5amdq0bV, see more https://t.co/ZeqWbX5brV",/Arsenal,1,0,0,25/03/2022,23:19,positive
#arsenal,en,K,@gooner_k95,2022-03-25 23:18:37+00:00,"London, England",Agent Odegaard please convince @ErlingHaaland to join @Arsenal 🙏🏿🤞🏾🤙🏾 #Arsenal #AFC #COYG #Haaland https://t.co/7t3MLBKlZb,/Arsenal/AFC/COYG/Haaland,1,0,1,25/03/2022,23:18,positive
#arsenal,en,DB_Arsenal,@db_arsenal,2022-03-25 23:13:10+00:00,,Looking at BBC scores in 2023 👏👏 #arsenal https://t.co/Fi4q9wBJFQ,/arsenal,1,0,0,25/03/2022,23:13,neutral
#arsenal,en,Senhor Benfica,@BenficaSenhor,2022-03-25 23:08:53+00:00,North America,"Update On Arsenal’s Pursuit Of This Benfica Star: Can Gunners Win The 3-way race?
https://t.co/lQdMTmTbCZ

#benfica #wearebenfica #pelobenfica #nossobenfica #arsenal #darwinnunez",/benfica/wearebenfica/pelobenfica/nossobenfica/arsenal/darwinnunez,1,0,0,25/03/2022,23:08,positive
