keyword,hashtag,count_hashtag,date
#bundesliga,bundesliga,92,22/03/2022
#bundesliga,football,11,22/03/2022
#bundesliga,laliga,10,22/03/2022
#bundesliga,bvb,9,22/03/2022
#bundesliga,seriea,9,22/03/2022
#bundesliga,epl,9,22/03/2022
#bundesliga,ligue1,8,22/03/2022
#bundesliga,ucl,8,22/03/2022
#bundesliga,best,7,22/03/2022
#bundesliga,season202122,7,22/03/2022
#bundesliga,sports,7,22/03/2022
#bundesliga,bundesligahighlights,6,22/03/2022
#bundesliga,bundesliga202122,6,22/03/2022
#bundesliga,highlights,6,22/03/2022
#bundesliga,premierleague,6,22/03/2022
#bundesliga,footballhighlights,6,22/03/2022
#bundesliga,app,6,22/03/2022
#bundesliga,ukraine,5,22/03/2022
#bundesliga,soccer,5,22/03/2022
#bundesliga,germany,5,22/03/2022
#bundesliga,championsleague,4,22/03/2022
#bundesliga,bayern,4,22/03/2022
#bundesliga,rbleipzig,4,22/03/2022
#bundesliga,herthaberlin,3,22/03/2022
#bundesliga,fcbayern,3,22/03/2022
#bundesliga,leipzig,3,22/03/2022
#bundesliga,onthisday,3,22/03/2022
#bundesliga,nft,3,22/03/2022
#bundesliga,serieatim,3,22/03/2022
#bundesliga,transfers,3,22/03/2022
#bundesliga,german,3,22/03/2022
#bundesliga,uel,3,22/03/2022
#bundesliga,bayernmunich,3,22/03/2022
#bundesliga,vfb,3,22/03/2022
#bundesliga,eredivisie,2,22/03/2022
#bundesliga,ballondor,2,22/03/2022
#bundesliga,rbl,2,22/03/2022
#bundesliga,barcelona,2,22/03/2022
#bundesliga,messi,2,22/03/2022
#bundesliga,bayernmunchen,2,22/03/2022
#bundesliga,hertha,2,22/03/2022
#bundesliga,spfl,2,22/03/2022
#bundesliga,herthabsc,2,22/03/2022
#bundesliga,vflwolfsburgo,2,22/03/2022
#bundesliga,standwithukraine,2,22/03/2022
#bundesliga,miasanmia,2,22/03/2022
#bundesliga,milan,2,22/03/2022
#bundesliga,ligaportugalbwin,2,22/03/2022
#bundesliga,fm22,2,22/03/2022
#bundesliga,footballmanager,2,22/03/2022
#bundesliga,blfantasy,2,22/03/2022
#bundesliga,footballmanager2022,2,22/03/2022
#bundesliga,stopputin,2,22/03/2022
#bundesliga,origi,2,22/03/2022
#bundesliga,uefa,2,22/03/2022
