keyword,language,author,twitter_name,create_at,location,text,hashtag,tweets_count,retweet_count,favourite_count,date,time,sentiment
#bundesliga,en,Jaymes,@jaymes_tf,2022-03-25 23:27:55+00:00,Brasil,"SC FREIBURG manager outfit V1

This is our first community test kit. If you have any problems just let us know, we'll try to solve it.

📢Install any mode that unlocks OUTFIT managers in career mode.

https://t.co/88I27FaXMa

#FIFA22 #SGFSCF  #Bundesliga  #FifaMods 
@scfreiburg https://t.co/UHG9rwMlyY",/FIFA22/SGFSCF/Bundesliga/FifaMods,3,2,16,25/03/2022,23:27,negative
#bundesliga,en,Stadium Landings,@StadiumLandings,2022-03-25 22:07:45+00:00,"Toronto, Ontario","Happy Friday Everyone! Please join us today on our final trip of the week with a visit to #Mainz #Germany to check out the incredible #MewaArena, home of @Mainz05en!

https://t.co/EYjy4ynQIu

#FSVMainz #GermanFootball #Bundesliga #Soccer #Football",/Mainz/Germany/MewaArena/FSVMainz/GermanFootball/Bundesliga/Soccer/Football,1,0,0,25/03/2022,22:07,positive
#bundesliga,en,julian daniel,@viewfromthetrev,2022-03-25 21:20:48+00:00,,"You’re Raphina, you’ve decided to leave Leeds and Barcelona, Bayern Munich, Liverpool &amp; Man City are in for you, who do you sign for? #FCBarcelona #BayernMunich #LFC #mcfc #lufc #transfers #PremierLeague #Laliga  #Bundesliga #MirrorSport https://t.co/hh1NJPNU9Z",/FCBarcelona/BayernMunich/LFC/mcfc/lufc/transfers/PremierLeague/Laliga/Bundesliga/MirrorSport,1,0,0,25/03/2022,21:20,negative
#bundesliga,en,FootballNotified,@FBNotified,2022-03-25 21:17:22+00:00,,"#BayerLeverkusen winger #MoussaDiaby has been one of the most interesting players in #Bundesliga this season. 

#Newcastle, #ManUtd and #Arsenal are interested in the french 22-year old who has a pricetag on €60m.

[Source: @berger_pj] https://t.co/gKVFsIXlib",/BayerLeverkusen/MoussaDiaby/Bundesliga/Newcastle/ManUtd/Arsenal,1,0,1,25/03/2022,21:17,positive
#bundesliga,en,Brian E. Christensen,@MrBrianEC1978,2022-03-25 21:14:21+00:00,"Skive, Denmark","@splatbukkake Try to look at the #Bundesliga🇩🇪, there you easily can find at least 7 players, who can 'kick out' names on this list😊",/Bundesliga,1,0,0,25/03/2022,21:14,positive
#bundesliga,en,Live Scores Footballᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠ,@Livescoresf,2022-03-25 21:01:45+00:00,Pakistan,"Bundesliga_EN: Eight clubs, one Champion 🏆

The countdown is on until the Virtual #Bundesliga Final.

https://t.co/pzbuDVOCfi https://t.co/NEBX7GCa5o",/Bundesliga,1,0,0,25/03/2022,21:01,positive
#bundesliga,en,Bundesliga English,@Bundesliga_EN,2022-03-25 21:00:01+00:00,"Frankfurt, Germany","Eight clubs, one Champion 🏆

The countdown is on until the Virtual #Bundesliga Final.

https://t.co/4kaHC3sOP7 https://t.co/Ve6TF2050C",/Bundesliga,6,5,37,25/03/2022,21:00,positive
#bundesliga,en,ᗪO᙭ᗩ-ᕼ ᑌᑎITEᗪ ᖴOOTᗷᗩᒪᒪ ᑕᒪᑌᗷ,@DoxahUnitedFC,2022-03-25 20:18:09+00:00,Humbly Follow Our Page,"🕒 90+3’ | GAME-OVER at Apenkwa Astro Turf

Eleven players, one beat of the heart. The champions went on to win.
💬 DOXA , GLORY 

DOXA-H UNITED 7️⃣ 🆚 2️⃣ ANTA SC
#Bundesliga #ChampionsLeague #Premier #GPL #ANDFALeague #EPL #ElClassico #DivisionLeague #Garfa #DoxaHUnited #DHUFC https://t.co/m77Ipzp2at",/Bundesliga/ChampionsLeague/Premier/GPL/ANDFALeague/EPL/ElClassico/DivisionLeague/Garfa/DoxaHUnited/DHUFC,1,0,3,25/03/2022,20:18,positive
#bundesliga,en,Coliseum Football Shirt Market,@ShirtColiseum,2022-03-25 19:11:30+00:00,,"Borussia Dortmund Home shirt  1996 - 1997 #10 #möller 
Size S available for sale Pm for more details 
#coliseumfsm #forsale #bvb09_trikots #bvb09 #matchworn #bvbtrikotsammlung #jerseycollective #schwarzgelb #echteliebe #borussiadortmund #fußball #trikot #bundesliga https://t.co/fi5mnwHax6",/möller/coliseumfsm/forsale/bvb09_trikots/bvb09/matchworn/bvbtrikotsammlung/jerseycollective/schwarzgelb/echteliebe/borussiadortmund/fußball/trikot/bundesliga,1,0,0,25/03/2022,19:11,neutral
#bundesliga,en,Newsnoon,@media_newsnoon,2022-03-25 19:05:17+00:00,,"Strettynews: Manchester United handed Manuel Akanji transfer boost #bundesliga #manunews.com #news
https://t.co/anaorr2WrI https://t.co/thKTp50l2P",/bundesliga/manunews/news,1,0,0,25/03/2022,19:05,positive
#bundesliga,en,Live Scores Footballᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠ,@Livescoresf,2022-03-25 19:01:29+00:00,Pakistan,"Bundesliga_EN: The race for #Bundesliga survival is heating up. 🌶🥵

Who's got a hot streak of form sizzling? 🍳🤔 https://t.co/RRiN1Rqjsr",/Bundesliga,1,0,0,25/03/2022,19:01,neutral
#bundesliga,en,Bundesliga English,@Bundesliga_EN,2022-03-25 19:00:01+00:00,"Frankfurt, Germany","The race for #Bundesliga survival is heating up. 🌶🥵

Who's got a hot streak of form sizzling? 🍳🤔 https://t.co/L3KFTOc9ja",/Bundesliga,7,6,97,25/03/2022,19:00,neutral
#bundesliga,en,PassIT,@Pass_IT_Ranking,2022-03-25 18:50:19+00:00,"Nottingham, England","How do #PassIT points work? 
100+ = Top League status - Leagues such as #LaLiga, #Bundesliga, #SerieA &amp; the #EnglishPremierLeague! This would mean that the player's status would be equivalent to someone who regularly performs in one of these leagues!",/PassIT/LaLiga/Bundesliga/SerieA/EnglishPremierLeague,1,0,0,25/03/2022,18:50,positive
#bundesliga,en,POTES CARTES : le podcast des trading cards,@potes_cartes,2022-03-25 18:11:06+00:00,,Le live c’est la en replay ! https://t.co/7swjHC0p5y @Topps #Bundesliga 2021-22 match attax topps chrome ⚽️🔥⚽️🔥⚽️,/Bundesliga,1,0,0,25/03/2022,18:11,neutral
#bundesliga,en,Bulinews.com – Bundesliga News,@bulinewsdotcom,2022-03-25 18:05:48+00:00,Global,Official: Kainz extends expiring contract through 2024 👉 https://t.co/ku15Wa0ZbP. #Effzeh #Bundesliga,/Effzeh/Bundesliga,1,0,1,25/03/2022,18:05,positive
#bundesliga,en,Best App,@whatisbestnow,2022-03-25 17:54:23+00:00,"Los Angeles, CA","Share the #Best #sports content
Download the Best #app : https://t.co/29sgyGIwF8 
#football #soccer #bundesliga #season202122 #buzzwire #bestofbrandt #bestofgoretzka #brandtgoal #buzzwirechallenge  https://t.co/cepW9Y7wxx https://t.co/XzMaVfolXx",/Best/sports/app/football/soccer/bundesliga/season202122/buzzwire/bestofbrandt/bestofgoretzka/brandtgoal/buzzwirechallenge,1,0,0,25/03/2022,17:54,positive
#bundesliga,en,Best App,@whatisbestnow,2022-03-25 17:54:23+00:00,"Los Angeles, CA","Share the #Best #sports content
Download the Best #app : https://t.co/29sgyGIwF8 
#football #soccer #bundesliga #season202122 #buzzwire #bestofbrandt #bestofgoretzka #brandtgoal #buzzwirechallenge  https://t.co/Jr3xfqQh62 https://t.co/lGKEL0xDbP",/Best/sports/app/football/soccer/bundesliga/season202122/buzzwire/bestofbrandt/bestofgoretzka/brandtgoal/buzzwirechallenge,1,0,0,25/03/2022,17:54,positive
#bundesliga,en,Best App,@whatisbestnow,2022-03-25 17:54:22+00:00,"Los Angeles, CA","What's #Best on https://t.co/Q5u4wVzMsE ?
Leon Goretzka Vs. Julian Brandt - Buzz Wire Challenge
https://t.co/wqOPmB5hLD
#sports #football #soccer #bundesliga #season202122 #buzzwire #bestofbrandt #bestofgoretzka #brandtgoal https://t.co/CIwSQw3SBP",/Best/sports/football/soccer/bundesliga/season202122/buzzwire/bestofbrandt/bestofgoretzka/brandtgoal,1,0,0,25/03/2022,17:54,positive
#bundesliga,en,.Best Top-Level Domain,@BestTLD,2022-03-25 17:54:14+00:00,,"Download the Best #app to share your #Best #sports content: https://t.co/3LwU9b70mg 
#football #soccer #bundesliga #season202122 #buzzwire #bestofbrandt #bestofgoretzka #brandtgoal #buzzwirechallenge  https://t.co/MRObkbGB4i https://t.co/jyzcA1NGnx",/app/Best/sports/football/soccer/bundesliga/season202122/buzzwire/bestofbrandt/bestofgoretzka/brandtgoal/buzzwirechallenge,1,0,0,25/03/2022,17:54,positive
#bundesliga,en,.Best Top-Level Domain,@BestTLD,2022-03-25 17:54:12+00:00,,"#Best of the day on https://t.co/2a7ToDp3ZJ
Leon Goretzka Vs. Julian Brandt - Buzz Wire Challenge
https://t.co/PrL0wyKQRL
#sports #football #soccer #bundesliga #season202122 #buzzwire #bestofbrandt #bestofgoretzka #brandtgoal",/Best/sports/football/soccer/bundesliga/season202122/buzzwire/bestofbrandt/bestofgoretzka/brandtgoal,1,0,1,25/03/2022,17:54,positive
#bundesliga,en,CYRIL FREMONT,@FremontCyril,2022-03-25 17:54:06+00:00,"Paris, France","What's #Best on https://t.co/ZQiMKSXeJS ?
Leon Goretzka Vs. Julian Brandt - Buzz Wire Challenge
https://t.co/jVYYUKK1p0
#sports #football #soccer #bundesliga #season202122 #buzzwire #bestofbrandt #bestofgoretzka #brandtgoal",/Best/sports/football/soccer/bundesliga/season202122/buzzwire/bestofbrandt/bestofgoretzka/brandtgoal,1,0,2,25/03/2022,17:54,positive
#bundesliga,en,FootiePunks,@footiepunks,2022-03-25 17:20:38+00:00,,"Check out the secondary market, many cool players listed under 0.02, like Coutinho, Matthäus or Olmo. If you're new to footiepunks, you might become our 50th unique collector 😉🚀

#NFT #NFTCommunity #opensea #EPL #Bundesliga #avfc https://t.co/bgTtWtz4rQ",/NFT/NFTCommunity/opensea/EPL/Bundesliga/avfc,2,1,13,25/03/2022,17:20,positive
#bundesliga,en,Live Scores Footballᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠ,@Livescoresf,2022-03-25 17:01:23+00:00,Pakistan,Bundesliga_EN: Staying big to deny one of the #Bundesliga's leading finishers - top-class goalkeeping from @FCKoeln_EN stopper Marvin Schwäbe! 👏 https://t.co/WMGxDhpLCH,/Bundesliga,1,0,0,25/03/2022,17:01,negative
#bundesliga,en,Bundesliga English,@Bundesliga_EN,2022-03-25 17:00:03+00:00,"Frankfurt, Germany",Staying big to deny one of the #Bundesliga's leading finishers - top-class goalkeeping from @FCKoeln_EN stopper Marvin Schwäbe! 👏 https://t.co/kSuqhZ1AyL,/Bundesliga,5,4,52,25/03/2022,17:00,negative
#bundesliga,en,Sorarefootballguide🇨🇭🇩🇪🇦🇹,@soraregerman,2022-03-25 16:37:44+00:00,Schweiz,"#sorare #price #preis #karten #pricedrop #nft #cards #bundesliga #germany #switzerland #austria 

credits to: 
https://t.co/3sG1NEisCs https://t.co/TjKs8SgW3g",/sorare/price/preis/karten/pricedrop/nft/cards/bundesliga/germany/switzerland/austria,1,0,1,25/03/2022,16:37,positive
#bundesliga,en,VfB Stuttgart Americana,@VfBAmericana,2022-03-25 16:11:09+00:00,"Great Lakes, USA","@MartinPanik1893 @VfB_int Absolutely ❤️ this idea! The 🇺🇸 market is wide open for a #Bundesliga club looking to take advantage of it… why can’t @VfB_int be that club?!

#VfB #hoorayVfB",/Bundesliga/VfB/hoorayVfB,1,0,19,25/03/2022,16:11,positive
#bundesliga,en,Live Scores Footballᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠ,@Livescoresf,2022-03-25 16:01:07+00:00,Pakistan,"Bundesliga_EN: 🗞️ @FCBayernEN to launch World Squad 2022 initiative  

https://t.co/0HHNfBjSTM

#Bundesliga",/Bundesliga,1,0,0,25/03/2022,16:01,neutral
#bundesliga,en,Bundesliga English,@Bundesliga_EN,2022-03-25 15:54:41+00:00,"Frankfurt, Germany","🗞️ @FCBayernEN to launch World Squad 2022 initiative  

https://t.co/U9ML1uBaxi

#Bundesliga",/Bundesliga,6,5,44,25/03/2022,15:54,neutral
