keyword,hashtag,count_hashtag,date
#bundesliga,bundesliga,86,13/04/2022
#bundesliga,laliga,21,13/04/2022
#bundesliga,seriea,19,13/04/2022
#bundesliga,chelseafc,10,13/04/2022
#bundesliga,hollywoodbets,10,13/04/2022
#bundesliga,betwaycodes,10,13/04/2022
#bundesliga,betway,10,13/04/2022
#bundesliga,bettingtips,10,13/04/2022
#bundesliga,bettingsports,10,13/04/2022
#bundesliga,sportpesachallenge,10,13/04/2022
#bundesliga,mamelodisundowns,10,13/04/2022
#bundesliga,sportpesa,10,13/04/2022
#bundesliga,egypt,10,13/04/2022
#bundesliga,sportingbet,10,13/04/2022
#bundesliga,premierleague,9,13/04/2022
#bundesliga,ligue1,9,13/04/2022
#bundesliga,soccer,8,13/04/2022
#bundesliga,football,5,13/04/2022
#bundesliga,ucl,5,13/04/2022
#bundesliga,bayernmunich,5,13/04/2022
#bundesliga,championsleague,4,13/04/2022
#bundesliga,sorare,4,13/04/2022
#bundesliga,ramadan,4,13/04/2022
#bundesliga,soccerbets,4,13/04/2022
#bundesliga,followback,3,13/04/2022
#bundesliga,transfers,3,13/04/2022
#bundesliga,fifa22,3,13/04/2022
#bundesliga,parimatch,3,13/04/2022
#bundesliga,germany,3,13/04/2022
#bundesliga,bovada,3,13/04/2022
#bundesliga,sportybet,3,13/04/2022
#bundesliga,bayern,3,13/04/2022
#bundesliga,betclic,3,13/04/2022
#bundesliga,skybet,3,13/04/2022
#bundesliga,melbet,3,13/04/2022
#bundesliga,williamhill,3,13/04/2022
#bundesliga,odibet,3,13/04/2022
#bundesliga,betwinner,3,13/04/2022
#bundesliga,paddypower,3,13/04/2022
#bundesliga,bet365,3,13/04/2022
#bundesliga,bet9ja,3,13/04/2022
#bundesliga,1xbet,3,13/04/2022
#bundesliga,betking,3,13/04/2022
#bundesliga,betfair,3,13/04/2022
#bundesliga,betfred,3,13/04/2022
#bundesliga,unibet,3,13/04/2022
#bundesliga,dortmund,2,13/04/2022
#bundesliga,epl,2,13/04/2022
#bundesliga,ajax,2,13/04/2022
#bundesliga,news,2,13/04/2022
#bundesliga,seriaa,2,13/04/2022
#bundesliga,uefa,2,13/04/2022
#bundesliga,möller,2,13/04/2022
#bundesliga,szoboszlai,2,13/04/2022
#bundesliga,dsc,2,13/04/2022
#bundesliga,bvb,2,13/04/2022
#bundesliga,teamfollowback,2,13/04/2022
#bundesliga,trophymanager,2,13/04/2022
#bundesliga,german,2,13/04/2022
#bundesliga,mainz,2,13/04/2022
#bundesliga,onthisday,2,13/04/2022
#bundesliga,europaleague,2,13/04/2022
#bundesliga,fußball,2,13/04/2022
#bundesliga,völler,2,13/04/2022
#bundesliga,vflwolfsburg,2,13/04/2022
#bundesliga,berlinderby,2,13/04/2022
#bundesliga,blfantasy,2,13/04/2022
#bundesliga,rbsalzburg,1,13/04/2022
#bundesliga,100words100days,1,13/04/2022
#bundesliga,patrickwimmer,1,13/04/2022
#bundesliga,rbleipzig,1,13/04/2022
#bundesliga,ramadanmubarak,1,13/04/2022
#bundesliga,ramadam,1,13/04/2022
#bundesliga,qatar2022,1,13/04/2022
#bundesliga,ps5,1,13/04/2022
#bundesliga,podcast,1,13/04/2022
#bundesliga,playstation5,1,13/04/2022
#bundesliga,playstation,1,13/04/2022
#bundesliga,phatzradiosports,1,13/04/2022
#bundesliga,rtl,1,13/04/2022
#bundesliga,passit,1,13/04/2022
#bundesliga,nkunku,1,13/04/2022
#bundesliga,nfl,1,13/04/2022
#bundesliga,nffc,1,13/04/2022
#bundesliga,robertlewandowski,1,13/04/2022
#bundesliga,stuttgart,1,13/04/2022
#bundesliga,s04,1,13/04/2022
#bundesliga,transfernews,1,13/04/2022
#bundesliga,youtube,1,13/04/2022
#bundesliga,worldcup,1,13/04/2022
#bundesliga,wolfsburg,1,13/04/2022
#bundesliga,wob,1,13/04/2022
#bundesliga,wimmer,1,13/04/2022
#bundesliga,whufc,1,13/04/2022
#bundesliga,wearpink,1,13/04/2022
#bundesliga,weareleipzig,1,13/04/2022
#bundesliga,uel,1,13/04/2022
#bundesliga,uefachampionsleague,1,13/04/2022
#bundesliga,tv,1,13/04/2022
#bundesliga,turkey,1,13/04/2022
#bundesliga,truevisions,1,13/04/2022
#bundesliga,transfertalk,1,13/04/2022
#bundesliga,transferdk,1,13/04/2022
#bundesliga,smsports,1,13/04/2022
#bundesliga,tradingcards,1,13/04/2022
#bundesliga,totw,1,13/04/2022
#bundesliga,tottenham,1,13/04/2022
#bundesliga,topps,1,13/04/2022
#bundesliga,thfc,1,13/04/2022
#bundesliga,thehobby,1,13/04/2022
#bundesliga,thegoalpostnews,1,13/04/2022
#bundesliga,sturm,1,13/04/2022
#bundesliga,streaming,1,13/04/2022
#bundesliga,stickerscollector,1,13/04/2022
#bundesliga,stickerscollection,1,13/04/2022
#bundesliga,stickers,1,13/04/2022
#bundesliga,sonyliv,1,13/04/2022
#bundesliga,soccerstickers,1,13/04/2022
#bundesliga,neuer,1,13/04/2022
#bundesliga,kingofsports,1,13/04/2022
#bundesliga,muller,1,13/04/2022
#bundesliga,coyi,1,13/04/2022
#bundesliga,bvb09,1,13/04/2022
#bundesliga,careermode,1,13/04/2022
#bundesliga,careermodechallenge,1,13/04/2022
#bundesliga,carrermode,1,13/04/2022
#bundesliga,collabwithjw,1,13/04/2022
#bundesliga,collegefootball,1,13/04/2022
#bundesliga,copaamerica,1,13/04/2022
#bundesliga,dayofpink,1,13/04/2022
#bundesliga,bundesligamatchfacts,1,13/04/2022
