keyword,language,author,twitter_name,create_at,location,text,hashtag,tweets_count,retweet_count,favourite_count,date,time,sentiment
#championsleague,en,cheerUPDATES,@cheerUPDATES,2022-04-09 23:59:00+00:00,United States,"The California All Stars ACES
Day 1 @Nfinity #ChampionsLeague

Part 2 of 2 https://t.co/j83vbfcXR8",/ChampionsLeague,4,3,10,09/04/2022,23:59,neutral
#championsleague,en,cheerUPDATES,@cheerUPDATES,2022-04-09 23:58:29+00:00,United States,"The California All Stars ACES
Day 1 @Nfinity #ChampionsLeague

Part 1 of 2 https://t.co/fnCvpx02Ls",/ChampionsLeague,4,3,13,09/04/2022,23:58,neutral
#championsleague,en,cheerUPDATES,@cheerUPDATES,2022-04-09 23:51:31+00:00,United States,"Top Gun AZ - TGOC, clean and polished for #CheerWorlds2022 🌎 so much talented coming out of Arizona! 

Day 1 @Nfinity #ChampionsLeague 
Part 2 of 2 https://t.co/sOwF8jzLKS",/CheerWorlds2022/ChampionsLeague,10,9,18,09/04/2022,23:51,positive
#championsleague,en,cheerUPDATES,@cheerUPDATES,2022-04-09 23:49:04+00:00,United States,"Top Gun AZ - TGOC, clean and polished for #CheerWorlds2022 🌎 so much talented coming out of Arizona! 

Day 1 @Nfinity #ChampionsLeague 
Part 1 of 2 https://t.co/MUphzsNcNy",/CheerWorlds2022/ChampionsLeague,9,8,18,09/04/2022,23:49,positive
#championsleague,en,cheerUPDATES,@cheerUPDATES,2022-04-09 23:41:42+00:00,United States,"The California All Stars - Lady Bullets — looking the best they have all season, with two weeks until Worlds. 

Day 1 @Nfinity #ChampionsLeague 

Part 2 of 2 https://t.co/HODKX9B3ml",/ChampionsLeague,3,2,29,09/04/2022,23:41,positive
#championsleague,en,cheerUPDATES,@cheerUPDATES,2022-04-09 23:41:17+00:00,United States,"The California All Stars - Lady Bullets — looking the best they have all season, with two weeks until Worlds. 

Day 1 @Nfinity #ChampionsLeague 

Part 1 of 2 https://t.co/5U3ovd8BF0",/ChampionsLeague,7,6,33,09/04/2022,23:41,positive
#championsleague,en,cheerUPDATES,@cheerUPDATES,2022-04-09 23:34:28+00:00,United States,"The California All Stars - SMOED 👈 things you can count on in April during #CheerWorlds 🌎 month… stunning 😍

Part 2 of 2 #ChampionsLeague https://t.co/poTzeekWj8",/CheerWorlds/ChampionsLeague,37,36,157,09/04/2022,23:34,positive
#championsleague,en,cheerUPDATES,@cheerUPDATES,2022-04-09 23:33:45+00:00,United States,"The California All Stars - SMOED 👈 things you can count on in April during #CheerWorlds 🌎 month… stunning 😍

Part 1 of 2 #ChampionsLeague https://t.co/vk1zaEPHMu",/CheerWorlds/ChampionsLeague,27,26,222,09/04/2022,23:33,positive
#championsleague,en,1xbet promo code: TAHMINBAHIS,@DreamLeagueSoo,2022-04-09 23:33:00+00:00,promo code : TAHMINBAHIS ,"#love #twitterers #smile #picoftheday #follow #fun #lol #friends #life #amazing #family #music #soccer #football #nfl #championsleague #match #sports #futbol #fifa #score #premierleague #league #team #kick #worldcup #game #futball

❌CLİCK HERE❌
🔻🔻👇👇
https://t.co/dV805SRflj https://t.co/hpFIbA92P1",/love/twitterers/smile/picoftheday/follow/fun/lol/friends/life/amazing/family/music/soccer/football/nfl/championsleague/match/sports/futbol/fifa/score/premierleague/league/team/kick/worldcup/game/futball,1,0,0,09/04/2022,23:33,positive
#championsleague,en,Ekong💚🦖,@the_ekong,2022-04-09 23:27:44+00:00,,"Btw if Chelsea qualify on Tuesday I’ll know football is as fake as wrestling
#ChampionsLeague",/ChampionsLeague,1,0,0,09/04/2022,23:27,negative
