keyword,language,author,twitter_name,create_at,location,text,hashtag,tweets_count,retweet_count,favourite_count,date,time,sentiment
#chelsea,th,Chelsea Thailand Fanclub,@CHELSEA_THFC,2022-04-13 16:57:01+00:00,,"จังหวะล็อคหลบเข้าทำประตูของ Timo Werner เมื่อคืนนี้ ⚽️💥

#UCL #CFC #Chelsea #ChelseaFc #CFCTHFC https://t.co/qoKStYhg7O",/UCL/CFC/Chelsea/ChelseaFc/CFCTHFC,2,1,9,13/04/2022,16:57,neutral
#chelsea,th,ควันหลงพรีเมียร์ลีก สตูดิโอ,@after_matchday,2022-04-13 14:47:01+00:00,,"ควันหลง UCL : Tuchel เจอทีเด็ดคนแก่แห่ง Real Madrid ประตูรวม 5-4 ราชันชุดขาวเข้ารอบ 
---------------------
#ควันหลงพรีเมียร์ลีก #Aftermatch #UCL #Chelsea #ThomasTuchel #RealMadrid #CarloAncelotti https://t.co/f1cunPLphH",/ควันหลงพรีเมียร์ลีก/Aftermatch/UCL/Chelsea/ThomasTuchel/RealMadrid/CarloAncelotti,4,3,2,13/04/2022,14:47,positive
#chelsea,th,P P,@CFC1629,2022-04-13 07:57:39+00:00,,"เป้าหมายที่เราต้องทำต่อจากนี้
-หาเจ้าของใหม่ให้ได้เร็วที่สุด และต่อสัญญานักเตะ
- เต็มที่กับถ้วยใบสุดท้าย FA Cup เพื่อลบฝันร้ายจากปีที่แล้ว
-รักษาอันดับ Top 4 เพื่อโควต้า UCL
-วางแผนเสริมทัพ และสนับสนุนการซื้อนักเตะของ ทูเคิ่ล อย่างเต็มที่ 💙
#Chelsea #ChelseaFC
#CFC #เชลซี https://t.co/CQtiViLQRt",/Chelsea/ChelseaFC/CFC/เชลซี,1,0,0,13/04/2022,07:57,positive
#chelsea,th,killers Pass 😉,@Marstians10,2022-04-13 05:41:58+00:00,,"บุกชนะมาดริดถึงสเปน เป็นทีมที่ 4 ต่อจาก อาร์เซน่อล ลิเวอร์พูล แมนเชสเตอร์ ซิตี้ พลิกนรกจนทำให้มาดริดหน้าเสีย 

แค่นี้มันยังไม่สุดยอดอีกหรอวะ

#Chelsea #CFC #CFCThai",/Chelsea/CFC/CFCThai,1,0,0,13/04/2022,05:41,negative
#chelsea,th,(พัก เหนื่อย),@fa_famb1a,2022-04-13 05:02:50+00:00,,เป็นเกมส์ที่น่าเสียดายจริงๆ แต่ทุกคนทำเต็มที่มากอ่ะ เลือดนักสู้เลย ที่ผ่านมาทีมเจอแต่อุปสรรคเยอะแยะเต็มไปหมด แต่ก็ผ่านมาได้ เป็นกำลังใจให้นะ จากเด็กหงส์  👊👊 #CFC #Chelsea https://t.co/zA24uNbPsX,/CFC/Chelsea,1,0,0,13/04/2022,05:02,positive
#chelsea,th,Thairath_Sport,@Thairath_Sport,2022-04-13 04:55:13+00:00,,"""เรอัล มาดริด"" ทำได้ สกอร์รวม 2 นัด ปราบ ""เชลซี"" ลิ่วรอบรองฯ ยูฟ่า แชมเปียนส์ลีก

https://t.co/ZgDjvCJ4ux

#เชลซี #เรอัลมาดริด #ยูฟ่าแชมเปียนส์ลีก #ข่าวฟุตบอล #chelsea #UCL #ไทยรัฐสปอร์ต #ไทยรัฐออนไลน์",/เชลซี/เรอัลมาดริด/ยูฟ่าแชมเปียนส์ลีก/ข่าวฟุตบอล/chelsea/UCL/ไทยรัฐสปอร์ต/ไทยรัฐออนไลน์,1,0,0,13/04/2022,04:55,positive
#chelsea,th,Goal Indy โกลอินดี้ ที่นี่มีแต่ฟุตบอล,@GoalIndy,2022-04-13 04:03:53+00:00,โกลอินดี้ ที่นี่มีแต่ฟุตบอล,"ไฮไลท์ยูฟ่า แชมเปี้ยนส์ลีก เรอัล มาดริด 2-3 (รวม 5-4) เชลซี
#RMACHEL #ChampionsLeague #RealMadrid #Chelsea  #ChelseaFC 
https://t.co/eAnvYJtUj4",/RMACHEL/ChampionsLeague/RealMadrid/Chelsea/ChelseaFC,2,1,1,13/04/2022,04:03,neutral
#chelsea,th,ชานซองจะเป็มคุมพ่อแล้ว,@Felin_Ona,2022-04-13 03:22:37+00:00,,"แมทช์เมื่อคืน ทีมกุเก่งมากกกกแล้วเว้ย so proud of u 💙 #CFC #CFCThai
#Chelsea",/CFC/CFCThai/Chelsea,1,0,1,13/04/2022,03:22,positive
#chelsea,th,😻พีบ๊อยซ์พอตเตอร์เฮด519,@PboiceP,2022-04-13 01:23:33+00:00,,เหมือนจะทำใจไม่ได้😭 #Chelsea https://t.co/uwuKLriMK1,/Chelsea,1,0,0,13/04/2022,01:23,neutral
#chelsea,th,Justtoonit,@Justtoonit1,2022-04-13 00:59:55+00:00,,"UCL Last night
Real Madrid (5)2-3(4) Chelsea
Bayern (1)1-1(2) Villarreal
ชปล.เมื่อคืนนี้คู่เชลซีลุ้นยาวยันต่อเวลา
ถึงเชลซีจะตกรอบแต่ก็ทำได้สุดยอดแล้ว 👍
ส่วนอูไนแสบอัดพี่เสือตกรอบ
#Chelsea #RealMadrid #Villareal #Bayern https://t.co/cvXt9xPr5b",/Chelsea/RealMadrid/Villareal/Bayern,19,18,26,13/04/2022,00:59,positive
#chelsea,th,thaiilace,@Juramer1,2022-04-13 00:59:27+00:00,Bangkok,"⚽#ผลบอลสด https://t.co/zVA8zKp73U
เชลซี ยันสกอร์นำ 3-0 เพื่อเข้ารอบไม่อยู่ ก่อนมาโดน คาริม เบนเซม่า ซัดประตูสำคัญช่วงต่อเวลาพิเศษให้ เรอัล มาดริด แซงชนะสกอร์รวม 5-4 เข้ารอบรองชนะเลิศ ยูฟ่า แชมเปี้ยนส์ ลีก
 #Thscore  #แชมเปี้ยนส์ลีก #ChampionsLeague #UCL #RealMadrid #Chelsea https://t.co/m98sCzA5ov",/ผลบอลสด/Thscore/แชมเปี้ยนส์ลีก/ChampionsLeague/UCL/RealMadrid/Chelsea,1,0,0,13/04/2022,00:59,positive
#chelsea,th,𝑻𝒉𝒆 𝑩𝒍𝒖𝒆𝒔,@Ouy_Villa,2022-04-13 00:00:17+00:00,,2 เดือนกว่าแล้วที่เชลซีโดนคว่ำบาตร โดนจำกัดหลายๆอย่างโดนตัดงบเดินทาง ต่อสัญญานักเตะไม่ได้ โดนจำกัดการหารายรับหลายๆด้าน แต่บอสและนักเตะเชลซียังทำงานอย่างหนักเพื่อทีม ต้องการชัยชนะเพื่อที่จะทำให้แฟนๆเชลซียิ้มได้ จะไม่รักเชลซีได้ยังไง 💙 #CFC #CHELSEA https://t.co/vt0BHbTX9M,/CFC/CHELSEA,1,0,3,13/04/2022,00:00,negative
#chelsea,en,Chris Ryder,@cryder11,2022-04-13 23:58:01+00:00,Anytown USA,"All these years and I only really just noticed there is no pro English soccer team with London in the name. I get #Arsenal, #Chelsea, #Tottenham and all rest by location, but why no London. Every other big Euro city has one.",/Arsenal/Chelsea/Tottenham,1,0,0,13/04/2022,23:58,negative
#chelsea,en,Absolute Chelsea,@AbsoluteChelsea,2022-04-13 23:52:08+00:00,,"Larry Tanenbaum on #Chelsea bid:

“Steve [Pagliuca] and I are committed to supporting a championship-winning team, building a state-of-the-art stadium at Stamford Bridge, investing in our academy and women’s teams and making a real difference in the community.

[via @MailSport]",/Chelsea,36,35,523,13/04/2022,23:52,positive
#chelsea,en,Pete Davis,@PeteDavisMe,2022-04-13 23:39:42+00:00,"Paradise Valley, AZ","I can live with Chelsea losing in tough fashion yesterday, I do no think I can live with a possible Ricketts ownership... #Chelsea #ChampionsLeague #NoToRicketts",/Chelsea/ChampionsLeague/NoToRicketts,1,0,1,13/04/2022,23:39,negative
#chelsea,en,SHOUGAMI89,@shougami89,2022-04-13 23:32:40+00:00,"Mumbai, India","@siphillipssport @ChelseaFC @ThomasTuchel_  take @UEFA @UEFAcom @realmadriden to  @ArbitralduSport . We #Chelsea fans demand it. #Royalism shouldn't exist, the goal was not handball. We demand real madrid to be removed from the @ChampionsLeague 

@CFCDaily @CFCPys man up &amp; voice up #fuckmadrid",/Chelsea/Royalism/fuckmadrid,1,0,1,13/04/2022,23:32,neutral
#chelsea,en,Rah Sow,@RahSow1,2022-04-13 23:28:15+00:00,,"We #Chelsea did what we could and we got robbed , who are the one's making decisions in the video assisting room , this is not cool ⚽
#Uefa #Fifa Change is needed 🤐",/Chelsea/Uefa/Fifa,1,0,1,13/04/2022,23:28,negative
#chelsea,en,Champion’s Tickets 🎟,@Champtickets,2022-04-13 23:21:03+00:00,United Kingdom,"CHELSEA END
FA CUP SEMI FINAL
CAT 2 Available - Singles, Pairs and Threes. FACE VALUE
#chelseatickets #chelseaspares #cfcspares #Wembley #Chelsea @CFCspares @ChelseaTickets2 @SparesCFC",/chelseatickets/chelseaspares/cfcspares/Wembley/Chelsea,1,0,0,13/04/2022,23:21,neutral
#chelsea,en,RJ,@RJ_Goodthings,2022-04-13 23:14:31+00:00,,"Lots of speculation about the long term future of Timo Werner at Chelsea. And rightfully so given his output hasn't lived up to expectations.

That said, his ability to do the intangibles right &amp; remain determined should be applauded 👏. 🤞 his good form continues  #CFC #Chelsea https://t.co/lGbEBRvkBm",/CFC/Chelsea,1,0,8,13/04/2022,23:14,positive
#chelsea,en,Esquema Tático,@E_Tatico,2022-04-13 23:02:02+00:00,,"ET Analisa - Real Madrid 2x3 Chelsea / Bayern Munchen 1x1 Villarreal
Link: https://t.co/MmbRHDLLwK
#RealMadrid #Chelsea #Villarreal #Bayern #Benzema #ChampionsLeague #Chelseareal @VillarrealCF #Rodrygo #ViniJr @realmadrid https://t.co/hERz25UlZp",/RealMadrid/Chelsea/Villarreal/Bayern/Benzema/ChampionsLeague/Chelseareal/Rodrygo/ViniJr,1,0,0,13/04/2022,23:02,neutral
#chelsea,en,Scott,@Sh4zam_,2022-04-13 23:00:35+00:00,Glasgow,"When we get a new owner for Chelsea these are the players I want in the summer :
Lewandowski
Dembele 
Kounde 
Tchouameni 
Back up LWB

#Chelsea",/Chelsea,1,0,1,13/04/2022,23:00,positive
#chelsea,en,Alex Peers,@djthemes_cfc,2022-04-13 22:59:26+00:00,"Burlington, Ontario",We have to Win the #FACup at the very least this season! 1st step reaching the final itself! Come On #Chelsea take out all your frustration on Palace this weekend! Let's crush them! 💪💙 #CFC #CHECRY #EmiratesFACup https://t.co/8wmBZ9GIA8,/FACup/Chelsea/CFC/CHECRY/EmiratesFACup,1,0,0,13/04/2022,22:59,positive
#chelsea,en,jacki,@Olahitan12,2022-04-13 22:47:40+00:00,"Lagos, Nigeria",You can feel juice for the night. #Wizkid #Davido #PeterObi #Chelsea https://t.co/aPVQmC0ba4,/Wizkid/Davido/PeterObi/Chelsea,1,0,0,13/04/2022,22:47,neutral
#chelsea,en,TS27,@Sknz27,2022-04-13 22:45:27+00:00,"California, USA",Need him back #Chelsea https://t.co/PrJkT0E63n,/Chelsea,1,0,1,13/04/2022,22:45,neutral
#chelsea,en,Matthew Harris,@MatthewH2992,2022-04-13 22:37:24+00:00,"Kidlington, England",@piersmorgan you really are the first class most hatred arsehole ever saying about our Thomas Tuchel being embarrassed do us a favour Mr Morgan…. Shut your face your team haven’t won any Europe trophies since Arsene Wanker was there #CFC #Chelsea #SuperTuchel #ChampionsofEurope,/CFC/Chelsea/SuperTuchel/ChampionsofEurope,1,0,0,13/04/2022,22:37,negative
#chelsea,en,asadMmanc,@asadMManc,2022-04-13 22:36:23+00:00,,"Only person to save foden from savic next season in ucl.
#ATLMCI #AtleticoMadrid #Atleticomancity #AtleticoCity #mancity #Liverpool #chelsea https://t.co/9pGlTLfIRD",/ATLMCI/AtleticoMadrid/Atleticomancity/AtleticoCity/mancity/Liverpool/chelsea,1,0,1,13/04/2022,22:36,positive
#chelsea,en,The Footballyst,@TFootballyst,2022-04-13 22:30:17+00:00,,"Even if Chelsea felt triumph, read the headlines, and heard the exultant cry from the rafters of the Bernabeu at different moments throughout a fantastic evening, there would be no miracle.

#realmadrid #chelsea #championsleague #benzema #modric

https://t.co/MMzV8s2sTa https://t.co/tlEggYl1JD",/realmadrid/chelsea/championsleague/benzema/modric,1,0,1,13/04/2022,22:30,positive
#chelsea,en,Vitmus,@Vitmus_,2022-04-13 22:28:50+00:00,"England, United Kingdom",#Chelsea fan base full a hypocrites smh one minute they love you them a next minute the want to kill you… no wonder Jesus hasn’t returned as yet,/Chelsea,1,0,1,13/04/2022,22:28,negative
#chelsea,en,Pat Yareh,@PatYareh,2022-04-13 22:27:36+00:00,,"@Blue_Footy Love Jody but please can we remind the World what these players, coach and club have been through the last few months!!!! Reality check #Chelsea have over achieved given the circumstances",/Chelsea,1,0,1,13/04/2022,22:27,positive
#chelsea,en,Alex. E,@AlexTrendy1,2022-04-13 22:13:55+00:00,"Egan, Nigeria","https://t.co/4C9S952hZl

#NFTs #football #Chelsea Chelsea #crypto",/NFTs/football/Chelsea/crypto,1,0,0,13/04/2022,22:13,neutral
#chelsea,en,Total Futbol,@TotalFutbol2019,2022-04-13 22:12:29+00:00,"London, England",Massive congratulations to TFs U13s player Raphie who had a successful trial at Chelsea FC.  Raphie will be missed by all the boys and coaching staff. It’s been a pleasure to have you with us and hope you continue to enjoy your football. #stayhungry  # #chelsea  #jpl @jpluk ⚽️ https://t.co/8Oh426OP9p,/stayhungry/chelsea/jpl,1,0,8,13/04/2022,22:12,positive
#chelsea,en,BENNIE,@BENJIZEE,2022-04-13 22:08:43+00:00,Worldwide 🌐,"@goal The #Blues aren't in the semi's, but they fought gallantly as a true defending champion that didn't let go of their title easily #Chelsea #RMAvsCHE #UCL",/Blues/Chelsea/RMAvsCHE/UCL,1,0,4,13/04/2022,22:08,positive
#chelsea,en,Ramin Narimani,@RaminNarimani,2022-04-13 22:06:57+00:00,"Tehran, Iran",What a path for @realmadriden in 2022 #UCL knockout phase! After eliminating #PSG &amp; #Chelsea now would play against #ManCity in semis. I guess #UEFA should bring a new rule that avoids playing more than two sheikh/oligarch clubs in knockout stage #HalaMadrid,/UCL/PSG/Chelsea/ManCity/UEFA/HalaMadrid,2,1,1,13/04/2022,22:06,positive
#chelsea,en,Mason,@MasonNews15,2022-04-13 22:05:48+00:00,,"🚨|#MUFC have made contact with Antonio Rudiger’s and Jurrien Timber’s representatives today ✅

Timber is top of the list…Rudiger deal looks unlikely as of now but never say never in football 👀

#MUFC🔴 #Ajax 🔴⚪️#Chelsea 🔵",/MUFC/MUFC/Ajax/Chelsea,3,2,4,13/04/2022,22:05,positive
#chelsea,en,عّز تشيلسِي | #بطل_العالم .,@3zzox0,2022-04-13 22:04:21+00:00,,"- PROUD OF THIS TEAM 💙 .
#CFC , #Chelsea . https://t.co/xNmAP7WFBf",/CFC/Chelsea,1,0,0,13/04/2022,22:04,positive
#chelsea,en,Barbie Jedah,@BarbieJedah,2022-04-13 22:04:20+00:00,Cincinnati ,"Copy writers on twitter say ""Hi""
#Easter #womenintech #FreeMint #amwriting #Chelsea",/Easter/womenintech/FreeMint/amwriting/Chelsea,1,0,0,13/04/2022,22:04,neutral
#chelsea,en,CmonYouSpurs...!!!,@SpursYou,2022-04-13 22:04:13+00:00,USA,😂😂😂 Chelsea suffer when Arsenal suffer.  #Chelsea❤️Arsenal etc. sorry Chelsea but …….. worth tweeting. Carry on with your “Stand Up” togetherness song. While we laugh at both of you’s. https://t.co/5W8H4L3A2d,/Chelsea,2,1,2,13/04/2022,22:04,positive
#chelsea,en,Nol #NoToRicketts,@CFCnol,2022-04-13 22:02:43+00:00,,"people think this season has been shit because of the chaos and some painful moments, but we have won two trophies with a third quite possible and are going to emerge from one of the most turbulent times in the clubs history even stronger. keep the faith. #chelsea",/chelsea,1,0,0,13/04/2022,22:02,positive
#chelsea,en,Dennis Ivan Opoku 🇬🇭🔥🔥,@ivanopokugh,2022-04-13 21:56:40+00:00,Ghana,"Congrats to Chelsea for playing well. 

#AtletiManCity #Guardiola #UCL #Chelsea https://t.co/oCQzKyL9dn",/AtletiManCity/Guardiola/UCL/Chelsea,1,0,0,13/04/2022,21:56,positive
#chelsea,en,Mad Mathematico,@Pabby_01,2022-04-13 21:46:18+00:00,Lasgidi,"Buh we need to cut TT and the team some slack, they are humans like us. Even the UCL final, Tuchel did not make any defensive subs and it worked, so why are we clamouring for it now.

I am sure TT will learn from this.
#COYB #Chelsea",/COYB/Chelsea,1,0,1,13/04/2022,21:46,positive
#chelsea,en,E S 𝗤 𝙸 𝗨,@esqiu_index,2022-04-13 21:46:16+00:00,🌐 ,"You don't have to explain or apologize for it. EVER 🦅

-unique team 💙
-unique spirit 💙

#blues #Chelsea 🕊️ https://t.co/gi4YeURBbj",/blues/Chelsea,1,0,0,13/04/2022,21:46,positive
#chelsea,en,Jack Craig,@JackCraig28_,2022-04-13 21:40:45+00:00,,"My Predicted Chelsea semi final line up!

Mendy (gk)

Alonso (lb)
Sliva (cb)
Ruidger (cb)
James (rb)

Kante (cm)
Jorghino (cm)
Mateo (cm)

Mount (cf)
Havertz (lf)
Werner (rf)

#Chelsea #FACup",/Chelsea/FACup,1,0,0,13/04/2022,21:40,neutral
#chelsea,en,Mo,@Mohammed2030___,2022-04-13 21:39:25+00:00,United States,"Best reply in Twitter ever
#Chelsea 
#RealMadrid https://t.co/DoNXSSjmjj",/Chelsea/RealMadrid,1,0,0,13/04/2022,21:39,positive
#chelsea,en,KasKay,@AmtheeKas,2022-04-13 21:36:43+00:00,"Lusaka, Zambia",#Chelsea what a game we had https://t.co/ZOPPkFXmJj,/Chelsea,1,0,1,13/04/2022,21:36,neutral
#chelsea,en,Wow Chows,@wowchows,2022-04-13 21:36:26+00:00,,woof #Chelsea,/Chelsea,1,0,0,13/04/2022,21:36,neutral
#chelsea,en,Fan Banter,@fan_banter,2022-04-13 21:30:00+00:00,United Kingdom,"Simon Jordan argues for an ‘Orange Card’ to be introduced into football  -  https://t.co/pKjyVYF0bF

#arsenal #avfc #brentfordfc #bhafc #twitterclarets #chelsea #cpfc #everton #lufc #lcfc #lfc #ynwa #mancity #mufc #nufc #ncfc #saintsfc #thfc #coys #watfordfc #whufc #coyi #wwfc",/arsenal/avfc/brentfordfc/bhafc/twitterclarets/chelsea/cpfc/everton/lufc/lcfc/lfc/ynwa/mancity/mufc/nufc/ncfc/saintsfc/thfc/coys/watfordfc/whufc/coyi/wwfc,2,1,0,13/04/2022,21:30,negative
#chelsea,en,César Valera,@actuallycesar,2022-04-13 21:29:20+00:00,"Nova Scotia, Canada","With the struggles that @ChelseaFC will have this transfer window, and with #Christensen almost being set on going @FCBarcelona in the summer, They’ll have no choice but to overpay for @ToniRuediger. Really makes you think about departures like @fikayotomori_ and #Guéhi #Chelsea",/Christensen/Guéhi/Chelsea,1,0,0,13/04/2022,21:29,positive
