keyword,hashtag,count_hashtag,date
#facup,facup,71,24/03/2022
#facup,mcfc,19,24/03/2022
#facup,lfc,18,24/03/2022
#facup,ucl,11,24/03/2022
#facup,lufc,9,24/03/2022
#facup,cfc,9,24/03/2022
#facup,thfc,8,24/03/2022
#facup,mancity,8,24/03/2022
#facup,realfootballcast,8,24/03/2022
#facup,premierleague,7,24/03/2022
#facup,chelsea,7,24/03/2022
#facup,wembley,6,24/03/2022
#facup,fa,6,24/03/2022
#facup,football,5,24/03/2022
#facup,epl,5,24/03/2022
#facup,liverpool,3,24/03/2022
#facup,guardiola,3,24/03/2022
#facup,mufc,2,24/03/2022
#facup,ynwa,2,24/03/2022
#facup,pl,2,24/03/2022
#facup,soccer,2,24/03/2022
#facup,crystalpalace,2,24/03/2022
#facup,cpfc,2,24/03/2022
#facup,neutralground,2,24/03/2022
#facup,chelseafc,2,24/03/2022
#facup,championsleague,2,24/03/2022
#facup,whufc,2,24/03/2022
#facup,treblepossible,2,24/03/2022
#facup,molineux,1,24/03/2022
#facup,maclaren,1,24/03/2022
#facup,premireleague,1,24/03/2022
#facup,manchestercity,1,24/03/2022
#facup,manutd,1,24/03/2022
#facup,pre,1,24/03/2022
#facup,mciliv,1,24/03/2022
#facup,phatzradiosports,1,24/03/2022
#facup,peterknowles,1,24/03/2022
#facup,mls,1,24/03/2022
#facup,ottmarhitzfeld,1,24/03/2022
#facup,onenil,1,24/03/2022
#facup,memorabilia,1,24/03/2022
#facup,luton,1,24/03/2022
#facup,metaverse,1,24/03/2022
#facup,queen,1,24/03/2022
#facup,manchesterderby,1,24/03/2022
#facup,nans,1,24/03/2022
#facup,abbeyroad,1,24/03/2022
#facup,redhair,1,24/03/2022
#facup,romanabramovich,1,24/03/2022
#facup,worldcup2022,1,24/03/2022
#facup,worldcup,1,24/03/2022
#facup,wolverhamptonwanderers,1,24/03/2022
#facup,whueve,1,24/03/2022
#facup,waalwijk,1,24/03/2022
#facup,vitesse,1,24/03/2022
#facup,ukrainerussianwar,1,24/03/2022
#facup,ukraine,1,24/03/2022
#facup,ukgovernment,1,24/03/2022
#facup,towerbridge,1,24/03/2022
#facup,touts,1,24/03/2022
#facup,theroyals,1,24/03/2022
#facup,theelions,1,24/03/2022
#facup,the,1,24/03/2022
#facup,stamfordbridge,1,24/03/2022
#facup,sports,1,24/03/2022
#facup,sportingmemoriesmemorabilia,1,24/03/2022
#facup,soumci,1,24/03/2022
#facup,sniffer,1,24/03/2022
#facup,siralexferguson,1,24/03/2022
#facup,seriea,1,24/03/2022
#facup,lutche,1,24/03/2022
#facup,sarr,1,24/03/2022
#facup,russia,1,24/03/2022
#facup,ronflowers,1,24/03/2022
#facup,selhurstpark,1,24/03/2022
#facup,leicestercityfc,1,24/03/2022
#facup,london,1,24/03/2022
#facup,liverpoolfc,1,24/03/2022
#facup,emiratesfacup,1,24/03/2022
#facup,easter,1,24/03/2022
#facup,crystalpalaceeverton,1,24/03/2022
#facup,coyi,1,24/03/2022
#facup,cotediviore,1,24/03/2022
#facup,copaamerica,1,24/03/2022
#facup,commemorative,1,24/03/2022
#facup,city,1,24/03/2022
#facup,child,1,24/03/2022
#facup,chelseafans,1,24/03/2022
#facup,championship,1,24/03/2022
#facup,champions,1,24/03/2022
#facup,carabaocup,1,24/03/2022
#facup,carabao,1,24/03/2022
#facup,cap,1,24/03/2022
#facup,campaignagainstchelsea,1,24/03/2022
#facup,bundesliga,1,24/03/2022
#facup,buckinghampalace,1,24/03/2022
#facup,blues,1,24/03/2022
#facup,birthdayboy,1,24/03/2022
#facup,birthday,1,24/03/2022
#facup,bigben,1,24/03/2022
#facup,bids,1,24/03/2022
#facup,avfc,1,24/03/2022
#facup,applemusic,1,24/03/2022
#facup,apeldoorn,1,24/03/2022
#facup,ajah,1,24/03/2022
#facup,engciv,1,24/03/2022
#facup,epls,1,24/03/2022
#facup,eredivisie,1,24/03/2022
#facup,goahead,1,24/03/2022
#facup,ligue1,1,24/03/2022
#facup,abromovich,1,24/03/2022
#facup,leicestercity,1,24/03/2022
#facup,legoncitiesdreams,1,24/03/2022
#facup,legend,1,24/03/2022
#facup,lcfc,1,24/03/2022
#facup,laliga,1,24/03/2022
#facup,kids,1,24/03/2022
#facup,keeper,1,24/03/2022
#facup,istandwithputin,1,24/03/2022
#facup,harden,1,24/03/2022
#facup,happybirthday,1,24/03/2022
#facup,georgebest,1,24/03/2022
#facup,etihad,1,24/03/2022
#facup,gardenlodge,1,24/03/2022
#facup,gamblingtwitter,1,24/03/2022
#facup,freddiemercury,1,24/03/2022
#facup,freddie,1,24/03/2022
#facup,footballforfans,1,24/03/2022
#facup,folake,1,24/03/2022
#facup,finesse,1,24/03/2022
#facup,fc,1,24/03/2022
#facup,fans,1,24/03/2022
#facup,facupfinal,1,24/03/2022
#facup,exogun,1,24/03/2022
#facup,europaleague,1,24/03/2022
#facup,youth,1,24/03/2022
