keyword,language,author,twitter_name,create_at,location,text,hashtag,tweets_count,retweet_count,favourite_count,date,time,sentiment
#facup,th,ฐานเศรษฐกิจ,@Thansettakij,2022-04-17 23:10:00+00:00,"จตุจักร, กรุงเทพมหานคร","ผลบอลล่าสุด เชลซี ชนะ คริสตัล พาเลซ เข้าชิง FA Cup กับ ลิเวอร์พูล

#เชลซี #ChelseaFC #Liverpool #FACup #ฐานเศรษฐกิจ
https://t.co/2U3vwVriVv",/เชลซี/ChelseaFC/Liverpool/FACup/ฐานเศรษฐกิจ,1,0,5,17/04/2022,23:10,positive
#facup,th,Goal Indy โกลอินดี้ ที่นี่มีแต่ฟุตบอล,@GoalIndy,2022-04-17 17:49:45+00:00,โกลอินดี้ ที่นี่มีแต่ฟุตบอล,"ไฮไลท์เอฟเอ คัพ 2021-2022 (รอบรอง) เชลซี 2-0 คริสตัล พาเลซ 
#FACup #FACupSemiFinal #ChelseaCrystalPalace #ChelseaFC 

https://t.co/CEKiCM2wTN",/FACup/FACupSemiFinal/ChelseaCrystalPalace/ChelseaFC,2,1,1,17/04/2022,17:49,neutral
#facup,th,NRsports,@n_rsports,2022-04-17 17:36:01+00:00,,"FT เชลซี 2-0 คริสตัล พาเลซ

+++++++++++
FIFA ONLINE 4 ""Gen ไหนก็บอลได้""
เกมฟุตบอลออนไลน์ฟรี บน PC และ มือถือ
พร้อมให้คอบอลไปมันส์สะใจกันในสนามกันแล้ว! #facup #chelsea #crystalpalace https://t.co/MXmdlGgfIB",/facup/chelsea/crystalpalace,1,0,13,17/04/2022,17:36,positive
#facup,th,จีรพงษ์ ประเสริฐพลกรัง,@jeerapong_pra,2022-04-17 17:26:39+00:00,"ÜT: 13.77591,100.511974",ผลบอลล่าสุด เชลซี ชนะ คริสตัล พาเลซ เข้าชิง FA Cup กับ ลิเวอร์พูล https://t.co/doT8X6uXWc  #เชลซี #ChelseaFC #Liverpool #FACup https://t.co/u2TI8jDWq0,/เชลซี/ChelseaFC/Liverpool/FACup,2,1,0,17/04/2022,17:26,positive
#facup,th,NOOK,@Nooknoo35050507,2022-04-17 16:11:54+00:00,Thailand,อย่าพุ่งสิ น้องไค กรรมการเห็นนะ #CHECRY #Chelsea #FACup,/CHECRY/Chelsea/FACup,1,0,0,17/04/2022,16:11,neutral
#facup,th,Liverpool.in.th,@liverpool_in_th,2022-04-17 16:10:55+00:00,"Bangkok, Thailand","เจอร์เก้น คล็อปป์ บอกว่าอย่าไปตำหนิการเสียประตูของ แซค สเตฟเฟ่น เลย แต่มาให้เครดิตความยอดเยี่ยมกับ ซาดิโอ มาเน่ กับความขยันที่วิ่งกดดันจนสบโอกาสสไลด์บอลจนได้ประตูในเกมเอฟเอ คัพ ที่ชนะ แมนฯ ซิตี้ 3-2 

👉 https://t.co/ycU3DDrCyN
#FACup #Klopp #Mane #Steffen #lfcthai @please7 https://t.co/YODACAOvUE",/FACup/Klopp/Mane/Steffen/lfcthai,2,1,14,17/04/2022,16:10,negative
#facup,th,นนท์ คนกรุง,@AnonKonkung,2022-04-17 15:33:05+00:00,,เพิ่งรู้ว่าตัวเองมีแพ็กเกจ #Truevisionnow ที่ดูบอล #FACup  ได้ สมัครจนลืม 😅 #CHECRY https://t.co/tMP9CA3moJ,/Truevisionnow/FACup/CHECRY,1,0,1,17/04/2022,15:33,negative
#facup,th,Liverpool.in.th,@liverpool_in_th,2022-04-17 15:08:13+00:00,"Bangkok, Thailand","เป๊ป กวาร์ดิโอล่า นายใหญ่ แมนฯ ซิตี้ ไม่กล่าวโทษความผิดพลาดของ แซค สเตฟเฟ่น นายประตูของตัวเองที่ประมาทจนโดน ซาดิโอ มาเน่ พุ่งสไลด์บอลเข้าประตูในเกมที่พ่ายต่อ ลิเวอร์พูล 2-3 

👉 https://t.co/z1FUmyfOib
#FACup #Steffen #Guardiola #Mane #LiverpoolInThailand #lfcthai @please7 https://t.co/TtsFmnkLev",/FACup/Steffen/Guardiola/Mane/LiverpoolInThailand/lfcthai,1,0,4,17/04/2022,15:08,negative
#facup,th,Liverpool.in.th,@liverpool_in_th,2022-04-17 15:02:08+00:00,"Bangkok, Thailand","เฟอร์จิล ฟาน ไดค์ มองว่าทีมของเขาทำได้อย่างสมบูรณ์แบบในการเจอกับแมนฯ ซิตี้ ในศึกเอฟเอ คัพ รอบรองชนะเลิศ เมื่อวันเสาร์ที่ผ่านมา แต่ครึ่งหลังดันทำตัวเองให้เข้าสู่สถานการณ์ที่ลำบากเอง 

👉 https://t.co/cPhH6dLPLs
#FACup #VanDijk #LiverpoolInThailand #lfcthai @please7 https://t.co/LFA7Wuoapa",/FACup/VanDijk/LiverpoolInThailand/lfcthai,2,1,6,17/04/2022,15:02,positive
#facup,th,Liverpool.in.th,@liverpool_in_th,2022-04-17 14:35:23+00:00,"Bangkok, Thailand","จอห์น เทอร์รี่ อดีตกองหลังยอมรับว่าเซอร์ไพรส์มากกับการจัดตัวผู้เล่นลงสนามในศึกเอฟเอ คัพ รอบรองของ เป๊ป กวาร์ดิโอล่า ซึ่งผลปรากฏว่าพวกเขาเป็นฝ่ายพ่ายต่อลิเวอร์พูล 2-3
 https://t.co/V3RW7R7ga4
#FACup #Terry #Guardiola #LiverpoolInThailand #lfcthai @please7 https://t.co/Qx8tg8eswH",/FACup/Terry/Guardiola/LiverpoolInThailand/lfcthai,1,0,8,17/04/2022,14:35,neutral
