keyword,language,author,twitter_name,create_at,location,text,hashtag,tweets_count,retweet_count,favourite_count,date,time,sentiment
#fathailand,th,Changsuek,@Changsuek_TH,2022-03-22 14:29:56+00:00,Thailand,"#ChangsuekStory ส่องสถิติแข้งช้างศึก ก่อนวัดแข้งกับทีมชาติเนปาล และทีมชาติซูรินาม ในศึกฟีฟ่าเดย์ที่กำลังจะมาถึง

รับชมต่อที่ : https://t.co/VRGdLC6DWR

#ช้างศึก #ทีมชาติไทย #ฟุตบอลทีมชาติไทย #TogetherAsOne #Changsuek #บอลไทย #ฟุตบอลไทย #FAThailand #FIFADay https://t.co/mox9d6OboW",/ChangsuekStory/ช้างศึก/ทีมชาติไทย/ฟุตบอลทีมชาติไทย/TogetherAsOne/Changsuek/บอลไทย/ฟุตบอลไทย/FAThailand/FIFADay,6,5,24,22/03/2022,14:29,positive
#fathailand,th,Changsuek,@Changsuek_TH,2022-03-22 00:08:57+00:00,Thailand,"มาสิ! ใครยังไม่มีบัตร สั่งเลย 
เตรียมเมมเบอร์ และเข้า Fast Lane ไปเลยสิจ่ะ และสิทธิพิเศษอีกมากมาย 🥳

สมัครช้างศึกเมมเบอร์ &gt;&gt; https://t.co/YAjxQbQndD

#ช้างศึก #ทีมชาติไทย #ฟุตบอลทีมชาติไทย #TogetherAsOne #Changsuek #Thailand #บอลไทย #ฟุตบอลไทย #FAThailand #FIFADay https://t.co/T0ipWLTQxq",/ช้างศึก/ทีมชาติไทย/ฟุตบอลทีมชาติไทย/TogetherAsOne/Changsuek/Thailand/บอลไทย/ฟุตบอลไทย/FAThailand/FIFADay,5,4,20,22/03/2022,00:08,positive
#fathailand,th,ลุงบิ๊ก​แม่สอด,@LMaesxd,2022-03-23 16:10:19+00:00,,"11  ตัวจริง
 
#ช้างศึก #ทีมชาติไทย #TogetherAsOne #Changsuek #Thailand #บอลไทย #ฟุตบอลไทย #FAThailand #ช้างศึกU23 #ทีมชาติไทยU23 #DubaiCup #ดูไบคัพ
#thaifootball https://t.co/JSW4jf2VvE",/ช้างศึก/ทีมชาติไทย/TogetherAsOne/Changsuek/Thailand/บอลไทย/ฟุตบอลไทย/FAThailand/ช้างศึกU23/ทีมชาติไทยU23/DubaiCup/ดูไบคัพ/thaifootball,1,0,0,23/03/2022,16:10,neutral
#fathailand,th,ลุงบิ๊ก​แม่สอด,@LMaesxd,2022-03-23 16:07:07+00:00,,"ระเบิดศึกทีมชาติไทย ดูไบ คัพ U23
ร่วมส่งกำลังใจเชียร์ทัพช้างศึกชุดเล็ก ยิงสดจาก สหรัฐอาหรับเอมิเรตส์
ศึกทีมชาติไทย 

#แมตช์แรก  วันพุธที่ 23 มีนาคม 2565
 ทีมชาติไทย พบ ทีมชาติกาตาร์  
ถ่ายทอดสด ตั้งแต่เวลา 23.00 น. เป็นต้นไป 
 #ช้างศึก #Thailand #บอลไทย #FAThailand #Changsuek https://t.co/nXuZvoO94t",/แมตช์แรก/ช้างศึก/Thailand/บอลไทย/FAThailand/Changsuek,1,0,0,23/03/2022,16:07,positive
#fathailand,th,Changsuek,@Changsuek_TH,2022-03-23 07:15:41+00:00,Thailand,"#ChangsuekExclusiveTalk จากความฝันสู่ความจริง : เลอสันต์ เทียมราช “ผมเคยตัดใจเรื่องติดทีมชาติไทยไปแล้ว”

อ่านเพิ่มเติมที่ : https://t.co/u7F0SToHxE

#ช้างศึก #ทีมชาติไทย #ฟุตบอลทีมชาติไทย #TogetherAsOne #Changsuek #Thailand #บอลไทย #ฟุตบอลไทย #FAThailand #FIFADay https://t.co/3Wg1MXecfl",/ChangsuekExclusiveTalk/ช้างศึก/ทีมชาติไทย/ฟุตบอลทีมชาติไทย/TogetherAsOne/Changsuek/Thailand/บอลไทย/ฟุตบอลไทย/FAThailand/FIFADay,9,8,32,23/03/2022,07:15,positive
#fathailand,th,Thai League Thailand,@thaileague_th,2022-03-23 05:32:34+00:00,,"⭐️ | ""มาดามแป้ง"" นวลพรรณ ล่ำซำ ผู้จัดการทีมชาติไทย มีการแต่งตั้งให้ ""ธีราทร บุญมาทัน"" แบ็กซ้ายจากสโมสรบุรีรัมย์ ยูไนเต็ด เป็นกัปตันทีมชาติไทย เพื่อทำการแข่งขันฟุตบอลอุ่นเครื่องตาม ปฏิทินฟีฟ่าเดย์

#thaileague_th #Changsuek #FIFADay #FAThailand #BuriramUnited #BRUTD #ThaiLeague https://t.co/NVOhDVzjXC",/thaileague_th/Changsuek/FIFADay/FAThailand/BuriramUnited/BRUTD/ThaiLeague,1,0,1,23/03/2022,05:32,neutral
#fathailand,th,Muangthong United Thailand,@mtutd_th,2022-03-23 05:31:51+00:00,,"⭐️ | ""มาดามแป้ง"" นวลพรรณ ล่ำซำ ผู้จัดการทีมชาติไทย มีการแต่งตั้งให้ ""ธีราทร บุญมาทัน"" แบ็กซ้ายจากสโมสรบุรีรัมย์ ยูไนเต็ด เป็นกัปตันทีมชาติไทย เพื่อทำการแข่งขันฟุตบอลอุ่นเครื่องตาม ปฏิทินฟีฟ่าเดย์

#mtutd_th #Changsuek #FIFADay #FAThailand #Thailand #MTUTD #MuangthongUnited https://t.co/Dv30ej88km",/mtutd_th/Changsuek/FIFADay/FAThailand/Thailand/MTUTD/MuangthongUnited,1,0,1,23/03/2022,05:31,neutral
#fathailand,th,Changsuek,@Changsuek_TH,2022-03-24 14:21:17+00:00,Thailand,"#ChangsuekLive ภาพบรรยากาศการแข่งขัน ฟุตบอลอุ่นเครื่องรายการ FIFA International Friendly ‘A’ Match

🇹🇭 ทีมชาติไทย 2-0 ทีมชาติเนปาล 🇳🇵
 
#ช้างศึก #ทีมชาติไทย #ฟุตบอลทีมชาติไทย #TogetherAsOne #Changsuek #Thailand #บอลไทย #ฟุตบอลไทย #FAThailand #FIFADay #ผลบอล https://t.co/dZVfsVgOFd",/ChangsuekLive/ช้างศึก/ทีมชาติไทย/ฟุตบอลทีมชาติไทย/TogetherAsOne/Changsuek/Thailand/บอลไทย/ฟุตบอลไทย/FAThailand/FIFADay/ผลบอล,52,51,89,24/03/2022,14:21,neutral
#fathailand,th,✧⁎ JJkkooky🐰🕯️യ,@nnattnorthtm,2022-03-24 13:57:44+00:00,,"จบเกม 2-0 ไทย-เนปาล ครึ่งหลังคือเริ่ดมากกก ปังมากกก เก่งมากกกและลุ้นมากเช่นกัน😭💖🫶🏻 เยี่ยมมากกกกวันนี้😍👍🏻
#ช้างศึก #ทีมชาติไทย #ฟุตบอลทีมชาติไทย #TogetherAsOne #Changsuek #Thailand #บอลไทย #ฟุตบอลไทย #FAThailand #FIFADay #ผลบอล",/ช้างศึก/ทีมชาติไทย/ฟุตบอลทีมชาติไทย/TogetherAsOne/Changsuek/Thailand/บอลไทย/ฟุตบอลไทย/FAThailand/FIFADay/ผลบอล,1,0,0,24/03/2022,13:57,positive
#fathailand,th,Changsuek,@Changsuek_TH,2022-03-24 13:54:47+00:00,Thailand,"#ChangsuekLive Full Time หมดเวลาการเเข่งขัน ฟุตบอลอุ่นเครื่องรายการ FIFA International Friendly 'A' Match

🇹🇭 ทีมชาติไทย 2-0 ทีมชาติเนปาล 🇳🇵
 
#ช้างศึก #ทีมชาติไทย #ฟุตบอลทีมชาติไทย #TogetherAsOne #Changsuek #Thailand #บอลไทย #ฟุตบอลไทย #FAThailand #FIFADay #ผลบอล https://t.co/V2WqFl6j84",/ChangsuekLive/ช้างศึก/ทีมชาติไทย/ฟุตบอลทีมชาติไทย/TogetherAsOne/Changsuek/Thailand/บอลไทย/ฟุตบอลไทย/FAThailand/FIFADay/ผลบอล,227,226,239,24/03/2022,13:54,neutral
