keyword,language,author,twitter_name,create_at,location,text,hashtag,tweets_count,retweet_count,favourite_count,date,time,sentiment
#fathailand,th,Changsuek,@Changsuek_TH,2022-03-24 14:21:17+00:00,Thailand,"#ChangsuekLive ภาพบรรยากาศการแข่งขัน ฟุตบอลอุ่นเครื่องรายการ FIFA International Friendly ‘A’ Match

🇹🇭 ทีมชาติไทย 2-0 ทีมชาติเนปาล 🇳🇵
 
#ช้างศึก #ทีมชาติไทย #ฟุตบอลทีมชาติไทย #TogetherAsOne #Changsuek #Thailand #บอลไทย #ฟุตบอลไทย #FAThailand #FIFADay #ผลบอล https://t.co/dZVfsVgOFd",/ChangsuekLive/ช้างศึก/ทีมชาติไทย/ฟุตบอลทีมชาติไทย/TogetherAsOne/Changsuek/Thailand/บอลไทย/ฟุตบอลไทย/FAThailand/FIFADay/ผลบอล,52,51,89,24/03/2022,14:21,neutral
#fathailand,th,✧⁎ JJkkooky🐰🕯️യ,@nnattnorthtm,2022-03-24 13:57:44+00:00,,"จบเกม 2-0 ไทย-เนปาล ครึ่งหลังคือเริ่ดมากกก ปังมากกก เก่งมากกกและลุ้นมากเช่นกัน😭💖🫶🏻 เยี่ยมมากกกกวันนี้😍👍🏻
#ช้างศึก #ทีมชาติไทย #ฟุตบอลทีมชาติไทย #TogetherAsOne #Changsuek #Thailand #บอลไทย #ฟุตบอลไทย #FAThailand #FIFADay #ผลบอล",/ช้างศึก/ทีมชาติไทย/ฟุตบอลทีมชาติไทย/TogetherAsOne/Changsuek/Thailand/บอลไทย/ฟุตบอลไทย/FAThailand/FIFADay/ผลบอล,1,0,0,24/03/2022,13:57,positive
#fathailand,th,Changsuek,@Changsuek_TH,2022-03-24 13:54:47+00:00,Thailand,"#ChangsuekLive Full Time หมดเวลาการเเข่งขัน ฟุตบอลอุ่นเครื่องรายการ FIFA International Friendly 'A' Match

🇹🇭 ทีมชาติไทย 2-0 ทีมชาติเนปาล 🇳🇵
 
#ช้างศึก #ทีมชาติไทย #ฟุตบอลทีมชาติไทย #TogetherAsOne #Changsuek #Thailand #บอลไทย #ฟุตบอลไทย #FAThailand #FIFADay #ผลบอล https://t.co/V2WqFl6j84",/ChangsuekLive/ช้างศึก/ทีมชาติไทย/ฟุตบอลทีมชาติไทย/TogetherAsOne/Changsuek/Thailand/บอลไทย/ฟุตบอลไทย/FAThailand/FIFADay/ผลบอล,227,226,239,24/03/2022,13:54,neutral
#fathailand,th,Changsuek,@Changsuek_TH,2022-03-24 13:50:24+00:00,Thailand,"#ChangsuekLive Goal ! ทีมชาติไทย ได้ประตูนำห่าง จาก เชาว์วัตน์ วีระชาติ ในนาทีที่ 89

🇹🇭 ทีมชาติไทย 2-0 ทีมชาติเนปาล 🇳🇵
 
#ช้างศึก #ทีมชาติไทย #ฟุตบอลทีมชาติไทย #TogetherAsOne #Changsuek #Thailand #บอลไทย #ฟุตบอลไทย #FAThailand #FIFADay #ผลบอล https://t.co/7wKtBn8KVK",/ChangsuekLive/ช้างศึก/ทีมชาติไทย/ฟุตบอลทีมชาติไทย/TogetherAsOne/Changsuek/Thailand/บอลไทย/ฟุตบอลไทย/FAThailand/FIFADay/ผลบอล,251,250,203,24/03/2022,13:50,negative
#fathailand,th,Changsuek,@Changsuek_TH,2022-03-24 13:40:02+00:00,Thailand,"#ChangsuekLive Goal ! ทีมชาติไทย ได้ประตูขึ้นนำจาก ฟิลิป โรลเลอร์ ในนาทีที่ 77

🇹🇭 ทีมชาติไทย 1-0 ทีมชาติเนปาล 🇳🇵
 
#ช้างศึก #ทีมชาติไทย #ฟุตบอลทีมชาติไทย #TogetherAsOne #Changsuek #Thailand #บอลไทย #ฟุตบอลไทย #FAThailand #FIFADay #ผลบอล https://t.co/G4sg3UJqu2",/ChangsuekLive/ช้างศึก/ทีมชาติไทย/ฟุตบอลทีมชาติไทย/TogetherAsOne/Changsuek/Thailand/บอลไทย/ฟุตบอลไทย/FAThailand/FIFADay/ผลบอล,157,156,172,24/03/2022,13:40,neutral
#fathailand,th,Changsuek,@Changsuek_TH,2022-03-24 13:06:08+00:00,Thailand,"#ChangsuekLive ภาพบรรยากาศการแข่งขันในครึ่งเวลาแรก ฟุตบอลอุ่นเครื่องรายการ FIFA International Friendly ‘A’ Match

🇹🇭 ทีมชาติไทย 0-0 ทีมชาติเนปาล 🇳🇵
 
#ช้างศึก #ทีมชาติไทย #ฟุตบอลทีมชาติไทย #TogetherAsOne #Changsuek #Thailand #บอลไทย #ฟุตบอลไทย #FAThailand #FIFADay #ผลบอล https://t.co/AfFJ0fjaXG",/ChangsuekLive/ช้างศึก/ทีมชาติไทย/ฟุตบอลทีมชาติไทย/TogetherAsOne/Changsuek/Thailand/บอลไทย/ฟุตบอลไทย/FAThailand/FIFADay/ผลบอล,32,31,50,24/03/2022,13:06,neutral
#fathailand,th,Zcooby.com,@ZcoobyCom,2022-03-24 11:48:38+00:00,,"ไทย พบ เนปาล ถ่ายทอดสดฟุตบอลอุ่นเครื่อง 24 มีนาคม 2565

https://t.co/KPDAxPBPRz

#ฟุตบอล #ไทย #เนปาล #ช้างศึก #ไทยรัฐ #AISPLAY #ช้างศึก #ทีมชาติไทย #TogetherAsOne #Changsuek #Thailand #บอลไทย #ฟุตบอลไทย #FAThailand #ช้างศึกU23 #ทีมชาติไทยU23 #DubaiCup #ดูไบคัพ  #FIFADay",/ฟุตบอล/ไทย/เนปาล/ช้างศึก/ไทยรัฐ/AISPLAY/ช้างศึก/ทีมชาติไทย/TogetherAsOne/Changsuek/Thailand/บอลไทย/ฟุตบอลไทย/FAThailand/ช้างศึกU23/ทีมชาติไทยU23/DubaiCup/ดูไบคัพ/FIFADay,1,0,1,24/03/2022,11:48,neutral
#fathailand,th,Changsuek,@Changsuek_TH,2022-03-24 11:14:22+00:00,Thailand,"#ChangsuekLive Line-Up รายชื่อ 11 ตัวจริงของทัพช้างศึก ในฟุตบอลอุ่นเครื่องรายการ FIFA International Friendly Match

🇹🇭 ทีมชาติไทย พบ ทีมชาติเนปาล 🇳🇵
 
#ช้างศึก #ทีมชาติไทย #ฟุตบอลทีมชาติไทย #TogetherAsOne #Changsuek #Thailand #บอลไทย #ฟุตบอลไทย #FAThailand #FIFADay https://t.co/hjrOe6sqyJ",/ChangsuekLive/ช้างศึก/ทีมชาติไทย/ฟุตบอลทีมชาติไทย/TogetherAsOne/Changsuek/Thailand/บอลไทย/ฟุตบอลไทย/FAThailand/FIFADay,81,80,67,24/03/2022,11:14,neutral
#fathailand,th,Changsuek,@Changsuek_TH,2022-03-24 09:53:49+00:00,Thailand,"น้อง “จอมทัพ” บุกสนามชลบุรี สเตเดียม 
มาพร้อมกิจกรรมดีๆ ให้แฟนบอล🥳🇹🇭
กับกิจกรรม แชะ แชร์ เช็กอิน เพียงถ่ายภาพคู่กับน้องมาสคอต “จอมทัพ” ที่สนาม 
โพสต์ลง Facebook 

#ช้างศึก #ทีมชาติไทย #ฟุตบอลทีมชาติไทย #TogetherAsOne #Changsuek #Thailand #บอลไทย #ฟุตบอลไทย #FAThailand #FIFADay https://t.co/bcFqebEFmg",/ช้างศึก/ทีมชาติไทย/ฟุตบอลทีมชาติไทย/TogetherAsOne/Changsuek/Thailand/บอลไทย/ฟุตบอลไทย/FAThailand/FIFADay,4,3,18,24/03/2022,09:53,positive
#fathailand,th,Changsuek,@Changsuek_TH,2022-03-24 08:06:35+00:00,Thailand,"มาตรการ และ ข้อกำหนด ก่อนการเข้าชมฟุตบอลอุ่นเครื่อง ฟีฟ่า เดย์ ที่สนาม ชลบุรี สเตเดียม

#ช้างศึก #ทีมชาติไทย #ฟุตบอลทีมชาติไทย #TogetherAsOne #Changsuek #Thailand #บอลไทย #ฟุตบอลไทย #FAThailand #FIFADay https://t.co/LnVqqqXdS7",/ช้างศึก/ทีมชาติไทย/ฟุตบอลทีมชาติไทย/TogetherAsOne/Changsuek/Thailand/บอลไทย/ฟุตบอลไทย/FAThailand/FIFADay,6,5,24,24/03/2022,08:06,neutral
