keyword,hashtag,count_hashtag,date
#football,football,1026,17/04/2022
#football,nfl,281,17/04/2022
#football,nflfans,194,17/04/2022
#football,soccer,102,17/04/2022
#football,sports,81,17/04/2022
#football,usfl,61,17/04/2022
#football,premierleague,51,17/04/2022
#football,mens,40,17/04/2022
#football,facup,39,17/04/2022
#football,chelsea,33,17/04/2022
#football,sport,29,17/04/2022
#football,realmadrid,28,17/04/2022
#football,nfldraft,28,17/04/2022
#football,fifa,28,17/04/2022
#football,nba,26,17/04/2022
#football,easter,25,17/04/2022
#football,game,25,17/04/2022
#football,collegefootball,24,17/04/2022
#football,laliga,24,17/04/2022
#football,nationalfootballleague,23,17/04/2022
#football,futbol,22,17/04/2022
#football,betting,22,17/04/2022
#football,x,22,17/04/2022
#football,nft,21,17/04/2022
#football,messi,21,17/04/2022
#football,draft,19,17/04/2022
#football,goals,19,17/04/2022
#football,nflfootball,18,17/04/2022
#football,ronaldo,18,17/04/2022
#football,news,17,17/04/2022
#football,chelseafc,17,17/04/2022
#football,kwonscouting22,17,17/04/2022
#football,efl,17,17/04/2022
#football,cfb,17,17/04/2022
#football,horseracing,17,17/04/2022
#football,jamaica,17,17/04/2022
#football,nftgame,17,17/04/2022
#football,lfc,17,17/04/2022
#football,team,16,17/04/2022
#football,metaverse,16,17/04/2022
#football,golf,16,17/04/2022
#football,championship,16,17/04/2022
#football,epl,16,17/04/2022
#football,championsleague,16,17/04/2022
#football,jamaicapremierleague,15,17/04/2022
#football,new,15,17/04/2022
#football,usflonnbc,14,17/04/2022
#football,dao,14,17/04/2022
#football,crypto,14,17/04/2022
#football,ultra,14,17/04/2022
#football,shorts,13,17/04/2022
#football,facupsemifinal,13,17/04/2022
#football,jpl,13,17/04/2022
#football,lovethegame,13,17/04/2022
#football,liverpool,12,17/04/2022
#football,solananft,12,17/04/2022
#football,pro,12,17/04/2022
#football,line,12,17/04/2022
#football,easter2022,12,17/04/2022
#football,nationalfootballconference,11,17/04/2022
#football,fifa22,11,17/04/2022
#football,cristianoronaldo,11,17/04/2022
#football,tipster,11,17/04/2022
#football,with,11,17/04/2022
#football,york,11,17/04/2022
#football,rangers,11,17/04/2022
#football,americanfootballconference,11,17/04/2022
#football,baseball,11,17/04/2022
#football,imperial,11,17/04/2022
#football,liverpoolfc,11,17/04/2022
#football,scouting,11,17/04/2022
#football,autographed,11,17/04/2022
#football,calcio,11,17/04/2022
#football,basketball,10,17/04/2022
