keyword,language,author,twitter_name,create_at,location,text,hashtag,tweets_count,retweet_count,favourite_count,date,time,sentiment
#football,th,PLAYER WIN,@playertopmusic,2022-04-19 23:58:55+00:00,"กรุงเทพมหานคร, ประเทศไทย","🚀👇🏻สนใจเล่นเกมส์แอดเลยจ้า👇🏻🚀 
แอด https://t.co/fsOllUTRMN ❤️‍🔥🔥 #Thailand #wow #football #MCILIV #fypシ https://t.co/MXVcUphamD",/Thailand/wow/football/MCILIV/fypシ,1,0,1,19/04/2022,23:58,positive
#football,th,PLAYER WIN,@playertopmusic,2022-04-19 23:57:04+00:00,"กรุงเทพมหานคร, ประเทศไทย","🚀👇🏻สนใจเล่นเกมส์แอดเลยจ้า👇🏻🚀 
แอด https://t.co/fsOllUTRMN #Thailand #ไทย #benzema #ronaldo #messigoal #neymar10 #dybala #messi #football #vinicius #haaland #erlinghaaland #pogba #barca #viscabarça #freestyle #mbappe #ibrahimovic #ronaldinho #skillervideoos #arsenal #hazard https://t.co/kosL7Opjvb",/Thailand/ไทย/benzema/ronaldo/messigoal/neymar10/dybala/messi/football/vinicius/haaland/erlinghaaland/pogba/barca/viscabarça/freestyle/mbappe/ibrahimovic/ronaldinho/skillervideoos/arsenal/hazard,1,0,1,19/04/2022,23:57,positive
#football,th,@ufa1099,@ufa1099,2022-04-19 23:21:23+00:00,,#เข้าไทยสักที #เกมดังต่างประเทศ #เอาขึ้นหน้าฟีดที #fyp #fy #f #fypシ #football #เปิดการมองเห็น #เข้าไทยแล้วนะ #มีดีที่ไม่โกง แอดไลน์ : @ufa1099 https://t.co/mVN7LXOmHU,/เข้าไทยสักที/เกมดังต่างประเทศ/เอาขึ้นหน้าฟีดที/fyp/fy/f/fypシ/football/เปิดการมองเห็น/เข้าไทยแล้วนะ/มีดีที่ไม่โกง,1,0,1,19/04/2022,23:21,positive
#football,th,HommesThailand,@HommesThailand,2022-04-19 21:02:41+00:00,"กรุงเทพมหานคร, ประเทศไทย","ต้านไม่ไหว บิ๊กแมทช์ #PremierLeague ลิเวอร์พูลเปิดบ้านถล่มแมนเชสเตอร์ ยูไนเต็ดไปขาดลอย 4-0 โดยในสนามยังมีโมเมนต์ที่สวยงามจากแฟนบอลหงส์แดงที่ร้องเพลงให้กำลังใจ Cristiano Ronaldo ซุปเปอร์สตาร์ของแมนยูที่เสียลูกชายไปอย่างกะทันหันครับ

#epl
#liverpool 
#manchesterunited 
#football https://t.co/0OuOgZA8Pu",/PremierLeague/epl/liverpool/manchesterunited/football,2,1,4,19/04/2022,21:02,negative
#football,th,เชลซี ไดอารี่,@2401Kanth,2022-04-19 15:44:57+00:00,,"🔵เชลซี - อาเซนอล🔴 
วันพฤหัสบดี(คืนวันพุธเช้าวันพฤหัส)
 01:45 พรีเมียร์ลีก
สแตมฟอร์ดบลิดจ์เข้ามาแล้วออกยากก🦁💙
#Chelsea #เชลซี #เชลซีไดอารี่ #พรีเมียร์ลีก #premierleague #football https://t.co/eHQHqHdr5c",/Chelsea/เชลซี/เชลซีไดอารี่/พรีเมียร์ลีก/premierleague/football,1,0,1,19/04/2022,15:44,neutral
#football,th,Arwang,@Arwangggg,2022-04-19 14:25:43+00:00,,"🤙ลูกยิงสุดสวย ที่หาดูได้ยาก🔥
#football #InterMilan #skills #UCL #ฟุตบอล #ฟุตบอลต่างประเทศ #ฟุตบอลไทย #ข่าวฟุตบอล https://t.co/xP3jYKSx2C",/football/InterMilan/skills/UCL/ฟุตบอล/ฟุตบอลต่างประเทศ/ฟุตบอลไทย/ข่าวฟุตบอล,1,0,2,19/04/2022,14:25,positive
#football,th,Topp Jirayut,@toppjirayut,2022-04-19 13:11:18+00:00,"Bangkok, Thailand","ครั้งนี้ ผมขอชวนนักเตะระดับแนวหน้าของเมืองไทย อย่าง คุณ ลีซอ ธีรเทพ วิโนทัย และ นุ๊ก อาทิตย์ บุตรจินดา มาเล่น #รถบัสChallenge แข่งยิงประตูฟุตบอล โดยมีเหรียญ KUB เป็นรางวัล มาดูกันว่างานนี้ใครจะเป็นผู้ชนะ

https://t.co/h4YU8bKEDz

#Football #รถบัสChallenge",/รถบัสChallenge/Football/รถบัสChallenge,4,3,27,19/04/2022,13:11,positive
#football,th,ออโรร่า,@Sarrarylota,2022-04-19 13:05:09+00:00,,"✨ ติดตามการถ่ายทอดสดฟุตบอล ลาลีกา ได้ที่ ทรูวิชั่นส์  คืนนี้เลย

#TrueVisions #KingOfSports #football   #LaLiga https://t.co/012rPUmtiI",/TrueVisions/KingOfSports/football/LaLiga,1,0,2,19/04/2022,13:05,neutral
#football,th,Arwang,@Arwangggg,2022-04-19 10:47:26+00:00,,"🤙ลูกยิงฮาฟวอลเลย์สุดสวยของ “Robben”
#football #robben #ฟุตบอล #skills #UCL #ฟุตบอลต่างประเทศ #ฟุตบอลไทย #บุนเดสลีก้า #บาเยินร์มิวนิค https://t.co/9OhMYua4B0",/football/robben/ฟุตบอล/skills/UCL/ฟุตบอลต่างประเทศ/ฟุตบอลไทย/บุนเดสลีก้า/บาเยินร์มิวนิค,1,0,0,19/04/2022,10:47,positive
#football,th,@6776u,@pompam6776,2022-04-19 05:09:49+00:00,ประเทศไทย,"🎰สนใจเล่นเกมส์แอด👇🏻👇🏻👇🏻
🧧 ทางเข้าคลิก 👉🏻 https://t.co/35orETFO7j
🆔  ติดต่อ @6776u (มี@ด้วยนะ)
#เกมดังต่างประเทศ #เข้าไทยเเล้วนะ #เข้าไทยสักที #fypシ #fyptiktok #Thailand #เครดิตฟรีไม่ต้องฝากไม่ต้องแชร์ #สล็อต #สล็อตออนไลน์ #football #plinko #พลิงโกะ https://t.co/fUGadMpJwS",/เกมดังต่างประเทศ/เข้าไทยเเล้วนะ/เข้าไทยสักที/fypシ/fyptiktok/Thailand/เครดิตฟรีไม่ต้องฝากไม่ต้องแชร์/สล็อต/สล็อตออนไลน์/football/plinko/พลิงโกะ,1,0,1,19/04/2022,05:09,positive
