keyword,language,author,twitter_name,create_at,location,text,hashtag,tweets_count,retweet_count,favourite_count,date,time,sentiment
#laliga,th,TrueVisions,@TrueVisions,2022-04-04 21:10:48+00:00,Thailand,"สรุปตารางคะแนนฟุตบอล ลาลีกา สเปน สัปดาห์ที่ 30 มีดังต่อไปนี้ 
#TrueVisions #KingOfSports #ที่สุดของกีฬาที่ทรูวิชั่นส์ที่เดียว #ลาลีกา #LaLiga https://t.co/0HUbWpce2R",/TrueVisions/KingOfSports/ที่สุดของกีฬาที่ทรูวิชั่นส์ที่เดียว/ลาลีกา/LaLiga,1,0,0,04/04/2022,21:10,neutral
#laliga,th,TrueVisions,@TrueVisions,2022-04-04 21:10:36+00:00,Thailand,"FT เรอัล โซเซียดาด 1-1 เอสปันญอล
🏆 ลาลีกา สเปน
[90+6'] อเล็กซานเดอร์ อิซัค [1-0]
#TrueVisions #KingOfSports #ที่สุดของกีฬาที่ทรูวิชั่นส์ที่เดียว #ลาลีกา #LaLiga https://t.co/EAP0EFd5Dc",/TrueVisions/KingOfSports/ที่สุดของกีฬาที่ทรูวิชั่นส์ที่เดียว/ลาลีกา/LaLiga,1,0,0,04/04/2022,21:10,neutral
#laliga,th,SMMSPORT,@SMMSPORT_News,2022-04-04 21:02:59+00:00,"bangkok,Thailand","โซเซียดาด ซัดจุดโทษชัยทดเจ็บน็อก เอสปันญ่อล

⚽️ 1-0 : Aleksander Isak (PEN) น.90+6

#สกอร์สด https://t.co/oSSZboWRKC 

#SMMSPORT #ลาลีกา #LaLiga 🇪🇸 #RealSociedad #Espanyol https://t.co/olJ0Obkect",/สกอร์สด/SMMSPORT/ลาลีกา/LaLiga/RealSociedad/Espanyol,2,1,2,04/04/2022,21:02,negative
#laliga,th,TrueVisions,@TrueVisions,2022-04-04 08:21:44+00:00,Thailand,"ชาบี ยก บาร์ซ่า อยู่ในฟอร์มดีสุดซีซั่นนี้  สนใจอ่านคลิก https://t.co/8KyWdo6jTe     #TrueVisions #KingOfSports #football #Laliga #Xavi #Barcelona 

✨ ติดตามการถ่ายทอดสดฟุตบอล ลาลีกา ได้ที่ ทรูวิชั่นส์

📌 รายละเอียดเพิ่มเติม โทร 02-700-8000 https://t.co/upbxWUwlPW",/TrueVisions/KingOfSports/football/Laliga/Xavi/Barcelona,1,0,0,04/04/2022,08:21,positive
#laliga,th,SMMSPORT,@SMMSPORT_News,2022-04-04 07:31:59+00:00,"bangkok,Thailand","เบล เสี่ยงทำแฟนชุดขาวโกรธอีกครั้งระหว่างเกมลีกล่าสุด

#SMMSPORT #แกเร็ธเบล #RealMadrid #เรอัลมาดริด #เซลต้าบีโก้ #LaLiga 🇪🇸

https://t.co/1Ptj8UEAXm",/SMMSPORT/แกเร็ธเบล/RealMadrid/เรอัลมาดริด/เซลต้าบีโก้/LaLiga,2,1,0,04/04/2022,07:31,negative
#laliga,th,M88MansionThailand,@ThailandM88,2022-04-04 06:55:12+00:00,,"แฟนๆลาลีกา! คุณรู้สึกตื่นเต้นที่ได้เข้าร่วมกิจกรรมกับลาลิกา ในบ้านเกิดของคุณหรือไม่? กับกิจกรรมสุดพิเศษเฉพาะแฟนบอลลาลิกา "" ล่องเรือปาร์ตี้พรีวิวก่อนเกม""
https://t.co/D54s7RxB3i

#M88Mansion #LaLiga #ElClásico 
 #ฟุตบอลเสปน #ฟุตบอลลาลิกา #เอลกลาสิโก",/M88Mansion/LaLiga/ElClásico/ฟุตบอลเสปน/ฟุตบอลลาลิกา/เอลกลาสิโก,1,0,0,04/04/2022,06:55,positive
#laliga,th,SMMSPORT,@SMMSPORT_News,2022-04-04 05:30:00+00:00,"bangkok,Thailand","เรอัล โซเซียดาด เน้นเต็มที่เพื่อลุ้นพื้นที่ยุโรป เกมรุกยังมี อเล็กซานเดอร์ อิซัค ล่าสกอร์ ส่วน เอสปันญ่อล ผลงานใช้ได้ แต่เกมเยือนยังเล่นไม่แน่นอน นัดนี้มี ราอูล เด โตมาส ล่าตาข่าย

#SMMSPORT #ลาลีกา #LaLiga 🇪🇸 #RealSociedad #Espanyol 

https://t.co/7uSKPc9B31",/SMMSPORT/ลาลีกา/LaLiga/RealSociedad/Espanyol,1,0,1,04/04/2022,05:30,positive
#laliga,th,ShotonGoal,@ShotongoalTH,2022-04-04 05:29:54+00:00,"Bangkok, Thailand","พรีวิว [#ลาลีก้า] เรอัล โซเซียดาด VS เอสปันญ่อล
คืนนี้ (4 เมษายน 2565) เวลา 02.00 น.
#ShotonGoal #LaLiga #ทีเด็ดบอล 
https://t.co/HTifG4Dx0Q",/ลาลีก้า/ShotonGoal/LaLiga/ทีเด็ดบอล,1,0,1,04/04/2022,05:29,positive
#laliga,th,SMMSPORT,@SMMSPORT_News,2022-04-04 04:30:00+00:00,"bangkok,Thailand","⚽ #LaLiga 🇪🇸

โซเซียดาด สภาพทีมไม่เต็มร้อยแต่ใจเกินร้อย ต้องการชัยชนะเหนือ เอสปันญ่อล เพื่อแย่งตั๋วไปบอลยุโรป จะทำได้หรือไม่รอลุ้น

📱 ผลบอลสดคลิก &gt;&gt;&gt; https://t.co/JFgo5AdH8I

#SMMSPORT #เรอัลโซเซียดาด #เอสปันญ่อล #ลาลีกา https://t.co/2lVxg6yYTM",/LaLiga/SMMSPORT/เรอัลโซเซียดาด/เอสปันญ่อล/ลาลีกา,3,2,2,04/04/2022,04:30,neutral
#laliga,th,TrueVisions,@TrueVisions,2022-04-04 04:17:47+00:00,Thailand,"โปรแกรมถ่ายทอดสดฟุตบอล ลาลีกา 2021/22

#TrueVisions #KingOfSports #football #Laliga

✨ ติดตามการถ่ายทอดสดฟุตบอล ลาลีกา ได้ที่ ทรูวิชั่นส์

📌 รายละเอียดเพิ่มเติม โทร 02-700-8000 https://t.co/nAwz5hcd7e",/TrueVisions/KingOfSports/football/Laliga,1,0,1,04/04/2022,04:17,neutral
