keyword,language,author,twitter_name,create_at,location,text,hashtag,tweets_count,retweet_count,favourite_count,date,time,sentiment
#ligue1,en,NegrescoBetting,@NegrescoBetting,2022-04-05 23:46:38+00:00,,"Results of the Day [05/04/22] 
#Ligue1 #PremierLeague #laLiga #SerieA #Bundesliga 

USAFE✅
FUN❌

#1xbet #WilliamHill #betking #parimatch 
#bet365 #Betfred #melbet  #sportybet #paddypower #SkyBet #Bovada #Betfair #Betclic #unibet #Bet9ja #betwinner #odibet #betsafe #sport",/Ligue1/PremierLeague/laLiga/SerieA/Bundesliga/1xbet/WilliamHill/betking/parimatch/bet365/Betfred/melbet/sportybet/paddypower/SkyBet/Bovada/Betfair/Betclic/unibet/Bet9ja/betwinner/odibet/betsafe/sport,2,1,2,05/04/2022,23:46,neutral
#ligue1,en,Anytime Football,@AnytimeFootball,2022-04-05 23:27:01+00:00,,"#Ligue1 #Transfer Liverpool could make their move for Kylian Mbappe, Unnamed club joins transfer chase https://t.co/omRwMC2Cy7",/Ligue1/Transfer,2,1,0,05/04/2022,23:27,neutral
#ligue1,en,Soccerlytics,@Soccerlytics,2022-04-05 22:20:00+00:00,New York City,"@CIES_Football evaluating the best young talent in Europe. The report linked below not only notes each players position but also their role within the team. #Arsenal's Bukayo Saka tops the chart, but #Ligue1 houses the largest number of top young players with 14 making this list. https://t.co/hddwsHfmQR",/Arsenal/Ligue1,1,0,0,05/04/2022,22:20,positive
#ligue1,en,Joseph M.,@JosephM97584238,2022-04-05 21:15:45+00:00,"Tremblay-en-France, France","#PSG have made an offer to Paul Pogba as he prepares to leave #ManchesterUnited for free this summer, reports the Manchester Evening News.

#PREMIERLEAGUE #Ligue1 #ChampionsLeague #football",/PSG/ManchesterUnited/PREMIERLEAGUE/Ligue1/ChampionsLeague/football,2,1,0,05/04/2022,21:15,positive
#ligue1,en,🇬🇭OneFishermanScholar🇬🇧,@OtuFleMinShala,2022-04-05 20:53:25+00:00,🇬🇭Teshie Nshɔɔna by Sea,"@PSGlion This is men's football, not the women's competition called #ligue1 conforama mate.",/ligue1,1,0,0,05/04/2022,20:53,neutral
#ligue1,en,TransferForce,@force_transfer,2022-04-05 20:32:48+00:00,,"Newcastle are now in pole position for Hugo Ekitike and are ready to sign the player ⚫️⚪️ #NUFC #Newcastle #PremierLeague #Ligue1 

West Ham also interested in the player. BIG talent 🔥🔥. Let’s see what happens!

[@footyinsider247 ] https://t.co/lqiagk5OBp",/NUFC/Newcastle/PremierLeague/Ligue1,1,0,1,05/04/2022,20:32,positive
#ligue1,en,TransferForce,@force_transfer,2022-04-05 19:47:23+00:00,,"Real Madrid are now firmly ahead in the race to sign Monaco midfielder Aurelien Tchouameni ⚪️🔴#RealMadrid #LaLiga #ASMonaco #Ligue1 

Chelsea are also interested in Tchouameni. Let’s see! 

[@mcgrathmike ] https://t.co/NUt978AAIy",/RealMadrid/LaLiga/ASMonaco/Ligue1,1,0,0,05/04/2022,19:47,positive
#ligue1,en,Eagle-Eyed Football 🦅🍿,@eagleeyedball,2022-04-05 19:13:39+00:00,South London,"BACK2BACK STREAMS TONIGHT 

8.30 - ARSENAL MATCH REACTION

➡️ https://t.co/mQfzOkeBgJ

#CPFC #CRYARS 

9.30 - GET AMP’D FAN CALL IN SHOW

➡️ https://t.co/G46zP2v2ug

#EPL #EFL #vamosbotafogo #LaLigaSantander #Ligue1 #MLS #SerieA #Bundesliga #Eredivisie #campeonato https://t.co/S02K5NwqHM",/CPFC/CRYARS/EPL/EFL/vamosbotafogo/LaLigaSantander/Ligue1/MLS/SerieA/Bundesliga/Eredivisie/campeonato,2,1,4,05/04/2022,19:13,positive
#ligue1,en,Last Word On Football,@LastWordFC,2022-04-05 18:01:33+00:00,World,"Check out https://t.co/lpui88herQ for..

Daily Football News
Rumours
Opinions
Transfer News
and much more

#EPL #EFL⁠ ⁠#LaLiga #bundesliga #LWOS #cinchprem #Ligue1 #serieatim #TransferTalk #UCL #UEL #UECL #FIFA #UEFA #ChampionsLeague #SLBLIV #MCIATM 
@lastwordonsport https://t.co/ddYqlaO5uS",/EPL/EFL/LaLiga/bundesliga/LWOS/cinchprem/Ligue1/serieatim/TransferTalk/UCL/UEL/UECL/FIFA/UEFA/ChampionsLeague/SLBLIV/MCIATM,2,1,1,05/04/2022,18:01,neutral
#ligue1,en,Actu Foot,@psgactu_foot,2022-04-05 17:05:08+00:00,,"LIGUE 1 HIGHLIGHTS
https://t.co/JABG0rYp1a
#football #Ligue1 #Ligue1UberEats #PSG #OM #OL #LOSC #RCL #TFC #RCSA https://t.co/jR606pl6GL",/football/Ligue1/Ligue1UberEats/PSG/OM/OL/LOSC/RCL/TFC/RCSA,3,2,1,05/04/2022,17:05,neutral
