keyword,hashtag,count_hashtag,date
#ligue1,ligue1,296,10/04/2022
#ligue1,psg,27,10/04/2022
#ligue1,rclens,25,10/04/2022
#ligue1,ogcnice,25,10/04/2022
#ligue1,football,24,10/04/2022
#ligue1,fcgbfcm,21,10/04/2022
#ligue1,premierleague,17,10/04/2022
#ligue1,lille,17,10/04/2022
#ligue1,monaco,16,10/04/2022
#ligue1,asmestac,16,10/04/2022
#ligue1,lyon,16,10/04/2022
#ligue1,strasbourg,16,10/04/2022
#ligue1,nice,15,10/04/2022
#ligue1,ligue1ubereats,15,10/04/2022
#ligue1,troyes,15,10/04/2022
#ligue1,marseille,14,10/04/2022
#ligue1,lens,14,10/04/2022
#ligue1,scolosc,14,10/04/2022
#ligue1,messi,14,10/04/2022
#ligue1,bordeaux,14,10/04/2022
#ligue1,metz,14,10/04/2022
#ligue1,neymar,13,10/04/2022
#ligue1,laliga,12,10/04/2022
#ligue1,angers,12,10/04/2022
#ligue1,seriea,12,10/04/2022
#ligue1,mbappe,12,10/04/2022
#ligue1,rclogcn,11,10/04/2022
#ligue1,brest,11,10/04/2022
#ligue1,nantes,11,10/04/2022
#ligue1,sb29fcn,11,10/04/2022
#ligue1,bundesliga,10,10/04/2022
#ligue1,cf63psg,10,10/04/2022
#ligue1,ommhsc,9,10/04/2022
#ligue1,montpellier,9,10/04/2022
#ligue1,rcsaol,9,10/04/2022
#ligue1,france,8,10/04/2022
#ligue1,messi𓃵,7,10/04/2022
#ligue1,skysports,7,10/04/2022
#ligue1,soccer,7,10/04/2022
#ligue1,clermont,6,10/04/2022
#ligue1,angerssco,6,10/04/2022
#ligue1,superlig,5,10/04/2022
#ligue1,fémininesrcsa,4,10/04/2022
#ligue1,fixtures,4,10/04/2022
#ligue1,losc,4,10/04/2022
#ligue1,gambardella,4,10/04/2022
#ligue1,mciliv,4,10/04/2022
#ligue1,girondins,4,10/04/2022
#ligue1,laligasantander,4,10/04/2022
#ligue1,epl,4,10/04/2022
#ligue1,1960bet,4,10/04/2022
#ligue1,roadtostadedefrance,4,10/04/2022
#ligue1,reims,4,10/04/2022
#ligue1,ucl,4,10/04/2022
#ligue1,tousàkopa,4,10/04/2022
#ligue1,teamestac,4,10/04/2022
#ligue1,sundayfixtures,4,10/04/2022
#ligue1,sports,4,10/04/2022
#ligue1,sport,4,10/04/2022
#ligue1,soccergame,4,10/04/2022
#ligue1,odds,4,10/04/2022
#ligue1,rennes,4,10/04/2022
#ligue1,footballgame,4,10/04/2022
#ligue1,racingmutestacadémie,4,10/04/2022
#ligue1,playandwin,4,10/04/2022
#ligue1,footballtips,4,10/04/2022
#ligue1,olplay,4,10/04/2022
#ligue1,livescore,3,10/04/2022
#ligue1,rclive,3,10/04/2022
#ligue1,sifierdetrelensois,3,10/04/2022
#ligue1,lamaréerouge,3,10/04/2022
#ligue1,parissaintgermain,3,10/04/2022
#ligue1,kingofsports,3,10/04/2022
#ligue1,teampirates,3,10/04/2022
#ligue1,ol,3,10/04/2022
#ligue1,truevisions,3,10/04/2022
#ligue1,ogcnfcn,3,10/04/2022
#ligue1,nissaenfinala,3,10/04/2022
#ligue1,ลีกเอิง,3,10/04/2022
#ligue1,coupedefrance,3,10/04/2022
#ligue1,betting,3,10/04/2022
#ligue1,calcio,3,10/04/2022
#ligue1,getinvolved,2,10/04/2022
#ligue1,ronaldo,2,10/04/2022
#ligue1,leomessi,2,10/04/2022
#ligue1,stadebrestois,2,10/04/2022
#ligue1,eredivisie,2,10/04/2022
#ligue1,asmonaco,2,10/04/2022
#ligue1,asm,2,10/04/2022
#ligue1,serieatim,2,10/04/2022
#ligue1,prediction,2,10/04/2022
#ligue1,highlights,2,10/04/2022
#ligue1,uecl,2,10/04/2022
#ligue1,championsleague,2,10/04/2022
#ligue1,mls,2,10/04/2022
#ligue1,gbfcm,2,10/04/2022
#ligue1,walkwithsagini,2,10/04/2022
#ligue1,ที่สุดของกีฬาที่ทรูวิชั่นส์ที่เดียว,2,10/04/2022
#ligue1,franceligue1,2,10/04/2022
#ligue1,clermontpsg,2,10/04/2022
#ligue1,gamblingtwitter,2,10/04/2022
#ligue1,futbol,2,10/04/2022
#ligue1,omfcmhsc,2,10/04/2022
#ligue1,bet,2,10/04/2022
#ligue1,bordeauxbingo,1,10/04/2022
#ligue1,betitright,1,10/04/2022
#ligue1,seriaa,1,10/04/2022
#ligue1,seirea,1,10/04/2022
#ligue1,betsmallwinbig,1,10/04/2022
#ligue1,copaamerica,1,10/04/2022
#ligue1,ronaldo𓃵,1,10/04/2022
#ligue1,payet,1,10/04/2022
#ligue1,bettingsuccess,1,10/04/2022
#ligue1,bettingtips,1,10/04/2022
#ligue1,bitcoin,1,10/04/2022
#ligue1,clubgame,1,10/04/2022
#ligue1,pessi,1,10/04/2022
#ligue1,cinchprem,1,10/04/2022
#ligue1,caen,1,10/04/2022
#ligue1,bormet,1,10/04/2022
#ligue1,paris,1,10/04/2022
#ligue1,om,1,10/04/2022
#ligue1,phatzradiosports,1,10/04/2022
#ligue1,rclnic,1,10/04/2022
#ligue1,brasileiro,1,10/04/2022
#ligue1,brenan,1,10/04/2022
#ligue1,ramos,1,10/04/2022
#ligue1,btc,1,10/04/2022
#ligue1,btsport,1,10/04/2022
#ligue1,premiership,1,10/04/2022
#ligue1,openseanft,1,10/04/2022
#ligue1,rcsa,1,10/04/2022
#ligue1,footballprediction,1,10/04/2022
#ligue1,belgium,1,10/04/2022
#ligue1,ultimatechampion,1,10/04/2022
#ligue1,afl,1,10/04/2022
#ligue1,transfertalk,1,10/04/2022
#ligue1,ad24,1,10/04/2022
#ligue1,ad,1,10/04/2022
#ligue1,acca,1,10/04/2022
#ligue1,uefa,1,10/04/2022
#ligue1,uel,1,10/04/2022
#ligue1,verrati,1,10/04/2022
#ligue1,smmsport,1,10/04/2022
#ligue1,video,1,10/04/2022
#ligue1,vscfcp,1,10/04/2022
#ligue1,warra4leaguegoals,1,10/04/2022
#ligue1,weareleipzig,1,10/04/2022
#ligue1,worldcup,1,10/04/2022
#ligue1,worldcup2022,1,10/04/2022
#ligue1,ผลบอลสด,1,10/04/2022
#ligue1,tips,1,10/04/2022
#ligue1,thegoalpostnews,1,10/04/2022
#ligue1,allsvenskan,1,10/04/2022
#ligue1,anglil,1,10/04/2022
#ligue1,beinsports,1,10/04/2022
#ligue1,bayer,1,10/04/2022
#ligue1,soccerpatriots,1,10/04/2022
#ligue1,copadelaliga,1,10/04/2022
#ligue1,balondor,1,10/04/2022
#ligue1,b04,1,10/04/2022
#ligue1,sportsbetting,1,10/04/2022
#ligue1,srfc,1,10/04/2022
#ligue1,stadedereims,1,10/04/2022
#ligue1,staderennais,1,10/04/2022
#ligue1,atal,1,10/04/2022
#ligue1,strlyo,1,10/04/2022
#ligue1,supersunday,1,10/04/2022
#ligue1,süperlig,1,10/04/2022
#ligue1,tahmin,1,10/04/2022
#ligue1,spor,1,10/04/2022
#ligue1,csk,1,10/04/2022
#ligue1,ogcn,1,10/04/2022
#ligue1,ipl,1,10/04/2022
#ligue1,jupitermeta,1,10/04/2022
#ligue1,kalimuendo,1,10/04/2022
#ligue1,kimbepe,1,10/04/2022
#ligue1,fcmetz,1,10/04/2022
#ligue1,kirabolinks,1,10/04/2022
#ligue1,kylianmbappe,1,10/04/2022
#ligue1,fcgb,1,10/04/2022
#ligue1,fcblive,1,10/04/2022
#ligue1,fcbayern,1,10/04/2022
