keyword,hashtag,count_hashtag,date
#liverpool,liverpool,609,22/03/2022
#liverpool,lfc,114,22/03/2022
#liverpool,liverpoolfc,56,22/03/2022
#liverpool,london,45,22/03/2022
#liverpool,manchester,43,22/03/2022
#liverpool,ynwa,36,22/03/2022
#liverpool,premierleague,28,22/03/2022
#liverpool,arsenal,28,22/03/2022
#liverpool,mancity,26,22/03/2022
#liverpool,ljlaspotters,24,22/03/2022
#liverpool,planespotting,24,22/03/2022
#liverpool,football,24,22/03/2022
#liverpool,anfield,19,22/03/2022
#liverpool,epl,18,22/03/2022
#liverpool,england,18,22/03/2022
#liverpool,sports,17,22/03/2022
#liverpool,birmingham,17,22/03/2022
#liverpool,facup,16,22/03/2022
#liverpool,newcastle,16,22/03/2022
#liverpool,job,15,22/03/2022
#liverpool,france,15,22/03/2022
#liverpool,chelsea,15,22/03/2022
#liverpool,manutd,15,22/03/2022
#liverpool,anthems,14,22/03/2022
#liverpool,house,14,22/03/2022
#liverpool,paris,14,22/03/2022
#liverpool,machinelearning,13,22/03/2022
#liverpool,python,13,22/03/2022
#liverpool,nantes,13,22/03/2022
#liverpool,crypto,13,22/03/2022
#liverpool,coding,13,22/03/2022
#liverpool,btc,13,22/03/2022
#liverpool,nfts,13,22/03/2022
#liverpool,javascript,13,22/03/2022
#liverpool,womenwhocode,13,22/03/2022
#liverpool,programming,13,22/03/2022
#liverpool,100daysofcode,13,22/03/2022
#liverpool,ai,13,22/03/2022
#liverpool,reactjs,13,22/03/2022
#liverpool,gamedev,13,22/03/2022
#liverpool,ukjobs,13,22/03/2022
#liverpool,uk,13,22/03/2022
#liverpool,bigdata,13,22/03/2022
#liverpool,eth,13,22/03/2022
#liverpool,best,13,22/03/2022
#liverpool,leeds,13,22/03/2022
#liverpool,cheshire,13,22/03/2022
#liverpool,klopp,12,22/03/2022
#liverpool,live,12,22/03/2022
#liverpool,melwood,12,22/03/2022
#liverpool,myweather,12,22/03/2022
#liverpool,wales,12,22/03/2022
#liverpool,like,11,22/03/2022
#liverpool,housemusic,11,22/03/2022
#liverpool,onair,11,22/03/2022
