keyword,language,word,count_word,date
#liverpool,en,liverpool,680,29/03/2022
#liverpool,en,lfc,85,29/03/2022
#liverpool,en,new,52,29/03/2022
#liverpool,en,street,49,29/03/2022
#liverpool,en,merseyside,42,29/03/2022
#liverpool,en,fairycam,41,29/03/2022
#liverpool,en,amp,41,29/03/2022
#liverpool,en,salah,37,29/03/2022
#liverpool,en,liverpoolfc,36,29/03/2022
#liverpool,en,ynwa,33,29/03/2022
#liverpool,en,pics,30,29/03/2022
#liverpool,en,uk,30,29/03/2022
#liverpool,en,manchester,29,29/03/2022
#liverpool,en,city,29,29/03/2022
#liverpool,en,travelblogger,28,29/03/2022
#liverpool,en,lv,28,29/03/2022
#liverpool,en,traveling,28,29/03/2022
#liverpool,en,livertwitter,28,29/03/2022
#liverpool,en,watford,24,29/03/2022
#liverpool,en,follome,24,29/03/2022
#liverpool,en,us,23,29/03/2022
#liverpool,en,like,22,29/03/2022
#liverpool,en,c,21,29/03/2022
#liverpool,en,london,20,29/03/2022
#liverpool,en,see,20,29/03/2022
#liverpool,en,photography,20,29/03/2022
#liverpool,en,live,20,29/03/2022
#liverpool,en,morning,19,29/03/2022
#liverpool,en,mane,19,29/03/2022
#liverpool,en,want,18,29/03/2022
#liverpool,en,cloudy,18,29/03/2022
#liverpool,en,looking,18,29/03/2022
#liverpool,en,england,18,29/03/2022
#liverpool,en,good,17,29/03/2022
#liverpool,en,tickets,17,29/03/2022
#liverpool,en,team,17,29/03/2022
#liverpool,en,one,17,29/03/2022
#liverpool,en,leeds,17,29/03/2022
#liverpool,en,please,17,29/03/2022
#liverpool,en,home,16,29/03/2022
#liverpool,en,get,16,29/03/2022
#liverpool,en,senegal,15,29/03/2022
#liverpool,en,night,15,29/03/2022
#liverpool,en,share,15,29/03/2022
#liverpool,en,player,15,29/03/2022
#liverpool,en,anthems,15,29/03/2022
#liverpool,en,details,15,29/03/2022
#liverpool,en,april,15,29/03/2022
#liverpool,en,outside,14,29/03/2022
#liverpool,en,visit,14,29/03/2022
#liverpool,en,streetphotography,14,29/03/2022
#liverpool,en,dm,14,29/03/2022
#liverpool,en,worldcup,14,29/03/2022
#liverpool,en,sign,14,29/03/2022
#liverpool,en,world,14,29/03/2022
#liverpool,en,next,14,29/03/2022
#liverpool,en,anfield,14,29/03/2022
#liverpool,en,vs,14,29/03/2022
#liverpool,en,people,14,29/03/2022
#liverpool,en,music,13,29/03/2022
#liverpool,en,available,13,29/03/2022
#liverpool,en,th,13,29/03/2022
#liverpool,en,best,13,29/03/2022
#liverpool,en,tomorrow,13,29/03/2022
#liverpool,en,back,13,29/03/2022
#liverpool,en,join,13,29/03/2022
#liverpool,en,partly,13,29/03/2022
#liverpool,en,help,12,29/03/2022
#liverpool,en,saturday,12,29/03/2022
#liverpool,en,season,12,29/03/2022
#liverpool,en,housepartyradio,12,29/03/2022
#liverpool,en,news,12,29/03/2022
#liverpool,en,onair,12,29/03/2022
#liverpool,en,epl,12,29/03/2022
#liverpool,en,housemusic,12,29/03/2022
#liverpool,en,webmobilealexa,12,29/03/2022
#liverpool,en,day,12,29/03/2022
#liverpool,en,man,12,29/03/2022
#liverpool,en,two,11,29/03/2022
#liverpool,en,also,11,29/03/2022
#liverpool,en,glasgow,11,29/03/2022
#liverpool,en,ticket,11,29/03/2022
#liverpool,en,mancity,11,29/03/2022
#liverpool,en,l,11,29/03/2022
#liverpool,en,interested,11,29/03/2022
#liverpool,en,community,11,29/03/2022
#liverpool,en,find,11,29/03/2022
#liverpool,en,egypt,11,29/03/2022
#liverpool,en,newcastle,11,29/03/2022
#liverpool,en,open,11,29/03/2022
#liverpool,en,house,11,29/03/2022
#liverpool,en,st,11,29/03/2022
#liverpool,en,hour,11,29/03/2022
#liverpool,en,great,11,29/03/2022
#liverpool,en,events,11,29/03/2022
#liverpool,en,old,11,29/03/2022
#liverpool,en,birmingham,11,29/03/2022
#liverpool,en,business,10,29/03/2022
#liverpool,en,training,10,29/03/2022
#liverpool,en,week,10,29/03/2022
#liverpool,en,possible,10,29/03/2022
#liverpool,en,today,10,29/03/2022
#liverpool,en,highs,10,29/03/2022
#liverpool,en,last,10,29/03/2022
#liverpool,en,cardiff,10,29/03/2022
#liverpool,en,via,10,29/03/2022
#liverpool,en,top,10,29/03/2022
#liverpool,en,road,10,29/03/2022
#liverpool,en,go,10,29/03/2022
#liverpool,en,premierleague,10,29/03/2022
#liverpool,en,myweather,10,29/03/2022
#liverpool,en,time,10,29/03/2022
#liverpool,en,price,10,29/03/2022
#liverpool,en,first,10,29/03/2022
#liverpool,en,x,9,29/03/2022
#liverpool,en,show,9,29/03/2022
#liverpool,en,free,9,29/03/2022
#liverpool,en,wait,9,29/03/2022
#liverpool,en,barcelona,9,29/03/2022
#liverpool,en,play,9,29/03/2022
#liverpool,en,football,9,29/03/2022
#liverpool,en,tour,9,29/03/2022
#liverpool,en,set,9,29/03/2022
#liverpool,en,cup,9,29/03/2022
#liverpool,en,really,9,29/03/2022
#liverpool,en,evening,9,29/03/2022
#liverpool,en,klopp,9,29/03/2022
#liverpool,en,come,9,29/03/2022
#liverpool,en,stereophonics,9,29/03/2022
#liverpool,en,still,9,29/03/2022
#liverpool,en,special,9,29/03/2022
#liverpool,en,everton,9,29/03/2022
#liverpool,en,everyone,9,29/03/2022
#liverpool,en,event,8,29/03/2022
#liverpool,en,going,8,29/03/2022
#liverpool,en,contact,8,29/03/2022
#liverpool,en,tonight,8,29/03/2022
#liverpool,en,would,8,29/03/2022
#liverpool,en,book,8,29/03/2022
#liverpool,en,support,8,29/03/2022
#liverpool,en,says,8,29/03/2022
#liverpool,en,food,8,29/03/2022
#liverpool,en,job,8,29/03/2022
#liverpool,en,better,8,29/03/2022
#liverpool,en,coming,8,29/03/2022
#liverpool,en,got,8,29/03/2022
#liverpool,en,could,8,29/03/2022
#liverpool,en,march,8,29/03/2022
#liverpool,en,link,8,29/03/2022
#liverpool,en,art,8,29/03/2022
#liverpool,en,getting,8,29/03/2022
#liverpool,en,think,8,29/03/2022
#liverpool,en,belfast,8,29/03/2022
#liverpool,en,travel,8,29/03/2022
#liverpool,en,well,8,29/03/2022
#liverpool,en,full,8,29/03/2022
#liverpool,en,nft,8,29/03/2022
#liverpool,en,need,7,29/03/2022
#liverpool,en,patches,7,29/03/2022
#liverpool,en,match,7,29/03/2022
#liverpool,en,weekend,7,29/03/2022
#liverpool,en,report,7,29/03/2022
#liverpool,en,angiesliverpool,7,29/03/2022
#liverpool,en,brighton,7,29/03/2022
#liverpool,en,little,7,29/03/2022
#liverpool,en,sheffield,7,29/03/2022
#liverpool,en,v,7,29/03/2022
#liverpool,en,right,7,29/03/2022
#liverpool,en,police,7,29/03/2022
#liverpool,en,lfcfamily,7,29/03/2022
#liverpool,en,yoliverpool,7,29/03/2022
#liverpool,en,fantastic,7,29/03/2022
#liverpool,en,benfica,7,29/03/2022
#liverpool,en,check,7,29/03/2022
#liverpool,en,fans,7,29/03/2022
#liverpool,en,arsenal,7,29/03/2022
#liverpool,en,amazing,7,29/03/2022
#liverpool,en,part,7,29/03/2022
#liverpool,en,aged,7,29/03/2022
#liverpool,en,lfcspares,7,29/03/2022
#liverpool,en,showcase,7,29/03/2022
#liverpool,en,park,7,29/03/2022
#liverpool,en,store,6,29/03/2022
#liverpool,en,absolutely,6,29/03/2022
#liverpool,en,cctv,6,29/03/2022
#liverpool,en,career,6,29/03/2022
