keyword,language,author,twitter_name,create_at,location,text,hashtag,tweets_count,retweet_count,favourite_count,date,time,sentiment
#liverpool,th,SMMSPORT,@SMMSPORT_News,2022-04-21 23:00:00+00:00,"bangkok,Thailand","คริสเตียโน่ โรนัลโด้ ออกมาแสดงความขอบคุณหล่า เดอะ ค็อป ที่ปรบมือให้กำลังใจเขา และร่วมร้องเพลง You'll Never Walk Alone ในเกมแดงเดือด เมื่อวันอังคารที่ผ่านมา

#SMMSPORT #คริสเตียโน่โรนัลโด้ #CristianoRonaldo #ลิเวอร์พูล #Liverpool 

https://t.co/aHSnZYCDot",/SMMSPORT/คริสเตียโน่โรนัลโด้/CristianoRonaldo/ลิเวอร์พูล/Liverpool,2,1,1,21/04/2022,23:00,positive
#liverpool,th,𝐩𝐞𝐧𝐧𝐲 ft.,@rahunno,2022-04-21 19:45:21+00:00,𝙹𝚈𝙿 • 𝙻𝙵𝙲 ,"มึงช่องคุณทอย toychw จะดีไปไหนตามมาตั้งแต่ep.แรก จนถึงคลิปนี้รู้สึกซาบซึ้งหัวใจไม่ไหว55555ดีใจไปกับเขารู้สึกไปกับเขาทุกคลิปเลย แล้วตัดคลิปดีชิบหายตัดไวแต่งานไม่เคยชุ่ยเลยค่ะ channelช่องโปรด ยกให้เขาเลย ❤️😭 #Liverpool #toychw #YNWA 
 https://t.co/AOUXQrBgPL",/Liverpool/toychw/YNWA,4,3,0,21/04/2022,19:45,positive
#liverpool,th,🌹HoneyRose🌹,@TRangmat_mai,2022-04-21 15:54:53+00:00,,เปลี่ยนใจไปเชียร์แมนยูไม่ได้จริงๆค่ะ เราอ่ะ #Liverpool มาตั้งแต่ดูบอลเป็นเลยนะ ตั้งแต่โอเว่นยังเหล่ท่อ และไม่เคยอินกับแมนยูเลย แต่..........มีแฟนเป็นเด็กผีค๊าาาาา 🥴☹☹☹🤣 แดงเดือดทีไร ขิงกันแบบไม่คำนึงถึงคำว่าแฟนกันเลยทีเดียว #แดงเดือด,/Liverpool/แดงเดือด,1,0,1,21/04/2022,15:54,negative
#liverpool,th,Thairath_Sport,@Thairath_Sport,2022-04-21 15:18:20+00:00,,"ทัวร์ลง “ยูฟ่า” ขายตั๋ว UCL รอบชิงฯ แพงหูฉี่ และแบ่งที่ให้แฟนบอล ""น้อยเกินไป""

https://t.co/IkrrvjrEGg

#ยูฟ่าแชมเปียนส์ลีก #ยูฟ่า #UCL #ลิเวอร์พูล #แมนซิตี้ #แมนเชสเตอร์ซิตี้ #liverpool #ไทยรัฐสปอร์ต #ไทยรัฐออนไลน์",/ยูฟ่าแชมเปียนส์ลีก/ยูฟ่า/UCL/ลิเวอร์พูล/แมนซิตี้/แมนเชสเตอร์ซิตี้/liverpool/ไทยรัฐสปอร์ต/ไทยรัฐออนไลน์,1,0,0,21/04/2022,15:18,neutral
#liverpool,th,สินค้า Liverpool ของแท้ 100% By พี่โย @soyoso,@bysoyoso,2022-04-21 14:01:18+00:00,"Bang Kapi, Bangkok","เสื้อยืด Carabao Winners 2022 สีแดงแปร้ดดดด ผ้าดีครับ ไม่บาง ไม่สาก ลายสกรีนใหญ่เบ้อเริ้มเลยย ด้านหลังไม่มีลายครับ ราคา 1,299 บาทส่งฟรี
- M อก 40""
- L อก 44""
- XL อก 48""
เสื้อลิขสิทธิ์แท้จาก UK #YNWA #LFC #Liverpool https://t.co/KtCfkV1ByL",/YNWA/LFC/Liverpool,1,0,3,21/04/2022,14:01,positive
#liverpool,th,สินค้า Liverpool ของแท้ 100% By พี่โย @soyoso,@bysoyoso,2022-04-21 13:59:42+00:00,"Bang Kapi, Bangkok","ชุดบอดี้สูท LFC baby ลายใหม่มาแล้วว มาเป็นแพ็คคู่ 990 บาทได้ 2 ชุด คุ้มมากๆๆๆ  มี 2 ขนาด
- 6-9 เดือน อก 18"" ยาว 17""
- 9-12 เดือน อก 20"" ยาว 18""

สินค้าลิขสิทธิ์แท้ #YNWA #LFC #Liverpool https://t.co/bbmqpKGF6C",/YNWA/LFC/Liverpool,1,0,1,21/04/2022,13:59,positive
#liverpool,th,PPTV HD 36,@PPTVHD36,2022-04-21 13:03:44+00:00,Bangkok,"เปิดโต๊ะข่าวกีฬา วันนี้ 21 เม.ย. 65  ""หงส์แดง"" 4 แชมป์​ ทำได้จริงหรือราคาคุย!!! ตั้งโต๊ะคุยกับ""กุ่ย​ ตังกุย""

🔴LIVE!!! เวลา 21.30 น. บน Facebook และ YouTube PPTVHD36

#ลิเวอร์พูล #Liverpool #หงส์แดง #พรีเมียร์ลีก #กุ่ยตังกุย #ฟุตบอล #เรื่องข่าวเรื่องใหญ่ #เปิดโต๊ะข่าว #PPTVHD36 https://t.co/bEgyKA9y8H",/ลิเวอร์พูล/Liverpool/หงส์แดง/พรีเมียร์ลีก/กุ่ยตังกุย/ฟุตบอล/เรื่องข่าวเรื่องใหญ่/เปิดโต๊ะข่าว/PPTVHD36,1,0,2,21/04/2022,13:03,positive
#liverpool,th,SMMSPORT,@SMMSPORT_News,2022-04-21 10:00:02+00:00,"bangkok,Thailand","คาร์ร่าเผยเฟอร์กี้บอกอะไรเขาในห้องแต่งตัวผีหลังคล็อปป์มาคุมหงส์

#SMMSPORT #เจมี่คาร์ราเกอร์ #เซอร์อเล็กซ์เฟอร์กูสัน #เก้นคล็อปป์ #ลิเวอร์พูล #Liverpool #พรีเมียร์ลีก🏴󠁧󠁢󠁥󠁮󠁧󠁿 

https://t.co/Nj1iLZVR6z",/SMMSPORT/เจมี่คาร์ราเกอร์/เซอร์อเล็กซ์เฟอร์กูสัน/เก้นคล็อปป์/ลิเวอร์พูล/Liverpool/พรีเมียร์ลีก,2,1,3,21/04/2022,10:00,neutral
#liverpool,th,Joy,@Joy35197698,2022-04-21 09:11:28+00:00,,"ขายบัตร 5,000 ฝั่งลิเวอร์พูล โซน S2A มี 4 ที่นั่งติดกัน​ แถว​ AH​ และ​ 3​ ที่นั่งติด​ แถว​ AAกับ​ ABคะ
สนใจ Dm ได้เลยจ้า
#THEMATCHBangkokCenturyCup2022 #แดงเดือด #แดงเดือดเมืองไทย #แดงเดือดในไทย #ลิเวอร์พูล #LiverpoolFC #Liverpool https://t.co/h2fhlKXdsC",/THEMATCHBangkokCenturyCup2022/แดงเดือด/แดงเดือดเมืองไทย/แดงเดือดในไทย/ลิเวอร์พูล/LiverpoolFC/Liverpool,1,0,0,21/04/2022,09:11,negative
#liverpool,th,Thairath_Sport,@Thairath_Sport,2022-04-21 05:47:06+00:00,,"วัดกันไปเลย เปิดโปรแกรมพรีเมียร์ลีกที่เหลือ ""ลิเวอร์พูล-แมนซิตี้"" ซีซั่นนี้

https://t.co/DoLwacoieK

#ลิเวอร์พูล #liverpool #หงส์แดง #พรีเมียร์ลีก #พรีเมียร์ลีกอังกฤษ #โปรแกรมพรีเมียร์ลีก #แมนซิตี้ #แมนเชสเตอร์ซิตี้ #ไทยรัฐสปอร์ต #ไทยรัฐออนไลน์",/ลิเวอร์พูล/liverpool/หงส์แดง/พรีเมียร์ลีก/พรีเมียร์ลีกอังกฤษ/โปรแกรมพรีเมียร์ลีก/แมนซิตี้/แมนเชสเตอร์ซิตี้/ไทยรัฐสปอร์ต/ไทยรัฐออนไลน์,1,0,0,21/04/2022,05:47,positive
#liverpool,th,Marsbet Thailand,@MarsbetThailand,2022-04-21 05:18:49+00:00,,"หลังพ่าย #Liverpool ด้วยสกอร์ 4-0 อดีตกองกลาง พอล สโคลส์ ต้องยอมรับว่าการดู แมนฯยู นั้น ""น่าขยะแขยง"" จริงๆ
“พวกเขาต้องการข้ามฤดูกาลนี้ แต่ไม่มีที่ไหนให้ซ่อน นักเตะแมนฯ ยูไนเต็ดแค่ต้องการให้ฤดูกาลจบลง""
#Marsbet #marsbetthailand #ManUnited https://t.co/znXt8ok9OM",/Liverpool/Marsbet/marsbetthailand/ManUnited,1,0,0,21/04/2022,05:18,negative
#liverpool,th,Boom_Boom332,@BBoom332,2022-04-21 03:52:52+00:00,,"#ThaiBETFLIK
🥇ค่ายเกมส์เยอะสุดในไทย🏆
💥ฝากไม่มีขั้นต่ำ-ถอนขั้นต่ำ 100💥
🌟ฝาก 100 ได้หมุนกงล้อ ลุ้น5,000
1สิทธิ์ / รับได้ 3สิทธิ์ ทุกวัน🌟
สมัครสมาชิก❤️
ที่นี่ https://t.co/RjqohfW26i ค่ะ
สอบถาม ไลน์ @THAIBF168
#slotonline #Liverpool #PremierLeague https://t.co/vRaFZx3oqO",/ThaiBETFLIK/slotonline/Liverpool/PremierLeague,1,0,0,21/04/2022,03:52,positive
#liverpool,th,Red Zone,@redzonesl24,2022-04-21 03:36:36+00:00,,"[ Thiago Alcantara ]

""Torres เคยบอกกับผมว่า ห้ามเอามือไปแตะป้าย 'This is Anfield' เด็ดขาด!! จนกว่าผมจะคว้าโทรฟี่สักรายการกับ Liverpool""

""ผมจะแตะป้ายนี้ในวันที่ผมคู่ควรและประสบความสำเร็จกับทีมแล้ว""

#Liverpool #LFC #ลิเวอร์พูล #แดงเดือด #Thiago https://t.co/4e8UHGY6pK",/Liverpool/LFC/ลิเวอร์พูล/แดงเดือด/Thiago,1,0,5,21/04/2022,03:36,positive
#liverpool,th,Watto,@Wattoynwa86,2022-04-21 02:18:13+00:00,,ภาพสวยมาก #Liverpool https://t.co/dI3cwUOWK8,/Liverpool,1,0,0,21/04/2022,02:18,positive
#liverpool,th,SMMSPORT,@SMMSPORT_News,2022-04-21 01:30:00+00:00,"bangkok,Thailand","ทีมในลีกจิงโจ้เมินต่อสัญญาอดีตแข้ง 'หงส์' เหตุเจ็บบ่อยเกิน

#SMMSPORT #แดเนียลสเตอร์ริดจ์ #เพิร์ธกลอรี่ #ลิเวอร์พูล #Liverpool #พรีเมียร์ลีก 🏴󠁧󠁢󠁥󠁮󠁧󠁿   

https://t.co/zhYTruthA8",/SMMSPORT/แดเนียลสเตอร์ริดจ์/เพิร์ธกลอรี่/ลิเวอร์พูล/Liverpool/พรีเมียร์ลีก,1,0,1,21/04/2022,01:30,negative
#liverpool,en,JACK GEORGE,@nftartist2024,2022-04-21 23:59:54+00:00,Science & Technology  ,"V1 invisible punks
FLOOR  PRICE 0.005 WETH

@opensea 
#nft #nftart #nftartists  #nfts
#nftcollector #NFTs  
#LIVMUN #Liverpool #blocksart #art #artblocks 
#SalarioRosa #apecoin #COYG #crypto #defi #nftartist2024 

https://t.co/XcJijoCCqg https://t.co/fyg0kt2bjP",/nft/nftart/nftartists/nfts/nftcollector/NFTs/LIVMUN/Liverpool/blocksart/art/artblocks/SalarioRosa/apecoin/COYG/crypto/defi/nftartist2024,2,1,0,21/04/2022,23:59,neutral
#liverpool,en,JACK GEORGE,@nftartist2024,2022-04-21 23:59:40+00:00,Science & Technology  ,"V1 invisible punks
FLOOR  PRICE 0.005 WETH

@opensea 
#nft #nftart #nftartists  #nfts
#nftcollector #NFTs  
#LIVMUN #Liverpool #blocksart #art #artblocks 
#SalarioRosa #apecoin #COYG #crypto #defi #nftartist2024 

https://t.co/XcJijoCCqg https://t.co/x4LPD0D6ZB",/nft/nftart/nftartists/nfts/nftcollector/NFTs/LIVMUN/Liverpool/blocksart/art/artblocks/SalarioRosa/apecoin/COYG/crypto/defi/nftartist2024,2,1,0,21/04/2022,23:59,neutral
#liverpool,en,JACK GEORGE,@nftartist2024,2022-04-21 23:59:24+00:00,Science & Technology  ,"V1 invisible punks
FLOOR  PRICE 0.005 WETH

@opensea 
#nft #nftart #nftartists  #nfts
#nftcollector #NFTs  
#LIVMUN #Liverpool #blocksart #art #artblocks 
#SalarioRosa #apecoin #COYG #crypto #defi #nftartist2024 

https://t.co/XcJijoCCqg https://t.co/SyM6KWtedk",/nft/nftart/nftartists/nfts/nftcollector/NFTs/LIVMUN/Liverpool/blocksart/art/artblocks/SalarioRosa/apecoin/COYG/crypto/defi/nftartist2024,2,1,0,21/04/2022,23:59,neutral
#liverpool,en,JACK GEORGE,@nftartist2024,2022-04-21 23:59:09+00:00,Science & Technology  ,"V1 invisible punks
FLOOR  PRICE 0.005 WETH

@opensea 
#nft #nftart #nftartists  #nfts
#nftcollector #NFTs  
#LIVMUN #Liverpool #blocksart #art #artblocks 
#SalarioRosa #apecoin #COYG #crypto #defi #nftartist2024 

https://t.co/XcJijoCCqg https://t.co/MqWrAwcwIB",/nft/nftart/nftartists/nfts/nftcollector/NFTs/LIVMUN/Liverpool/blocksart/art/artblocks/SalarioRosa/apecoin/COYG/crypto/defi/nftartist2024,2,1,0,21/04/2022,23:59,neutral
#liverpool,en,JACK GEORGE,@nftartist2024,2022-04-21 23:58:53+00:00,Science & Technology  ,"V1 invisible punks
FLOOR  PRICE 0.005 WETH

@opensea 
#nft #nftart #nftartists  #nfts
#nftcollector #NFTs  
#LIVMUN #Liverpool #blocksart #art #artblocks 
#SalarioRosa #apecoin #COYG #crypto #defi #nftartist2024 

https://t.co/XcJijoCCqg https://t.co/UY17gOtDQc",/nft/nftart/nftartists/nfts/nftcollector/NFTs/LIVMUN/Liverpool/blocksart/art/artblocks/SalarioRosa/apecoin/COYG/crypto/defi/nftartist2024,2,1,0,21/04/2022,23:58,neutral
