keyword,hashtag,count_hashtag,date
#liverpool,liverpool,942,26/04/2022
#liverpool,nfts,169,26/04/2022
#liverpool,ucl,148,26/04/2022
#liverpool,lfc,142,26/04/2022
#liverpool,villarreal,115,26/04/2022
#liverpool,crypto,94,26/04/2022
#liverpool,championsleague,89,26/04/2022
#liverpool,nft,88,26/04/2022
#liverpool,ynwa,87,26/04/2022
#liverpool,art,87,26/04/2022
#liverpool,defi,86,26/04/2022
#liverpool,nftartists,85,26/04/2022
#liverpool,coyg,84,26/04/2022
#liverpool,nftcollector,84,26/04/2022
#liverpool,nftartist2024,84,26/04/2022
#liverpool,artblocks,84,26/04/2022
#liverpool,nftart,84,26/04/2022
#liverpool,livmun,84,26/04/2022
#liverpool,apecoin,84,26/04/2022
#liverpool,blocksart,84,26/04/2022
#liverpool,london,82,26/04/2022
#liverpool,leeds,77,26/04/2022
#liverpool,glasgow,70,26/04/2022
#liverpool,birmingham,67,26/04/2022
#liverpool,mancity,59,26/04/2022
#liverpool,liverpoolfc,59,26/04/2022
#liverpool,derby,58,26/04/2022
#liverpool,livvil,52,26/04/2022
#liverpool,hull,52,26/04/2022
#liverpool,realmadrid,49,26/04/2022
#liverpool,premierleague,44,26/04/2022
#liverpool,liverpooltickets,42,26/04/2022
#liverpool,newcaslte,42,26/04/2022
#liverpool,cardiff,40,26/04/2022
#liverpool,football,36,26/04/2022
#liverpool,mondayvibes,35,26/04/2022
#liverpool,talktv,31,26/04/2022
#liverpool,lordofthespaces,31,26/04/2022
#liverpool,lesbianvisibilityweek,31,26/04/2022
#liverpool,liverpoolspares,31,26/04/2022
#liverpool,manchester,29,26/04/2022
#liverpool,unaiemery,28,26/04/2022
#liverpool,livvcf,27,26/04/2022
#liverpool,uel,27,26/04/2022
#liverpool,manuelpelligrini,26,26/04/2022
#liverpool,pellegrini,26,26/04/2022
#liverpool,worldcup,26,26/04/2022
#liverpool,stadedefrance,26,26/04/2022
#liverpool,anfield,26,26/04/2022
#liverpool,carabaocup,26,26/04/2022
#liverpool,emery,26,26/04/2022
#liverpool,belfast,25,26/04/2022
#liverpool,uk,25,26/04/2022
#liverpool,newcastle,25,26/04/2022
#liverpool,epl,24,26/04/2022
#liverpool,bristol,23,26/04/2022
#liverpool,lufc,21,26/04/2022
#liverpool,houseofgames,21,26/04/2022
#liverpool,scotland,20,26/04/2022
#liverpool,everton,19,26/04/2022
#liverpool,wales,19,26/04/2022
#liverpool,england,19,26/04/2022
#liverpool,mcirma,19,26/04/2022
#liverpool,manchestercity,18,26/04/2022
#liverpool,chelsea,18,26/04/2022
#liverpool,exeter,17,26/04/2022
#liverpool,cheshire,17,26/04/2022
#liverpool,kent,17,26/04/2022
#liverpool,devon,16,26/04/2022
#liverpool,sussex,16,26/04/2022
#liverpool,cumbria,16,26/04/2022
#liverpool,guildford,16,26/04/2022
#liverpool,essex,16,26/04/2022
#liverpool,cornwall,16,26/04/2022
#liverpool,norfolk,16,26/04/2022
#liverpool,klopp,16,26/04/2022
#liverpool,surrey,16,26/04/2022
#liverpool,salah,15,26/04/2022
#liverpool,edinburgh,15,26/04/2022
#liverpool,crafts,15,26/04/2022
#liverpool,love,14,26/04/2022
#liverpool,health,14,26/04/2022
#liverpool,bizitalk,14,26/04/2022
#liverpool,atsocialmedia,14,26/04/2022
#liverpool,architecture,14,26/04/2022
#liverpool,arsenal,13,26/04/2022
#liverpool,motivation,13,26/04/2022
#liverpool,lincoln,13,26/04/2022
#liverpool,lifestyle,13,26/04/2022
#liverpool,fitness,12,26/04/2022
#liverpool,food,12,26/04/2022
#liverpool,leicester,12,26/04/2022
#liverpool,gym,12,26/04/2022
#liverpool,foodie,12,26/04/2022
#liverpool,smallbusiness,12,26/04/2022
#liverpool,vegan,12,26/04/2022
#liverpool,anthems,12,26/04/2022
#liverpool,mcfc,12,26/04/2022
#liverpool,fit,12,26/04/2022
#liverpool,healthyfood,12,26/04/2022
#liverpool,chester,12,26/04/2022
#liverpool,workout,12,26/04/2022
#liverpool,healthy,12,26/04/2022
#liverpool,weightloss,12,26/04/2022
#liverpool,healthylifestyle,12,26/04/2022
#liverpool,salariorosa,11,26/04/2022
#liverpool,digitalpainting,11,26/04/2022
#liverpool,smallbiz,11,26/04/2022
#liverpool,liverpoolagainstracism,11,26/04/2022
#liverpool,mufc,11,26/04/2022
#liverpool,live,11,26/04/2022
#liverpool,enthiran,11,26/04/2022
#liverpool,liverpoolvillarreal,11,26/04/2022
#liverpool,business,11,26/04/2022
#liverpool,entrepreneur,11,26/04/2022
#liverpool,merseyside,11,26/04/2022
#liverpool,startups,11,26/04/2022
#liverpool,freelance,11,26/04/2022
#liverpool,reds,10,26/04/2022
#liverpool,housemusic,10,26/04/2022
#liverpool,manutd,10,26/04/2022
#liverpool,like,10,26/04/2022
#liverpool,lfcspares,10,26/04/2022
#liverpool,share,10,26/04/2022
#liverpool,yorkshire,10,26/04/2022
#liverpool,bigtunes,10,26/04/2022
#liverpool,nationallingerieday,10,26/04/2022
#liverpool,onair,10,26/04/2022
#liverpool,uefa,10,26/04/2022
#liverpool,craftbizparty,10,26/04/2022
#liverpool,housepartyradio,10,26/04/2022
#liverpool,architecturephotography,10,26/04/2022
#liverpool,myweather,10,26/04/2022
#liverpool,jubilee,10,26/04/2022
#liverpool,bristoluk,9,26/04/2022
#liverpool,villareal,9,26/04/2022
#liverpool,lfctickets,9,26/04/2022
#liverpool,uefachampionsleague,9,26/04/2022
#liverpool,tour,9,26/04/2022
#liverpool,ลิเวอร์พูล,9,26/04/2022
#liverpool,ukcities,9,26/04/2022
#liverpool,ascotraces,9,26/04/2022
#liverpool,soccer,9,26/04/2022
#liverpool,ascot,9,26/04/2022
#liverpool,davidjames,9,26/04/2022
#liverpool,lovers,9,26/04/2022
#liverpool,liverpoolcity,9,26/04/2022
#liverpool,podcasts,8,26/04/2022
#liverpool,liveve,8,26/04/2022
#liverpool,liverpooolfc,8,26/04/2022
#liverpool,toisportscast,8,26/04/2022
#liverpool,nottingham,8,26/04/2022
#liverpool,queen,8,26/04/2022
#liverpool,sheffield,8,26/04/2022
#liverpool,manunited,7,26/04/2022
#liverpool,livarpool,7,26/04/2022
#liverpool,mosalah,7,26/04/2022
