keyword,hashtag,count_hashtag,date
#manutd,manutd,340,23/03/2022
#manutd,mufc,218,23/03/2022
#manutd,manchesterunited,79,23/03/2022
#manutd,manunited,66,23/03/2022
#manutd,tenhag,43,23/03/2022
#manutd,premierleague,29,23/03/2022
#manutd,epl,26,23/03/2022
#manutd,eriktenhag,25,23/03/2022
#manutd,pogba,20,23/03/2022
#manutd,adored,19,23/03/2022
#manutd,football,17,23/03/2022
#manutd,ggmu,16,23/03/2022
#manutd,transfers,16,23/03/2022
#manutd,mufc_family,16,23/03/2022
#manutd,manchester,14,23/03/2022
#manutd,pochettino,13,23/03/2022
#manutd,tenhagin,11,23/03/2022
#manutd,pl,11,23/03/2022
#manutd,arsenal,9,23/03/2022
#manutd,reddevils,8,23/03/2022
#manutd,mulive,8,23/03/2022
#manutd,manu,7,23/03/2022
#manutd,rooney,7,23/03/2022
#manutd,glazersout,7,23/03/2022
#manutd,plhalloffame,6,23/03/2022
#manutd,ronaldo,6,23/03/2022
#manutd,united,6,23/03/2022
#manutd,murdfootball,6,23/03/2022
#manutd,everton,5,23/03/2022
#manutd,chelsea,5,23/03/2022
#manutd,championsleague,5,23/03/2022
#manutd,unitedtickets,5,23/03/2022
#manutd,manager,5,23/03/2022
#manutd,soccer,5,23/03/2022
#manutd,mancity,5,23/03/2022
#manutd,latestnews,5,23/03/2022
#manutd,liverpool,5,23/03/2022
#manutd,elanga,4,23/03/2022
#manutd,ajax,4,23/03/2022
#manutd,spurs,4,23/03/2022
#manutd,premier_space,4,23/03/2022
#manutd,oldtrafford,4,23/03/2022
#manutd,premier,4,23/03/2022
#manutd,tenhaag,4,23/03/2022
#manutd,liverpoolfc,4,23/03/2022
#manutd,manchesterun,4,23/03/2022
#manutd,epls,4,23/03/2022
#manutd,thestretfordend,3,23/03/2022
#manutd,eth,3,23/03/2022
#manutd,lfc,3,23/03/2022
#manutd,jft97,3,23/03/2022
#manutd,ucl,3,23/03/2022
#manutd,manutdtickets,3,23/03/2022
#manutd,manutdfans,3,23/03/2022
#manutd,mourinho,3,23/03/2022
#manutd,mujournal,3,23/03/2022
#manutd,astonvilla,3,23/03/2022
#manutd,bbcfootball,3,23/03/2022
#manutd,redrants,3,23/03/2022
#manutd,utfr,3,23/03/2022
#manutd,ynwa,3,23/03/2022
#manutd,cr7,3,23/03/2022
#manutd,wolves,3,23/03/2022
#manutd,brunofernandes,3,23/03/2022
#manutd,prem,3,23/03/2022
#manutd,araújo,3,23/03/2022
#manutd,wizkid,2,23/03/2022
#manutd,psg,2,23/03/2022
#manutd,sweden,2,23/03/2022
#manutd,wba,2,23/03/2022
#manutd,weareunited,2,23/03/2022
#manutd,stretfordend,2,23/03/2022
#manutd,westbrom,2,23/03/2022
#manutd,westham,2,23/03/2022
#manutd,manunitedfans,2,23/03/2022
#manutd,ssn,2,23/03/2022
#manutd,livmun,2,23/03/2022
#manutd,bbcnews,2,23/03/2022
#manutd,raiola,2,23/03/2022
#manutd,share,2,23/03/2022
#manutd,bbc,2,23/03/2022
#manutd,แมนยู,2,23/03/2022
#manutd,depression,2,23/03/2022
#manutd,juventus,2,23/03/2022
#manutd,barcelona,2,23/03/2022
#manutd,leicester,2,23/03/2022
#manutd,luisenrique,2,23/03/2022
#manutd,manuliv,2,23/03/2022
#manutd,munliv,2,23/03/2022
#manutd,mufcfans,2,23/03/2022
#manutd,acmilan,2,23/03/2022
#manutd,twoandahalfmun,2,23/03/2022
#manutd,trending,2,23/03/2022
#manutd,muwomen,2,23/03/2022
#manutd,cristianoronaldo,2,23/03/2022
#manutd,ronaldo𓃵,2,23/03/2022
#manutd,fabrizioromano,2,23/03/2022
#manutd,fpl,2,23/03/2022
#manutd,paulpogba,2,23/03/2022
#manutd,ticketsforsale,2,23/03/2022
#manutd,brighton,2,23/03/2022
#manutd,footballnews24,2,23/03/2022
#manutd,waynerooney,2,23/03/2022
#manutd,footballtickets,2,23/03/2022
#manutd,thegoalpostnews,2,23/03/2022
#manutd,messi,2,23/03/2022
#manutd,rubenamorim,1,23/03/2022
#manutd,saka,1,23/03/2022
#manutd,ronaldaraujo,1,23/03/2022
#manutd,shattawale,1,23/03/2022
#manutd,ragnick,1,23/03/2022
#manutd,rioferdinand,1,23/03/2022
#manutd,richarlison,1,23/03/2022
#manutd,saf,1,23/03/2022
#manutd,rice,1,23/03/2022
#manutd,seleçãobrasileira,1,23/03/2022
#manutd,refractor,1,23/03/2022
#manutd,scp,1,23/03/2022
#manutd,rumour,1,23/03/2022
#manutd,raveon,1,23/03/2022
#manutd,salamglory,1,23/03/2022
#manutd,redarmy,1,23/03/2022
#manutd,realmadrid,1,23/03/2022
#manutd,swedish,1,23/03/2022
#manutd,shaunryder,1,23/03/2022
#manutd,simplyenjoy,1,23/03/2022
#manutd,uefa,1,23/03/2022
#manutd,ultras,1,23/03/2022
#manutd,ultrastickers,1,23/03/2022
#manutd,unitedbrentford,1,23/03/2022
#manutd,unitedchelsea,1,23/03/2022
#manutd,unitedleicester,1,23/03/2022
