keyword,language,word,count_word,date
#manutd,en,manutd,414,01/04/2022
#manutd,en,mufc,228,01/04/2022
#manutd,en,united,138,01/04/2022
#manutd,en,leicester,126,01/04/2022
#manutd,en,manchester,116,01/04/2022
#manutd,en,utd,106,01/04/2022
#manutd,en,manchesterunited,101,01/04/2022
#manutd,en,man,101,01/04/2022
#manutd,en,manunited,90,01/04/2022
#manutd,en,premierleague,73,01/04/2022
#manutd,en,new,68,01/04/2022
#manutd,en,epl,68,01/04/2022
#manutd,en,bruno,58,01/04/2022
#manutd,en,vs,55,01/04/2022
#manutd,en,win,50,01/04/2022
#manutd,en,offer,49,01/04/2022
#manutd,en,fernandes,40,01/04/2022
#manutd,en,v,40,01/04/2022
#manutd,en,city,38,01/04/2022
#manutd,en,club,38,01/04/2022
#manutd,en,ten,35,01/04/2022
#manutd,en,contract,33,01/04/2022
#manutd,en,football,32,01/04/2022
#manutd,en,hag,32,01/04/2022
#manutd,en,tickets,32,01/04/2022
#manutd,en,adored,29,01/04/2022
#manutd,en,ronaldo,29,01/04/2022
#manutd,en,use,28,01/04/2022
#manutd,en,rangnick,26,01/04/2022
#manutd,en,brunofernandes,24,01/04/2022
#manutd,en,munleipremierleague,23,01/04/2022
#manutd,en,oddsman,23,01/04/2022
#manutd,en,williamhill,23,01/04/2022
#manutd,en,codeepmu,23,01/04/2022
#manutd,en,enhanced,23,01/04/2022
#manutd,en,promo,23,01/04/2022
#manutd,en,eplc,23,01/04/2022
#manutd,en,pick,23,01/04/2022
#manutd,en,belowtampcs,23,01/04/2022
#manutd,en,gambleresponsibly,23,01/04/2022
#manutd,en,customers,23,01/04/2022
#manutd,en,available,22,01/04/2022
#manutd,en,dm,22,01/04/2022
#manutd,en,cr,22,01/04/2022
#manutd,en,erik,21,01/04/2022
#manutd,en,pl,20,01/04/2022
#manutd,en,premier,20,01/04/2022
#manutd,en,fans,20,01/04/2022
#manutd,en,ralf,19,01/04/2022
#manutd,en,liverpool,19,01/04/2022
#manutd,en,ggmu,18,01/04/2022
#manutd,en,via,18,01/04/2022
#manutd,en,lcfc,18,01/04/2022
#manutd,en,manager,18,01/04/2022
#manutd,en,back,17,01/04/2022
#manutd,en,arsenal,17,01/04/2022
#manutd,en,got,17,01/04/2022
#manutd,en,ticket,17,01/04/2022
#manutd,en,oldtrafford,17,01/04/2022
#manutd,en,league,17,01/04/2022
#manutd,en,next,17,01/04/2022
#manutd,en,players,16,01/04/2022
#manutd,en,munlei,16,01/04/2022
#manutd,en,close,16,01/04/2022
#manutd,en,murdfootball,15,01/04/2022
#manutd,en,cup,15,01/04/2022
#manutd,en,manu,15,01/04/2022
#manutd,en,world,15,01/04/2022
#manutd,en,looking,15,01/04/2022
#manutd,en,spare,15,01/04/2022
#manutd,en,maguire,15,01/04/2022
#manutd,en,transfers,14,01/04/2022
#manutd,en,paid,14,01/04/2022
#manutd,en,bfernandes,14,01/04/2022
#manutd,en,signed,13,01/04/2022
#manutd,en,great,13,01/04/2022
#manutd,en,sell,13,01/04/2022
#manutd,en,mufcfamily,13,01/04/2022
#manutd,en,think,12,01/04/2022
#manutd,en,pogba,12,01/04/2022
#manutd,en,season,12,01/04/2022
#manutd,en,draw,12,01/04/2022
#manutd,en,fabrizioromano,12,01/04/2022
#manutd,en,old,12,01/04/2022
#manutd,en,good,12,01/04/2022
#manutd,en,trafford,11,01/04/2022
#manutd,en,game,11,01/04/2022
#manutd,en,tomorrow,11,01/04/2022
#manutd,en,news,11,01/04/2022
#manutd,en,strettynews,11,01/04/2022
#manutd,en,come,11,01/04/2022
#manutd,en,deal,11,01/04/2022
#manutd,en,sign,10,01/04/2022
#manutd,en,cristiano,10,01/04/2022
#manutd,en,one,10,01/04/2022
#manutd,en,last,10,01/04/2022
#manutd,en,years,10,01/04/2022
#manutd,en,youtube,10,01/04/2022
#manutd,en,worldcup,10,01/04/2022
#manutd,en,group,10,01/04/2022
#manutd,en,x,10,01/04/2022
#manutd,en,team,9,01/04/2022
#manutd,en,sport,9,01/04/2022
#manutd,en,footballtickets,9,01/04/2022
#manutd,en,tenhag,9,01/04/2022
#manutd,en,paul,9,01/04/2022
#manutd,en,unitedpeoplestv,9,01/04/2022
#manutd,en,get,9,01/04/2022
#manutd,en,day,9,01/04/2022
#manutd,en,official,9,01/04/2022
#manutd,en,know,9,01/04/2022
#manutd,en,latestnews,9,01/04/2022
#manutd,en,play,9,01/04/2022
#manutd,en,ticketsforsale,9,01/04/2022
#manutd,en,always,9,01/04/2022
#manutd,en,goal,8,01/04/2022
#manutd,en,pairs,8,01/04/2022
#manutd,en,officialfpl,8,01/04/2022
#manutd,en,singles,8,01/04/2022
#manutd,en,talks,8,01/04/2022
#manutd,en,signs,8,01/04/2022
#manutd,en,harry,8,01/04/2022
#manutd,en,mancity,8,01/04/2022
#manutd,en,would,8,01/04/2022
#manutd,en,like,8,01/04/2022
#manutd,en,top,8,01/04/2022
#manutd,en,norwich,8,01/04/2022
#manutd,en,player,8,01/04/2022
#manutd,en,single,7,01/04/2022
#manutd,en,us,7,01/04/2022
#manutd,en,decision,7,01/04/2022
#manutd,en,clash,7,01/04/2022
#manutd,en,match,7,01/04/2022
#manutd,en,getting,7,01/04/2022
#manutd,en,glazersout,7,01/04/2022
#manutd,en,shirt,7,01/04/2022
#manutd,en,im,7,01/04/2022
#manutd,en,make,7,01/04/2022
#manutd,en,happy,7,01/04/2022
#manutd,en,glazers,7,01/04/2022
#manutd,en,month,7,01/04/2022
#manutd,en,year,7,01/04/2022
#manutd,en,mufctickets,7,01/04/2022
#manutd,en,star,7,01/04/2022
#manutd,en,amp,7,01/04/2022
#manutd,en,moment,7,01/04/2022
#manutd,en,everton,6,01/04/2022
#manutd,en,predicted,6,01/04/2022
#manutd,en,time,6,01/04/2022
#manutd,en,sports,6,01/04/2022
#manutd,en,want,6,01/04/2022
#manutd,en,reddevils,6,01/04/2022
#manutd,en,need,6,01/04/2022
#manutd,en,spurs,6,01/04/2022
#manutd,en,thanks,6,01/04/2022
#manutd,en,details,6,01/04/2022
#manutd,en,vardy,6,01/04/2022
#manutd,en,also,6,01/04/2022
#manutd,en,far,6,01/04/2022
#manutd,en,ajax,6,01/04/2022
#manutd,en,ahead,6,01/04/2022
#manutd,en,clubs,6,01/04/2022
#manutd,en,option,6,01/04/2022
#manutd,en,job,6,01/04/2022
#manutd,th,แมน,6,01/04/2022
#manutd,en,everything,6,01/04/2022
#manutd,en,interview,6,01/04/2022
#manutd,en,best,6,01/04/2022
#manutd,en,matic,6,01/04/2022
#manutd,en,pm,5,01/04/2022
#manutd,en,april,5,01/04/2022
#manutd,en,many,5,01/04/2022
#manutd,en,final,5,01/04/2022
#manutd,en,keep,5,01/04/2022
#manutd,en,go,5,01/04/2022
#manutd,en,extend,5,01/04/2022
#manutd,en,n,5,01/04/2022
#manutd,en,red,5,01/04/2022
#manutd,en,redrants,5,01/04/2022
#manutd,en,first,5,01/04/2022
#manutd,en,epls,5,01/04/2022
#manutd,en,summer,5,01/04/2022
#manutd,en,midfielder,5,01/04/2022
#manutd,en,glorytoukraine,5,01/04/2022
#manutd,en,live,5,01/04/2022
#manutd,en,guardiola,5,01/04/2022
#manutd,en,chelsea,5,01/04/2022
#manutd,en,every,5,01/04/2022
#manutd,en,liecester,5,01/04/2022
#manutd,en,sure,5,01/04/2022
#manutd,en,watch,5,01/04/2022
#manutd,en,hes,5,01/04/2022
#manutd,en,saturday,5,01/04/2022
#manutd,en,bergerpj,5,01/04/2022
#manutd,en,three,5,01/04/2022
#manutd,en,mufoundation,5,01/04/2022
#manutd,en,two,5,01/04/2022
#manutd,en,rashford,5,01/04/2022
#manutd,en,signing,5,01/04/2022
#manutd,en,full,5,01/04/2022
#manutd,en,move,5,01/04/2022
#manutd,en,joined,5,01/04/2022
#manutd,en,mufcspares,5,01/04/2022
#manutd,en,row,5,01/04/2022
#manutd,en,still,5,01/04/2022
#manutd,en,soccer,5,01/04/2022
#manutd,en,left,4,01/04/2022
#manutd,en,abraham,4,01/04/2022
#manutd,en,said,4,01/04/2022
#manutd,en,played,4,01/04/2022
#manutd,en,could,4,01/04/2022
#manutd,en,second,4,01/04/2022
#manutd,en,seat,4,01/04/2022
#manutd,en,become,4,01/04/2022
#manutd,en,leave,4,01/04/2022
#manutd,en,preview,4,01/04/2022
#manutd,en,ucl,4,01/04/2022
#manutd,en,coming,4,01/04/2022
#manutd,en,since,4,01/04/2022
#manutd,en,amazing,4,01/04/2022
#manutd,en,sancho,4,01/04/2022
#manutd,en,message,4,01/04/2022
#manutd,en,contact,4,01/04/2022
#manutd,th,ยู,4,01/04/2022
#manutd,en,sir,4,01/04/2022
#manutd,en,right,4,01/04/2022
#manutd,en,extension,4,01/04/2022
#manutd,en,feel,4,01/04/2022
#manutd,en,playing,4,01/04/2022
#manutd,en,pep,4,01/04/2022
#manutd,en,face,4,01/04/2022
#manutd,en,june,4,01/04/2022
#manutd,en,de,4,01/04/2022
#manutd,en,going,4,01/04/2022
#manutd,en,please,4,01/04/2022
#manutd,en,ready,4,01/04/2022
#manutd,en,captain,4,01/04/2022
#manutd,en,portugal,4,01/04/2022
#manutd,en,times,4,01/04/2022
#manutd,en,end,4,01/04/2022
#manutd,en,makes,4,01/04/2022
#manutd,en,making,4,01/04/2022
#manutd,en,askbruno,4,01/04/2022
#manutd,en,manutdtickets,4,01/04/2022
#manutd,en,taking,4,01/04/2022
#manutd,en,w,4,01/04/2022
#manutd,en,boys,4,01/04/2022
#manutd,en,dont,4,01/04/2022
#manutd,en,xi,4,01/04/2022
#manutd,en,weekend,4,01/04/2022
#manutd,en,premierspace,4,01/04/2022
#manutd,en,brfootball,4,01/04/2022
#manutd,en,race,4,01/04/2022
#manutd,en,barcelona,4,01/04/2022
#manutd,en,believe,4,01/04/2022
#manutd,en,wants,4,01/04/2022
#manutd,en,future,4,01/04/2022
#manutd,en,greenwood,4,01/04/2022
#manutd,en,another,4,01/04/2022
#manutd,en,look,4,01/04/2022
#manutd,en,today,4,01/04/2022
#manutd,en,greatest,4,01/04/2022
#manutd,en,cavani,4,01/04/2022
#manutd,en,big,4,01/04/2022
#manutd,en,gulf,3,01/04/2022
#manutd,en,fred,3,01/04/2022
#manutd,en,fc,3,01/04/2022
#manutd,en,dream,3,01/04/2022
#manutd,en,say,3,01/04/2022
#manutd,en,special,3,01/04/2022
#manutd,en,favourite,3,01/04/2022
#manutd,en,free,3,01/04/2022
#manutd,en,depends,3,01/04/2022
#manutd,en,told,3,01/04/2022
#manutd,en,trophies,3,01/04/2022
#manutd,en,information,3,01/04/2022
#manutd,en,cpfc,3,01/04/2022
#manutd,en,favorite,3,01/04/2022
#manutd,en,stadium,3,01/04/2022
#manutd,en,injury,3,01/04/2022
#manutd,en,england,3,01/04/2022
#manutd,en,created,3,01/04/2022
#manutd,en,energy,3,01/04/2022
#manutd,en,ill,3,01/04/2022
#manutd,en,says,3,01/04/2022
#manutd,en,darwin,3,01/04/2022
#manutd,en,focus,3,01/04/2022
#manutd,en,decided,3,01/04/2022
#manutd,en,home,3,01/04/2022
#manutd,en,debut,3,01/04/2022
#manutd,en,footy,3,01/04/2022
#manutd,en,sit,3,01/04/2022
#manutd,en,hope,3,01/04/2022
#manutd,en,spain,3,01/04/2022
#manutd,en,finish,3,01/04/2022
#manutd,en,deadlinedaylive,3,01/04/2022
#manutd,en,four,3,01/04/2022
#manutd,en,follow,3,01/04/2022
#manutd,en,fiveukmufc,3,01/04/2022
#manutd,en,scored,3,01/04/2022
#manutd,en,scheduled,3,01/04/2022
#manutd,en,fifa,3,01/04/2022
#manutd,en,exclusive,3,01/04/2022
#manutd,en,davido,3,01/04/2022
#manutd,en,david,3,01/04/2022
#manutd,en,success,3,01/04/2022
#manutd,en,see,3,01/04/2022
#manutd,en,pair,3,01/04/2022
#manutd,en,boos,3,01/04/2022
#manutd,en,breaking,3,01/04/2022
#manutd,en,wish,3,01/04/2022
#manutd,en,merson,3,01/04/2022
#manutd,en,better,3,01/04/2022
#manutd,en,mctominay,3,01/04/2022
#manutd,en,purchase,3,01/04/2022
#manutd,en,matches,3,01/04/2022
#manutd,en,mason,3,01/04/2022
#manutd,en,march,3,01/04/2022
#manutd,en,questions,3,01/04/2022
#manutd,en,manutdspares,3,01/04/2022
#manutd,en,well,3,01/04/2022
#manutd,en,pretty,3,01/04/2022
#manutd,en,manchestercity,3,01/04/2022
#manutd,en,read,3,01/04/2022
#manutd,en,watford,3,01/04/2022
#manutd,en,watching,3,01/04/2022
#manutd,en,made,3,01/04/2022
#manutd,en,reds,3,01/04/2022
#manutd,en,longer,3,01/04/2022
#manutd,en,liverpoolfc,3,01/04/2022
#manutd,en,relationship,3,01/04/2022
#manutd,en,change,3,01/04/2022
#manutd,en,messi,3,01/04/2022
#manutd,en,wizkid,3,01/04/2022
#manutd,en,representatives,3,01/04/2022
#manutd,en,announce,3,01/04/2022
#manutd,en,accepted,3,01/04/2022
#manutd,en,order,3,01/04/2022
#manutd,en,achieve,3,01/04/2022
#manutd,en,action,3,01/04/2022
#manutd,en,nunez,3,01/04/2022
