keyword,language,author,twitter_name,create_at,location,text,hashtag,tweets_count,retweet_count,favourite_count,date,time,sentiment
#manutd,th,มหาเทพเฟร็ด (Godfred17),@PitiSkulchay,2022-05-01 12:55:40+00:00,,"ฮีโร่ทั้งชีวิต 🦸‍♂️🔥 
____________________
สนับสนุนโดย : KING77
 #มหาเทพเฟร็ด #Godfred17 #KING77 #แมนยูฯ #ผีแดง #ManUtd  #Solskjaer https://t.co/dMQTofXMBm",/มหาเทพเฟร็ด/Godfred17/KING77/แมนยูฯ/ผีแดง/ManUtd/Solskjaer,1,0,0,01/05/2022,12:55,positive
#manutd,th,siamsportnews,@siamsport_news,2022-05-01 11:32:00+00:00,thailand,เทนฮากหวังโด้อยู่แมนยูต่อแต่มีข้อแม้-ล็อกเป้าคว้าเจ้าพ่อลูกนิ่ง https://t.co/sM1ImtR66j ผ่าน @siamsport_news #mufc #ManUtd #แมนยู,/mufc/ManUtd/แมนยู,1,0,20,01/05/2022,11:32,positive
#manutd,en,footstatsball,@statsfutball,2022-05-01 23:47:28+00:00,,"It's over for Manchester United

#football #premierleague #mufc #cr #ronaldo #soccer #manutd #realmadrid #cristianoronaldo #liverpool #messi #championsleague #ggmu #juventus #manchester #chelsea #manunited #fifa #barcelona #pogba #arsenal #cristiano #oldtrafford #reddevils",/football/premierleague/mufc/cr/ronaldo/soccer/manutd/realmadrid/cristianoronaldo/liverpool/messi/championsleague/ggmu/juventus/manchester/chelsea/manunited/fifa/barcelona/pogba/arsenal/cristiano/oldtrafford/reddevils,1,0,1,01/05/2022,23:47,neutral
#manutd,en,MYGO Classic Production,@ArtsMygo,2022-05-01 23:44:00+00:00, Nakuru,"Betty
DCI and KRA
Eastleigh
Manchester United
McTominay
Mourinho
Pastor Fred
Kanze Dena
Rangnick
The DP
Parliament
Uganda
Benfica
Cambridge Analytica
Thieves
Jana
Aisha Jumwa
Moses Kuria
#ManUtd
Dalot #Hatuachani #Hatuachani #Hatuachani #Hatuachani #Hatuachani #Hatuachani",/ManUtd/Hatuachani/Hatuachani/Hatuachani/Hatuachani/Hatuachani/Hatuachani,1,0,0,01/05/2022,23:44,neutral
#manutd,en,Ásbjørn Nielsson Nattestad,@NielssonRn,2022-05-01 23:43:19+00:00,,"Is there anyone out there that can come up with a very good explanation why OGS &amp; RR have not used youth players, besides Elanga, for more than 10 minutes + the free YB-game this season considering how poor everyone else has been?

#ManUtd #PremierLeague #Youth",/ManUtd/PremierLeague/Youth,1,0,1,01/05/2022,23:43,positive
#manutd,en,MUFC Indy 🇾🇪,@MufcIndy,2022-05-01 23:38:16+00:00,"Indianapolis, IN","Manchester United fans in Bloomington, head to our satellite viewing location at @UptownCafe tomorrow at 3PM to enjoy cold drinks, great food, and Red Devils football. #mufc #mufcindy #manutd #manunited #manchesterunited #indy #indiana #indianapolis #iu #hoosiers #bloomington https://t.co/rpneabLZct",/mufc/mufcindy/manutd/manunited/manchesterunited/indy/indiana/indianapolis/iu/hoosiers/bloomington,1,0,0,01/05/2022,23:38,positive
#manutd,en,J👑,@J27Clark,2022-05-01 23:12:43+00:00,United Kingdom,Get it done #GlazersOut #ManUnited #ManUtd https://t.co/ED6VkUlEn3,/GlazersOut/ManUnited/ManUtd,1,0,1,01/05/2022,23:12,neutral
#manutd,en,SportsDias,@SportsDias,2022-05-01 22:41:26+00:00,,"""Probably his last game"" - Pundit convinced £49.5m-rated Man Utd star will never play for Ten Hag

https://t.co/qJqSwTCLcL 

#PremierLeague #Premier #premier_space #EPL #epls #ManUtd #ManUnited #ManchesterUnited #MANU",/PremierLeague/Premier/premier_space/EPL/epls/ManUtd/ManUnited/ManchesterUnited/MANU,1,0,0,01/05/2022,22:41,positive
#manutd,en,SportsDias,@SportsDias,2022-05-01 22:40:37+00:00,,"Arsenal's last 4 Premier League matches compared to Tottenham, Chelsea, and Man Utd

https://t.co/KGH2aECgMy 

#TOP4   #PremierLeague #Premier #premier_space #EPL #epls #ARSMUN #ARS #ARSWHU #WHUFC #TottenhamHotspur ##ManUtd #ManUnited #ManchesterUnited #MANU",/TOP4/PremierLeague/Premier/premier_space/EPL/epls/ARSMUN/ARS/ARSWHU/WHUFC/TottenhamHotspur/ManUtd/ManUnited/ManchesterUnited/MANU,1,0,0,01/05/2022,22:40,positive
#manutd,en,Ejaz Yaqeén🇸🇴🇵🇸,@apdhirahmanu,2022-05-01 22:40:32+00:00,,"Eid Mubarak to my Muslim brothers❤️ 

Enjoy the day guys !!! 
#EidUlFitr #ManUtd https://t.co/dSkr0udiuS",/EidUlFitr/ManUtd,2,1,20,01/05/2022,22:40,positive
