keyword,language,author,twitter_name,create_at,location,text,hashtag,tweets_count,retweet_count,favourite_count,date,time,sentiment
#premierleague,th,Chelsea - Thailand,@Thailand_CFC,2022-04-27 18:13:09+00:00,,"ห้ามพลาด ! บิ๊กแมตช์ แมนฯยูไนเต็ดเปิดบ้านตอนรับการมาเยือนของ เชลซี ในคืนวันพฤหัสบดีนี้ มาร่วมเชียร์ให้เชลซีคว้า 3 แต้มกลับลอนดอนให้ได้💙
.
Man Utd 🆚 #Chelsea

Premier League • คืนวันพฤหัสบดี เวลา 01.45 น. • สดทาง True Premier Football HD

#MUNCHE #PremierLeague | #CFC https://t.co/eAIsMiRzeK",/Chelsea/MUNCHE/PremierLeague/CFC,5,4,5,27/04/2022,18:13,positive
#premierleague,th,REDS : แมนเชสเตอร์ ยูไนเต็ด,@redssthailand,2022-04-27 14:27:11+00:00,"Bangkok, Thailand","#PRESS รังนิค: “เราถูกจ้างมาให้เล่นเต็มที่ทุกนัด มันคืองานของเรา” เผยขาดแข้งชุดใหญ่ 6 คน เปรยซัมเมอร์มีการเปลี่ยนแปลงครั้งใหญ่

https://t.co/v51IaMl5jg

#MUThai #MUFC #REDS #แมนยู #ปีศาจแดง #ฟุตบอลต่างประเทศ #PremierLeague #พรีเมียร์ลีก #MUNCHE https://t.co/IgznQ2BuFl",/PRESS/MUThai/MUFC/REDS/แมนยู/ปีศาจแดง/ฟุตบอลต่างประเทศ/PremierLeague/พรีเมียร์ลีก/MUNCHE,6,5,5,27/04/2022,14:27,neutral
#premierleague,th,SMMSPORT,@SMMSPORT_News,2022-04-27 12:00:01+00:00,"bangkok,Thailand","อดีตแข้งผีเปิดใจเคยขายยา, ขอทานและคุ้ยเบอร์เกอร์จากถังขยะกิน

#SMMSPORT #ปาทริซเอฟร่า #แมนเชสเตอร์ยูไนเต็ด #ผีแดง #ManchesterUnited #พรีเมียร์ลีก #PremierLeague 🏴󠁧󠁢󠁥󠁮󠁧󠁿

https://t.co/tcSBZO9oAf",/SMMSPORT/ปาทริซเอฟร่า/แมนเชสเตอร์ยูไนเต็ด/ผีแดง/ManchesterUnited/พรีเมียร์ลีก/PremierLeague,1,0,1,27/04/2022,12:00,positive
#premierleague,th,SMMSPORT,@SMMSPORT_News,2022-04-27 11:00:02+00:00,"bangkok,Thailand","เฟอร์ดินานด์เผยสตาร์ลิเวอร์พูลรายนี้อยากย้ายมาแมนยู

#SMMSPORT #ริโอเฟอร์ดินานด์ #ติอาโก้อัลคันทาร่า #ลิเวอร์พูล #Liverpool #ตลาดซื้อขายนักเตะ #พรีเมียร์ลีก #PremierLeague 🏴󠁧󠁢󠁥󠁮󠁧󠁿

https://t.co/qOZkYzlJQT",/SMMSPORT/ริโอเฟอร์ดินานด์/ติอาโก้อัลคันทาร่า/ลิเวอร์พูล/Liverpool/ตลาดซื้อขายนักเตะ/พรีเมียร์ลีก/PremierLeague,1,0,0,27/04/2022,11:00,neutral
#premierleague,th,TrueID In-Trend,@trueidintrend,2022-04-27 10:31:42+00:00,"Bangkok, Thailand","4 เรื่องที่ต้องรู้หาก ""ลิเวอร์พูล"" ไม่อยากแพ้คาบ้านให้กับ ""บียาร์เรอัล"" ยูฟ่ารอบรองชนะเลิศ
🔗 https://t.co/GkGGrKtqlF

คุณเองก็เป็นครีเอเตอร์กับเราได้ https://t.co/MEMi4LlP36 พวกเรารออ่านคอนเทนต์ของคุณอยู่นะคะ
#TrueIDInTrend #Liverpool #พรีเมียร์ลีก #PremierLeague #ลิเวอร์พูล",/TrueIDInTrend/Liverpool/พรีเมียร์ลีก/PremierLeague/ลิเวอร์พูล,1,0,0,27/04/2022,10:31,negative
#premierleague,th,TrueVisions,@TrueVisions,2022-04-27 05:45:00+00:00,Thailand,"""ไก่"" มั่น คอนเต้ อยู่คุมทีมต่อแน่นอน

สนใจอ่านคลิก https://t.co/NrsTWlHgbK

#TrueVisions #KingOfSports #PremierLeague #EPL2021I22 #TottenhamHotspur #AntonioConte 

✨ ติดตามการถ่ายทอดสดฟุตบอล พรีเมียร์ลีก สด ครบทุกแมตช์ ได้ที่ ทรูวิชั่นส์

📌 รายละเอียดเพิ่มเติม โทร 02-700-8000 https://t.co/v40fzGyVWX",/TrueVisions/KingOfSports/PremierLeague/EPL2021I22/TottenhamHotspur/AntonioConte,1,0,2,27/04/2022,05:45,positive
#premierleague,th,TrueVisions,@TrueVisions,2022-04-27 04:45:00+00:00,Thailand,"สโคลส์ ชี้ ป็อกบา คือจุดด่างพร้อย ""ผี""

สนใจอ่านคลิก https://t.co/C9v9tbteO0

#TrueVisions #KingOfSports #PremierLeague #EPL #ManchesterUnited #PaulScholes #Pogba

✨ ติดตามการถ่ายทอดสดฟุตบอล พรีเมียร์ลีก สด ครบทุกแมตช์ ได้ที่ ทรูวิชั่นส์

📌 รายละเอียดเพิ่มเติม โทร 02-700-8000 https://t.co/Zxkn2XklxM",/TrueVisions/KingOfSports/PremierLeague/EPL/ManchesterUnited/PaulScholes/Pogba,1,0,1,27/04/2022,04:45,positive
#premierleague,th,Marsbet Thailand,@MarsbetThailand,2022-04-27 03:21:41+00:00,,"ตามสถิติ แฮร์รี แม็คไกวร์ อยู่ในอันดับต้น ๆ ของรายการความผิดพลาดใน #PremierLeague  กับ 7 ครั้ง ส่งผลกระทบต่อผลงานของ #ManUnited อย่างมาก MU เสีย 51 ประตูหลังจาก 34 รอบเท่านั้น มากเป็นสองเท่าของ #ManCity  และ #Liverpool 
#marsbet #ManUnited https://t.co/A7NEJ13qc1",/PremierLeague/ManUnited/ManCity/Liverpool/marsbet/ManUnited,1,0,0,27/04/2022,03:21,negative
#premierleague,th,thscore-ผลบอลสด,@BNingmeng,2022-04-27 01:07:37+00:00,,"🥰คู่แข่งที่เปป กวาร์ดิโอลาชอบมากที่สุด👇
ชนะ 17 vs อาร์เซนอล
ชนะ 14 vs เบิร์นลี่ย์
ชนะ 12 vs เรอัล มาดริด 🆕
#พรีเมียร์ลีก #PremierLeague #Burnley #RealMadrid 
😍ผลบอลสด ทีเด็ดบอล https://t.co/ikPN6gXo8m https://t.co/oQWEhVTauO",/พรีเมียร์ลีก/PremierLeague/Burnley/RealMadrid,1,0,1,27/04/2022,01:07,positive
#premierleague,th,เชลซี ไดอารี่,@2401Kanth,2022-04-27 00:06:02+00:00,,"🔴#แมนฯยู-#เชลซี 🔵
  เดี๋ยวรู้เรื่องแน่ผี เราจะบุกไปเอา 3 แต้มที่โอลด์ แทรฟฟอร์ด 
29/04/22 01:45 คืนวันพุธเช้าวันพฤหัส  แฟนสิงห์บลูพร้อมม???
#Chelsea #เชลซี #เชลซีไดอารี่ #พรีเมียร์ลีก #premierleague #football https://t.co/xfcwuVqvKR",/แมนฯยู/เชลซี/Chelsea/เชลซี/เชลซีไดอารี่/พรีเมียร์ลีก/premierleague/football,2,1,1,27/04/2022,00:06,neutral
