keyword,hashtag,count_hashtag,date
#ronaldo,ronaldo,364,29/03/2022
#ronaldo,portugal,135,29/03/2022
#ronaldo,cristianoronaldo,51,29/03/2022
#ronaldo,worldcup,47,29/03/2022
#ronaldo,cristiano,41,29/03/2022
#ronaldo,football,37,29/03/2022
#ronaldo,qatar2022,36,29/03/2022
#ronaldo,cr7,31,29/03/2022
#ronaldo,messi,30,29/03/2022
#ronaldo,juventus,28,29/03/2022
#ronaldo,pormkd,27,29/03/2022
#ronaldo,worldcup2022,26,29/03/2022
#ronaldo,fifa,24,29/03/2022
#ronaldo,cr7𓃵,21,29/03/2022
#ronaldo,bruno,20,29/03/2022
#ronaldo,worldcupqualifiers,19,29/03/2022
#ronaldo,mufc,17,29/03/2022
#ronaldo,messi𓃵,15,29/03/2022
#ronaldo,fernandes,14,29/03/2022
#ronaldo,cr,14,29/03/2022
#ronaldo,manchesterunited,14,29/03/2022
#ronaldo,fifaworldcup,14,29/03/2022
#ronaldo,northmacedonia,14,29/03/2022
#ronaldo,wcq,12,29/03/2022
#ronaldo,manunited,12,29/03/2022
#ronaldo,fifa22,12,29/03/2022
#ronaldo,ronaldobrazilianfootballer,11,29/03/2022
#ronaldo,portugalmacedonia,11,29/03/2022
#ronaldo,mateoronaldo,11,29/03/2022
#ronaldo,soccer,11,29/03/2022
#ronaldo,manutd,11,29/03/2022
#ronaldo,pormac,10,29/03/2022
#ronaldo,wcq2022,10,29/03/2022
#ronaldo,premierleague,9,29/03/2022
#ronaldo,portugalvsmacedonia,9,29/03/2022
#ronaldo,brunofernandes,9,29/03/2022
#ronaldo,macedonia,9,29/03/2022
#ronaldo,ronaldo𓃵,8,29/03/2022
#ronaldo,goat𓃵,8,29/03/2022
#ronaldo,wcqualifiers,7,29/03/2022
#ronaldo,argentina,7,29/03/2022
#ronaldo,sports,7,29/03/2022
#ronaldo,lewandowski,7,29/03/2022
#ronaldo,neymar,6,29/03/2022
#ronaldo,futbol,6,29/03/2022
#ronaldo,championsleague,6,29/03/2022
#ronaldo,salah,6,29/03/2022
#ronaldo,vamoscomtudo,6,29/03/2022
#ronaldo,poland,6,29/03/2022
#ronaldo,juve,5,29/03/2022
#ronaldo,eth,5,29/03/2022
#ronaldo,qatar,5,29/03/2022
#ronaldo,futebol,4,29/03/2022
#ronaldo,cro,4,29/03/2022
#ronaldo,porto,4,29/03/2022
#ronaldo,sport,4,29/03/2022
#ronaldo,btc,4,29/03/2022
#ronaldo,united,4,29/03/2022
#ronaldo,oscars,4,29/03/2022
#ronaldo,bitcoinbutton,4,29/03/2022
#ronaldo,love,4,29/03/2022
#ronaldo,nft,4,29/03/2022
#ronaldo,worldcupqualifiers2022,4,29/03/2022
#ronaldo,altseason,4,29/03/2022
#ronaldo,binance,4,29/03/2022
#ronaldo,bitcoin,4,29/03/2022
#ronaldo,jota,4,29/03/2022
#ronaldo,ada,4,29/03/2022
#ronaldo,murdfootball,3,29/03/2022
#ronaldo,ronaldojuventus,3,29/03/2022
#ronaldo,nftcommunity,3,29/03/2022
#ronaldo,dybala,3,29/03/2022
#ronaldo,mbappe,3,29/03/2022
#ronaldo,app,3,29/03/2022
#ronaldo,worldcupqatar2022,3,29/03/2022
#ronaldo,ronaldohattrick,3,29/03/2022
#ronaldo,manu,3,29/03/2022
#ronaldo,siuuu,3,29/03/2022
#ronaldo,zlatan,3,29/03/2022
#ronaldo,bafanabafana,3,29/03/2022
#ronaldo,realmadrid,3,29/03/2022
#ronaldo,fifaworldcupqatar2022,3,29/03/2022
#ronaldo,nftcollection,3,29/03/2022
#ronaldo,portugalvsnorthmacedonia,3,29/03/2022
#ronaldo,juventusfc,3,29/03/2022
#ronaldo,oscars2022,3,29/03/2022
#ronaldo,juventustraining,3,29/03/2022
#ronaldo,best,3,29/03/2022
#ronaldo,france,3,29/03/2022
#ronaldo,pepe,3,29/03/2022
#ronaldo,juventusfootball,3,29/03/2022
#ronaldo,oldtrafford,3,29/03/2022
#ronaldo,calcio,3,29/03/2022
#ronaldo,por,2,29/03/2022
#ronaldo,nike,2,29/03/2022
#ronaldo,nftgiveaways,2,29/03/2022
#ronaldo,rooney,2,29/03/2022
#ronaldo,scissorkick,2,29/03/2022
#ronaldo,openseanft,2,29/03/2022
#ronaldo,italy,2,29/03/2022
#ronaldo,gamblingtwitter,2,29/03/2022
#ronaldo,nfts,2,29/03/2022
#ronaldo,fifagoals,2,29/03/2022
#ronaldo,portur,2,29/03/2022
#ronaldo,nigeriavsghana,2,29/03/2022
#ronaldo,richlife,2,29/03/2022
#ronaldo,london,2,29/03/2022
#ronaldo,ngagha,2,29/03/2022
#ronaldo,nftartist,2,29/03/2022
#ronaldo,liverpool,2,29/03/2022
#ronaldo,footballtickets,2,29/03/2022
#ronaldo,england,2,29/03/2022
#ronaldo,epl,2,29/03/2022
#ronaldo,mkd,2,29/03/2022
#ronaldo,sterling,2,29/03/2022
#ronaldo,bettingtips,2,29/03/2022
#ronaldo,suarez,2,29/03/2022
#ronaldo,uefa,2,29/03/2022
#ronaldo,aypoyoonobody,2,29/03/2022
#ronaldo,cryptotrading,2,29/03/2022
#ronaldo,bet,2,29/03/2022
#ronaldo,babydogecoin,2,29/03/2022
#ronaldo,cri,2,29/03/2022
#ronaldo,crazylove,2,29/03/2022
#ronaldo,betting,2,29/03/2022
#ronaldo,tru,2,29/03/2022
#ronaldo,barcelona,2,29/03/2022
#ronaldo,tickets,2,29/03/2022
#ronaldo,trending,2,29/03/2022
#ronaldo,utk,2,29/03/2022
#ronaldo,ticketsforsale,2,29/03/2022
#ronaldo,brazil,2,29/03/2022
#ronaldo,shibat,2,29/03/2022
#ronaldo,egypt,2,29/03/2022
#ronaldo,sweden,2,29/03/2022
