keyword,language,author,twitter_name,create_at,location,text,hashtag,tweets_count,retweet_count,favourite_count,date,time,sentiment
#ronaldo,en,Wyngback Soccer ⚽️,@wyngback,2022-04-08 23:58:59+00:00,,"Says he is not dissing Harry Maguire...proceeds to diss Harry Maguire 😭😭😭

Even professional footballers do not rate Harry Maguire 😭

#harrymaguire #ManUnited #AlphonsoDavis #Ronaldo #fut #FUT22
https://t.co/odsAUmSb69",/harrymaguire/ManUnited/AlphonsoDavis/Ronaldo/fut/FUT22,2,1,2,08/04/2022,23:58,neutral
#ronaldo,en,Nidge,@NigeljMcCormack,2022-04-08 23:30:14+00:00,Ireland,"Well @daraobriain who would've thunk it. 

Feckin #Ronaldo no less.

Cheers,  great night in @Vicar_Street",/Ronaldo,1,0,0,08/04/2022,23:30,negative
#ronaldo,en,Chawki Elhimri,@ChawkiElhimri,2022-04-08 23:01:23+00:00,Marrakech,"Who is the best player in the Football History ? 
#messi #Ronaldo #maradona #pele",/messi/Ronaldo/maradona/pele,1,0,0,08/04/2022,23:01,positive
#ronaldo,en,ABOYWHOLOST,@waleedhamza562,2022-04-08 22:45:16+00:00,"Lahore, Pakistan",Big fan. ❤️❤️ #football #Ronaldo #GOAT𓃵 @Cristiano https://t.co/CkzSZDVssD,/football/Ronaldo/GOAT𓃵,1,0,0,08/04/2022,22:45,positive
#ronaldo,en,Romain Atikpakpe,@atikpakpe,2022-04-08 21:56:52+00:00,,"God in all things
#football #soccer #nfl #futbol #sports #sport #fifa #calcio #like #premierleague #messi #futebol #follow #championsleague #des sports  #suivre #cr #ronaldo #amour #super Bowl #série A #Real Madrid #but #fecafoot #chelsea https://t.co/Kd0rv3oTkL",/football/soccer/nfl/futbol/sports/sport/fifa/calcio/like/premierleague/messi/futebol/follow/championsleague/des/suivre/cr/ronaldo/amour/super/série/Real/but/fecafoot/chelsea,1,0,1,08/04/2022,21:56,positive
#ronaldo,en,YourFootballTickets,@YourFootyTicket,2022-04-08 21:48:57+00:00,UK,"Watch Mo Salah live, here you go: https://t.co/gLcc0Im4uD

#liverpoolfc #lfc #salah #fabinho #goal #gamer
#Ronaldo #CristianoRonaldo
#ManchesterUnited #RealMadrid #NUFC
#NEWWOL #totp #freecodefridaycontest Chris Wood
Wolves #Gogglebox Holly Valance https://t.co/ewk6nMFe1y",/liverpoolfc/lfc/salah/fabinho/goal/gamer/Ronaldo/CristianoRonaldo/ManchesterUnited/RealMadrid/NUFC/NEWWOL/totp/freecodefridaycontest/Gogglebox,3,2,1,08/04/2022,21:48,neutral
#ronaldo,en,Soccer Maestros,@soccer_maestros,2022-04-08 21:38:43+00:00,,"How would you rank the top three strikers in world football right now? 🤔

Follow @soccermaestroshq for daily updates

#soccer #football #futbol #fifa #futebol #sport #sports #calcio #messi #premierleague #championsleague #ronaldo #soccerlife #cr #seriea #fussball #realmadrid https://t.co/7cPvS827bg",/soccer/football/futbol/fifa/futebol/sport/sports/calcio/messi/premierleague/championsleague/ronaldo/soccerlife/cr/seriea/fussball/realmadrid,1,0,0,08/04/2022,21:38,positive
#ronaldo,en,RealRedsTalk (RRT),@RealRedsTalk1,2022-04-08 21:24:55+00:00,,"Predicted line up for tomorrow. #EVEMUN 

What are your thoughts?

#MUFC #Mufctickets #ManUnited #ManUtd #football #Ronaldo #pogba #TenHag #rangnick #GGMU https://t.co/dC0ISmxflu",/EVEMUN/MUFC/Mufctickets/ManUnited/ManUtd/football/Ronaldo/pogba/TenHag/rangnick/GGMU,3,2,1,08/04/2022,21:24,neutral
#ronaldo,en,NFT,@Fer_16j,2022-04-08 21:12:51+00:00,,"For those who buy celebrity paintings for millions of dollars, I'm not famous but I paint my feelings #Draw #the art #NFT #NFTWorld #Mona #Lisa #Ronaldo da Vinci #CHRISTIE'S #BTC #EFT #celebrities #worldwide #USA #Paris https://t.co/589V5dUe6F",/Draw/the/NFT/NFTWorld/Mona/Lisa/Ronaldo/CHRISTIE/BTC/EFT/celebrities/worldwide/USA/Paris,1,0,2,08/04/2022,21:12,neutral
#ronaldo,en,Mash_Bob,@MashBob14,2022-04-08 20:00:24+00:00,Nairobi Kenya ,"Mohamed Salah has not scored for Liverpool in open play since February, never mind his name is not Cristiano Ronaldo #PremierLeague #MUFC #ManUnited #Ronaldo",/PremierLeague/MUFC/ManUnited/Ronaldo,1,0,2,08/04/2022,20:00,positive
