keyword,hashtag,count_hashtag,date
#seriea,seriea,149,12/04/2022
#seriea,calcio,47,12/04/2022
#seriea,inter,26,12/04/2022
#seriea,juventus,26,12/04/2022
#seriea,football,26,12/04/2022
#seriea,juve,17,12/04/2022
#seriea,italy,15,12/04/2022
#seriea,premierleague,15,12/04/2022
#seriea,laliga,15,12/04/2022
#seriea,ucl,14,12/04/2022
#seriea,lazio,14,12/04/2022
#seriea,soccer,13,12/04/2022
#seriea,championsleague,12,12/04/2022
#seriea,napoli,12,12/04/2022
#seriea,bundesliga,11,12/04/2022
#seriea,milan,9,12/04/2022
#seriea,ligue1,9,12/04/2022
#seriea,acmilan,9,12/04/2022
#seriea,futbol,8,12/04/2022
#seriea,serieatim,8,12/04/2022
#seriea,roma,8,12/04/2022
#seriea,thelaziali,7,12/04/2022
#seriea,asroma,7,12/04/2022
#seriea,transfers,7,12/04/2022
#seriea,azzurri,7,12/04/2022
#seriea,intermilan,7,12/04/2022
#seriea,atalanta,7,12/04/2022
#seriea,transfernews,6,12/04/2022
#seriea,calciomercato,6,12/04/2022
#seriea,ronaldo,6,12/04/2022
#seriea,realmadrid,6,12/04/2022
#seriea,sports,6,12/04/2022
#seriea,messi,6,12/04/2022
#seriea,fifa,5,12/04/2022
#seriea,epl,5,12/04/2022
#seriea,bologna,5,12/04/2022
#seriea,mls,4,12/04/2022
#seriea,goal,4,12/04/2022
#seriea,ball,4,12/04/2022
#seriea,fiorentina,4,12/04/2022
#seriea,best,4,12/04/2022
#seriea,italia,4,12/04/2022
#seriea,sampdoria,4,12/04/2022
#seriea,sport,4,12/04/2022
#seriea,dybala,4,12/04/2022
#seriea,cr,4,12/04/2022
#seriea,wearecalcio,4,12/04/2022
#seriea,immobile,4,12/04/2022
#seriea,forzajuve,3,12/04/2022
#seriea,fpl,3,12/04/2022
#seriea,lovefootball,3,12/04/2022
#seriea,scores,3,12/04/2022
#seriea,news,3,12/04/2022
#seriea,europaleague,3,12/04/2022
#seriea,pallone,3,12/04/2022
#seriea,shorts,3,12/04/2022
#seriea,soccernews,3,12/04/2022
#seriea,fcim,3,12/04/2022
#seriea,fcinter,3,12/04/2022
#seriea,fcinternazionale,3,12/04/2022
#seriea,fcinternazionalemilano,3,12/04/2022
#seriea,soccerlife,3,12/04/2022
#seriea,italian,3,12/04/2022
#seriea,worldcup,3,12/04/2022
#seriea,bolognasampdoria,3,12/04/2022
#seriea,futebol,3,12/04/2022
#seriea,barcelona,3,12/04/2022
#seriea,torino,3,12/04/2022
#seriea,interchannel,3,12/04/2022
#seriea,intermediahouse,3,12/04/2022
#seriea,internazionale,3,12/04/2022
#seriea,intertv,3,12/04/2022
#seriea,transfermarket,3,12/04/2022
#seriea,nftcommunity,3,12/04/2022
#seriea,chiellini,3,12/04/2022
#seriea,finoallafine,3,12/04/2022
#seriea,sassuolo,3,12/04/2022
#seriea,nft,3,12/04/2022
#seriea,thesoccerscoreboardshow,3,12/04/2022
#seriea,viral,3,12/04/2022
#seriea,romabodo,2,12/04/2022
#seriea,fixtures,2,12/04/2022
#seriea,italianfootball,2,12/04/2022
#seriea,fussball,2,12/04/2022
#seriea,1960bet,2,12/04/2022
#seriea,freepicks,2,12/04/2022
#seriea,kitdesign,2,12/04/2022
#seriea,laligasantander,2,12/04/2022
#seriea,romabodoglimt,2,12/04/2022
#seriea,scudetto,2,12/04/2022
#seriea,interview,2,12/04/2022
#seriea,romasalernitana,2,12/04/2022
#seriea,ita,2,12/04/2022
#seriea,forzaroma,2,12/04/2022
#seriea,italiachegioca,2,12/04/2022
#seriea,playandwin,2,12/04/2022
#seriea,fww,2,12/04/2022
#seriea,serieb,2,12/04/2022
#seriea,cagliari,2,12/04/2022
#seriea,cinghios,2,12/04/2022
#seriea,chelsea,2,12/04/2022
#seriea,cfc,2,12/04/2022
#seriea,fifa22,2,12/04/2022
#seriea,cafu,2,12/04/2022
#seriea,opensea,2,12/04/2022
#seriea,onthisday,2,12/04/2022
#seriea,tuesdayfixtures,2,12/04/2022
#seriea,odds,2,12/04/2022
#seriea,nike,2,12/04/2022
#seriea,bolognafc,2,12/04/2022
#seriea,bodoglimt,2,12/04/2022
#seriea,udinese,2,12/04/2022
#seriea,bianconeri,2,12/04/2022
#seriea,uecl,2,12/04/2022
#seriea,bfc,2,12/04/2022
#seriea,asr,2,12/04/2022
#seriea,neymar,2,12/04/2022
#seriea,arnautovic,2,12/04/2022
#seriea,mourinho,2,12/04/2022
#seriea,afc,2,12/04/2022
#seriea,adidas,2,12/04/2022
#seriea,torinomilan,2,12/04/2022
#seriea,proleague,2,12/04/2022
#seriea,sportsbetting,2,12/04/2022
#seriea,superlig,2,12/04/2022
#seriea,esports,2,12/04/2022
#seriea,proclub,2,12/04/2022
#seriea,lippi,2,12/04/2022
#seriea,patric,2,12/04/2022
#seriea,stadioolimpico,2,12/04/2022
#seriea,esportsitalia,2,12/04/2022
#seriea,dajeroma,2,12/04/2022
#seriea,soccergame,2,12/04/2022
#seriea,cristiano,2,12/04/2022
#seriea,maradona10,2,12/04/2022
#seriea,presenter,1,12/04/2022
#seriea,napolifiorentina,1,12/04/2022
#seriea,pl,1,12/04/2022
#seriea,phatzradiosports,1,12/04/2022
#seriea,prediction,1,12/04/2022
#seriea,nazionale,1,12/04/2022
#seriea,presidentielles2022,1,12/04/2022
#seriea,pes2021,1,12/04/2022
#seriea,plusvalenze,1,12/04/2022
#seriea,nfl,1,12/04/2022
#seriea,nicogonzalez,1,12/04/2022
#seriea,openseanft,1,12/04/2022
#seriea,perin,1,12/04/2022
#seriea,passit,1,12/04/2022
#seriea,podcast,1,12/04/2022
#seriea,partenopei,1,12/04/2022
#seriea,pobega,1,12/04/2022
#seriea,paok,1,12/04/2022
#seriea,pallavolo,1,12/04/2022
#seriea,pagliuca,1,12/04/2022
#seriea,petagna,1,12/04/2022
#seriea,12abr,1,12/04/2022
#seriea,puma,1,12/04/2022
#seriea,streaming,1,12/04/2022
#seriea,teamfollowback,1,12/04/2022
#seriea,thegoalpostnews,1,12/04/2022
#seriea,thomassen,1,12/04/2022
#seriea,tikitaka,1,12/04/2022
#seriea,tipster,1,12/04/2022
#seriea,traorè,1,12/04/2022
#seriea,trophymanager,1,12/04/2022
#seriea,tunein,1,12/04/2022
#seriea,tvhost,1,12/04/2022
#seriea,tvpresenter,1,12/04/2022
#seriea,uefachampionsleague,1,12/04/2022
#seriea,uel,1,12/04/2022
#seriea,valencia,1,12/04/2022
#seriea,vasquez,1,12/04/2022
#seriea,verona,1,12/04/2022
#seriea,volley,1,12/04/2022
#seriea,volleyball,1,12/04/2022
#seriea,wallpapers,1,12/04/2022
#seriea,wc2006,1,12/04/2022
#seriea,youtube,1,12/04/2022
#seriea,फुटबॉल,1,12/04/2022
#seriea,tammyabraham,1,12/04/2022
#seriea,strakosha,1,12/04/2022
#seriea,qatar2022,1,12/04/2022
#seriea,stadiosanpaolo,1,12/04/2022
#seriea,r9,1,12/04/2022
#seriea,ramadan,1,12/04/2022
#seriea,ranocchia,1,12/04/2022
#seriea,realmadridchelsea,1,12/04/2022
#seriea,recap,1,12/04/2022
#seriea,ricci,1,12/04/2022
#seriea,rmache,1,12/04/2022
#seriea,robertocarlos,1,12/04/2022
#seriea,rovella,1,12/04/2022
#seriea,rudiger,1,12/04/2022
#seriea,salernitana,1,12/04/2022
#seriea,sarri,1,12/04/2022
#seriea,sensi,1,12/04/2022
#seriea,serieamore,1,12/04/2022
#seriea,shooting,1,12/04/2022
#seriea,skriniar,1,12/04/2022
#seriea,slgr,1,12/04/2022
#seriea,soccerskills,1,12/04/2022
#seriea,sofascore,1,12/04/2022
#seriea,sportsbettingpicks,1,12/04/2022
#seriea,sscnapoli,1,12/04/2022
#seriea,napolicalcio,1,12/04/2022
#seriea,juventusfc,1,12/04/2022
#seriea,naples,1,12/04/2022
#seriea,copaamerica,1,12/04/2022
#seriea,coppaitalia,1,12/04/2022
#seriea,cristianoronaldo,1,12/04/2022
#seriea,cuadrado,1,12/04/2022
#seriea,culture,1,12/04/2022
#seriea,deligt,1,12/04/2022
#seriea,delpiero,1,12/04/2022
#seriea,draftkings,1,12/04/2022
#seriea,dstvprem,1,12/04/2022
#seriea,dv7,1,12/04/2022
#seriea,easter,1,12/04/2022
#seriea,ecommerce,1,12/04/2022
#seriea,efl,1,12/04/2022
#seriea,efootball,1,12/04/2022
#seriea,englishpremierleague,1,12/04/2022
#seriea,excuses,1,12/04/2022
#seriea,f,1,12/04/2022
#seriea,facup,1,12/04/2022
#seriea,fantasyfootball,1,12/04/2022
#seriea,fecha7,1,12/04/2022
#seriea,fevr,1,12/04/2022
#seriea,fifpod,1,12/04/2022
#seriea,figc,1,12/04/2022
#seriea,followback,1,12/04/2022
#seriea,footballart,1,12/04/2022
#seriea,footballboots,1,12/04/2022
#seriea,footballedits,1,12/04/2022
#seriea,footballgame,1,12/04/2022
#seriea,copafootball,1,12/04/2022
#seriea,collegefootball,1,12/04/2022
#seriea,mufc,1,12/04/2022
#seriea,classicfootballshirts,1,12/04/2022
#seriea,adidasfootball,1,12/04/2022
#seriea,allegri,1,12/04/2022
#seriea,andreaagnelli,1,12/04/2022
#seriea,antony,1,12/04/2022
#seriea,aomf,1,12/04/2022
#seriea,app,1,12/04/2022
#seriea,argentina,1,12/04/2022
#seriea,askfft,1,12/04/2022
#seriea,asw500archive,1,12/04/2022
#seriea,auguri,1,12/04/2022
#seriea,aureliodelaurentiis,1,12/04/2022
#seriea,berardi,1,12/04/2022
#seriea,bettingtips,1,12/04/2022
#seriea,bettingtwitter,1,12/04/2022
#seriea,bhfyp,1,12/04/2022
#seriea,blog,1,12/04/2022
#seriea,bocajuniors,1,12/04/2022
#seriea,bolognasamp,1,12/04/2022
#seriea,branding,1,12/04/2022
#seriea,brasil,1,12/04/2022
#seriea,brazil,1,12/04/2022
#seriea,business,1,12/04/2022
#seriea,bvb,1,12/04/2022
#seriea,cagliarijuventus,1,12/04/2022
#seriea,campione,1,12/04/2022
#seriea,campionidelmondo,1,12/04/2022
#seriea,cindymarina,1,12/04/2022
#seriea,footballgames,1,12/04/2022
#seriea,footballshirt,1,12/04/2022
#seriea,footballtips,1,12/04/2022
#seriea,forzanapoli,1,12/04/2022
#seriea,juventusgents,1,12/04/2022
#seriea,kvaratskhelia,1,12/04/2022
#seriea,laziotorino,1,12/04/2022
#seriea,legend,1,12/04/2022
#seriea,lewandowski,1,12/04/2022
#seriea,ligue1ubereats,1,12/04/2022
#seriea,like,1,12/04/2022
#seriea,liveahead,1,12/04/2022
#seriea,livescore,1,12/04/2022
#seriea,longlivecalcio,1,12/04/2022
#seriea,lukaku,1,12/04/2022
#seriea,manchesterunited,1,12/04/2022
#seriea,mancini,1,12/04/2022
#seriea,mancity,1,12/04/2022
#seriea,maradona,1,12/04/2022
#seriea,maradonanapoli,1,12/04/2022
#seriea,marcellolippi,1,12/04/2022
#seriea,marketing,1,12/04/2022
#seriea,mattiaperin,1,12/04/2022
#seriea,mcfc,1,12/04/2022
#seriea,milanderby,1,12/04/2022
#seriea,milangenoa,1,12/04/2022
#seriea,milantorino,1,12/04/2022
#seriea,milanweeklypod,1,12/04/2022
#seriea,milinkovicsavic,1,12/04/2022
#seriea,mou,1,12/04/2022
#seriea,mount,1,12/04/2022
#seriea,juventusfans,1,12/04/2022
#seriea,juventini,1,12/04/2022
#seriea,juvebologna,1,12/04/2022
#seriea,ibrahimovic,1,12/04/2022
#seriea,forzaviola,1,12/04/2022
#seriea,galsportbetting,1,12/04/2022
#seriea,gamblingtwitter,1,12/04/2022
#seriea,gate109,1,12/04/2022
#seriea,genoa,1,12/04/2022
#seriea,genoalazio,1,12/04/2022
#seriea,giallorossi,1,12/04/2022
#seriea,goals,1,12/04/2022
#seriea,gosens,1,12/04/2022
#seriea,happybirthday,1,12/04/2022
#seriea,hazard,1,12/04/2022
#seriea,host,1,12/04/2022
#seriea,ilic,1,12/04/2022
#seriea,juveart,1,12/04/2022
#seriea,iminter,1,12/04/2022
#seriea,infantino,1,12/04/2022
#seriea,int,1,12/04/2022
#seriea,intervista,1,12/04/2022
#seriea,italianamerican,1,12/04/2022
#seriea,italianseriea,1,12/04/2022
#seriea,italie,1,12/04/2022
#seriea,jiskayzsports,1,12/04/2022
#seriea,jm,1,12/04/2022
#seriea,jorginho,1,12/04/2022
#seriea,josemourinho,1,12/04/2022
#seriea,josé,1,12/04/2022
#seriea,𝙎𝙚𝙧𝙞𝙚𝘼,1,12/04/2022
