keyword,language,author,twitter_name,create_at,location,text,hashtag,tweets_count,retweet_count,favourite_count,date,time,sentiment
#seriea,th,thaiilace,@Juramer1,2022-04-26 02:22:54+00:00,Bangkok,"⚽  #ผลบอลสด https://t.co/zVA8zKp73U
ยูเวนตุส บุกเฉือน ซาสซูโอโล่ จี้ที่ 3 นาโปลี แต้มเดียว
⚽️ 1-0 : จาโคโม รัสปาโดรี่  น.39
⚽️ 1-1 : เปาโล ดีบาลา น.45
⚽️ 1-2 : มอยส์ คีน น.88
 #Thscore  #พรีเมียร์ลีก #เซเรียอา #SerieA  #Sassuolo #Juventus https://t.co/jCV9nop8VX",/ผลบอลสด/Thscore/พรีเมียร์ลีก/เซเรียอา/SerieA/Sassuolo/Juventus,1,0,0,26/04/2022,02:22,positive
#seriea,en,𝕭𝖎𝖑𝖔 𓆙🇪🇪🇮🇹⭐,@BiloNerazzurro,2022-04-26 23:40:37+00:00,Béjaïa                        ,"#NicoloBarella according to #ArrigoSacchi 
#BolognaInter #Inter #SerieA https://t.co/wphRIjeaNr",/NicoloBarella/ArrigoSacchi/BolognaInter/Inter/SerieA,2,1,4,26/04/2022,23:40,neutral
#seriea,en,footballitalia,@footballitalia,2022-04-26 23:13:32+00:00,,Wednesday's Italian #Calcio headlines in English https://t.co/K0KtZMkdQY #FCIM #ACMilan #Juventus #Napoli #ASRoma #BolognaInter #SerieA #SerieATIM #MCIRMA #UCL https://t.co/1rZgc1Ik1L,/Calcio/FCIM/ACMilan/Juventus/Napoli/ASRoma/BolognaInter/SerieA/SerieATIM/MCIRMA/UCL,8,7,15,26/04/2022,23:13,neutral
#seriea,en,The Nickel,@NickelTips,2022-04-26 23:12:58+00:00,Portugal 🇵🇹,"FREE Picks - 27th April
⚽️🇮🇹#SerieA
★☆☆#fiorentinaudinese - Fiorentina/Draw and Under -3.5
★★☆#AtalantaTorino - Atalanta to Win
🎾🇩🇪#ATPMunich 
★★☆Zandschulp vs Nakashima - Zandschulp to Win
🎾🇵🇹#EstorilOpen 
★★☆ Borges vs Tiafoe - Tiafoe to Win

Join the discussion🤑",/SerieA/fiorentinaudinese/AtalantaTorino/ATPMunich/EstorilOpen,1,0,0,26/04/2022,23:12,positive
#seriea,en,Tom,@tomdedits,2022-04-26 22:10:16+00:00,"South East, England","How good is Dybala and how good is this kit?!🔶🔷

@juventusfcen @PauDybala_JR #Dybala #Juventus #PauloDybala #Juve #ForzaJuve #SerieA #smsports https://t.co/43Lo3aBtW6",/Dybala/Juventus/PauloDybala/Juve/ForzaJuve/SerieA/smsports,2,1,43,26/04/2022,22:10,positive
#seriea,en,Recoba fan,@linuvgs,2022-04-26 21:41:43+00:00,"Nantes, France","Only one team Benzema faced in UCL this season, he failed to score against...👀

#UCL #RealMadrid #ManCity #Benzema #Inter #SerieA #CityReal",/UCL/RealMadrid/ManCity/Benzema/Inter/SerieA/CityReal,1,0,0,26/04/2022,21:41,negative
#seriea,en,Vivek Yadav,@iyadavvivek,2022-04-26 21:35:15+00:00,"Lucknow, India","Football is the most beautiful game in this world, like watching a movie with lots of suspense, drama, action, and thriller.
At last,
It unites us all with a hope for a better tomorrow.
#footballforever ⚽💟
#PremierLeague #laliga #Bundesliga #Ligue1 #SerieA #UefaChampionsLeague",/footballforever/PremierLeague/laliga/Bundesliga/Ligue1/SerieA/UefaChampionsLeague,1,0,0,26/04/2022,21:35,positive
#seriea,en,NegrescoBetting,@NegrescoBetting,2022-04-26 21:31:02+00:00,,"Results of the Day [26/04/22] (SV)
#Ligue1 #PremierLeague #laLiga #SerieA #Bundesliga #ucl #uel #uecl 

USAFE✅
FUN❌️

#1xbet #WilliamHill #betking #parimatch 
#bet365 #Betfred #melbet  #sportybet #paddypower #SkyBet #Bovada #Betfair #Betclic #unibet #Bet9ja #betwinner #odibet",/Ligue1/PremierLeague/laLiga/SerieA/Bundesliga/ucl/uel/uecl/1xbet/WilliamHill/betking/parimatch/bet365/Betfred/melbet/sportybet/paddypower/SkyBet/Bovada/Betfair/Betclic/unibet/Bet9ja/betwinner/odibet,1,0,1,26/04/2022,21:31,neutral
#seriea,en,ESPN Caribbean,@ESPN_Caribbean,2022-04-26 21:00:40+00:00,,"The women's Serie A will become a professional league from next season, Italy's football federation announced on Tuesday.
https://t.co/eiuGtxmCiQ
#Football #SerieA #ESPNCaribbean https://t.co/WN1z2dcubY",/Football/SerieA/ESPNCaribbean,2,1,0,26/04/2022,21:00,neutral
#seriea,en,LazioLand,@Lazio_Land,2022-04-26 20:51:21+00:00,"Rome, Lazio","""Acerbi's reaction, it definitly was particular but the matter was clarified and resolved internally."" - Claudio Lotito #Lazio #Acerbi #SerieA #Lotito https://t.co/caL6mr8Wkt",/Lazio/Acerbi/SerieA/Lotito,1,0,10,26/04/2022,20:51,positive
