keyword,language,author,twitter_name,create_at,location,text,hashtag,tweets_count,retweet_count,favourite_count,date,time,sentiment
#thaileague,th,Thai League Thailand,@thaileague_th,2022-03-22 03:50:17+00:00,,"🎙 | ""มาซาทาดะ อิชิอิ"" หัวหน้าผู้ฝึกสอนบุรีรัมย์ ยูไนเต็ด ยอมรับทีมมีสภาพร่างกายที่ล้า หลังเดินทางกลับจากการไปเยือนแดกู เอฟซี ที่เกาหลีใต้ ศึกเอเอฟซี แชมเปี้ยนส์ ลีก 2022 เล่นเต็ม 120 นาที ก่อนเปิดบ้านพ่าย บีจี ปทุม ยูไนเต็ด 0-1 

#thaileague_th #BuriramUnited #BRUTD #ThaiLeague https://t.co/EnnT2YZ8q7",/thaileague_th/BuriramUnited/BRUTD/ThaiLeague,1,0,1,22/03/2022,03:50,neutral
#thaileague,en,馬場悠企 タイを愛すプロサッカー選手,@yuki_bamba32,2022-03-22 02:26:09+00:00,,"A good future is out there
😁👍

#thaileague 
#lampangfc 
#footballplayer https://t.co/P8kp5cuj7q",/thaileague/lampangfc/footballplayer,1,0,4,22/03/2022,02:26,positive
#thaileague,en,ASEAN Football,@AFFPresse,2022-03-22 02:21:30+00:00,,"2021/22 Revo Thai League 1 - CURRENT STANDINGS 

#AFF
#FAT
Graphic Courtesy #ThaiLeague https://t.co/fdsImtzaEe",/AFF/FAT/ThaiLeague,2,1,6,22/03/2022,02:21,positive
#thaileague,th,Thai League Thailand,@thaileague_th,2022-03-23 05:32:34+00:00,,"⭐️ | ""มาดามแป้ง"" นวลพรรณ ล่ำซำ ผู้จัดการทีมชาติไทย มีการแต่งตั้งให้ ""ธีราทร บุญมาทัน"" แบ็กซ้ายจากสโมสรบุรีรัมย์ ยูไนเต็ด เป็นกัปตันทีมชาติไทย เพื่อทำการแข่งขันฟุตบอลอุ่นเครื่องตาม ปฏิทินฟีฟ่าเดย์

#thaileague_th #Changsuek #FIFADay #FAThailand #BuriramUnited #BRUTD #ThaiLeague https://t.co/NVOhDVzjXC",/thaileague_th/Changsuek/FIFADay/FAThailand/BuriramUnited/BRUTD/ThaiLeague,1,0,1,23/03/2022,05:32,neutral
#thaileague,en,Michael Falkesgaard,@mfalkesgaard1,2022-03-23 12:21:03+00:00,Instagram: mfalkesgaard,"Finally back in action after almost 2 months of injury with 2 muscle tears in my calf 🤕🙏🏼🙅🏻‍♂️ a clean sheet each from me &amp; Jay (45/45min)😜 3 point &amp; 3 goals against @CRUTD 🔥🙌🏽 

#TrueBangkokUnited #ThaiLeague https://t.co/Fzv4byGyU9",/TrueBangkokUnited/ThaiLeague,4,3,12,23/03/2022,12:21,negative
#thaileague,th,Thai League Thailand,@thaileague_th,2022-03-24 07:06:32+00:00,,"🔥 | สู้สนุก ! ช้างศึกU23 พ่ายกาตาร์ 0-1 ประเดิมดูไบ คัพ 2022

⚽️ | [32'] มุสตาฟา ทาเรค (1-0)

⌛️ | จบเกม : ทีมชาติไทย แพ้ ทีมชาติกาตาร์ (0-1)

#thaileague_th #Changsuek #DubaiCup #FAThailand #Thailand #ThaiLeague https://t.co/edGuVdXASa",/thaileague_th/Changsuek/DubaiCup/FAThailand/Thailand/ThaiLeague,1,0,0,24/03/2022,07:06,neutral
#thaileague,en,StraightOuttaBangkok,@Str8OuttaBKK,2022-03-24 08:40:03+00:00,Bangkok,"NEW VIDEO: #MatchdayVlog #ThaiLeague 🇹🇭 A trip north to see a new stadium, Nong Bua Pitchaya vs. @PortFC_Official https://t.co/CQR6IsaBtI  #Awaydays #groundhopping  #FootballVlog",/MatchdayVlog/ThaiLeague/Awaydays/groundhopping/FootballVlog,1,0,0,24/03/2022,08:40,neutral
#thaileague,th,Jar_Deerana,@Jar_Deerana,2022-03-25 07:58:04+00:00,"Bangkok, Thailand",AIS - WMS ผนึกกำลัง ไทยลีก ยกระดับวงการฟุตบอลไทย สู่ Green ไทยลีก เพื่อสิ่งแวดล้อม “แฟนบอลไทยไร้ E-Waste” ประเดิมมอบรางวัลเกียรติยศศึกไทยลีก “เหรียญจากขยะอิเล็กทรอนิกส์” ครั้งแรกวงการกีฬาไทย https://t.co/VVWz6VYrRH #AIS5G #ThaiLeague #แฟนบอลไทยไร้E_Waste #ขยะอิเล็กทอรนิกส์,/AIS5G/ThaiLeague/แฟนบอลไทยไร้E_Waste/ขยะอิเล็กทอรนิกส์,1,0,0,25/03/2022,07:58,positive
#thaileague,th,adslthailand.com,@adslthailand,2022-03-25 07:57:44+00:00,"Bangkok, Thailand",AIS - WMS ผนึกกำลัง ไทยลีก ยกระดับวงการฟุตบอลไทย สู่ Green ไทยลีก เพื่อสิ่งแวดล้อม “แฟนบอลไทยไร้ E-Waste” ประเดิมมอบรางวัลเกียรติยศศึกไทยลีก “เหรียญจากขยะอิเล็กทรอนิกส์” ครั้งแรกวงการกีฬาไทย https://t.co/6msKqXEQxQ #AIS5G #ThaiLeague #แฟนบอลไทยไร้E_Waste #ขยะอิเล็กทอรนิกส์,/AIS5G/ThaiLeague/แฟนบอลไทยไร้E_Waste/ขยะอิเล็กทอรนิกส์,1,0,0,25/03/2022,07:57,positive
#thaileague,th,Thai League Thailand,@thaileague_th,2022-03-25 07:12:00+00:00,,"🔥 | คมท้ายเกม ! ช้างศึก บุกยับเฉือนเนปาล 2-0

⚽️ | [78'] ฟิลิป โรลเลอร์ (1-0)
⚽️ | [89'] เชาว์วัตน์ วีระชาติ (2-0)

⌛️ | จบเกม : ทีมชาติไทย ชนะ ทีมชาติเนปาล (2-0)

#thaileague_th #Changsuek #FIFADay #FAThailand #Thailand #ThaiLeague https://t.co/CnJUC1ZjGg",/thaileague_th/Changsuek/FIFADay/FAThailand/Thailand/ThaiLeague,1,0,0,25/03/2022,07:12,positive
