keyword,language,author,twitter_name,create_at,location,text,hashtag,tweets_count,retweet_count,favourite_count,date,time,sentiment
#thaileague,th,ลุงบิ๊ก​แม่สอด,@LMaesxd,2022-04-07 14:37:35+00:00,,"181ทีมแล้วนะ
พรุ่งนี้วันสุดท้ายยยย
#thaifootball 
#Thaileague 
#thailandamatureleague
#t5
#ta https://t.co/0q9hPkx0AZ",/thaifootball/Thaileague/thailandamatureleague/t5/ta,2,1,1,07/04/2022,14:37,neutral
#thaileague,th,Thai League Thailand,@thaileague_th,2022-04-07 10:22:06+00:00,,"🔥 | ยังไม่ได้แชมป์ !!

⛔️ | บุรีรัมย์ ยูไนเต็ด เสมอ เชียงราย ยูไนเต็ด (1-1)
✅ | บีจี ปทุม ยูไนเต็ด ชนะ พีที ประจวบ เอฟซี (7-2)

⚡️ | บุรีรัมย์ ยูไนเต็ด มี 59 คะแนน 
🐰 | บีจี ปทุม ยูไนเต็ด มี 54 คะแนน

#thaileague_th #BGPU #BGPathumUnited #BuriramUnited #BRUTD #ThaiLeague https://t.co/eCbh149N6D",/thaileague_th/BGPU/BGPathumUnited/BuriramUnited/BRUTD/ThaiLeague,1,0,1,07/04/2022,10:22,positive
#thaileague,th,BGPU OFFICIAL,@bgpuofficial,2022-04-07 07:26:04+00:00,BG STADIUM,"วรชิต กนิตศรีบำเพ็ญ คืออีกหนึ่งผู้เล่นที่โชว์ฟอร์มได้เนียนตาสุด ๆ และเป็นคีย์แมนสำคัญในชัยชนะ 7 - 2 เหนือ พีที ประจวบ เอฟซี เมื่อเย็นวานนี้ 😎💎

#BGPU #BGPathumUnited 
#บีจีปทุมยูไนเต็ด 
#บอลไทย #ฟุตบอลไทย 
#ไทยลีก #Thaileague https://t.co/o0hGQXbyfC",/BGPU/BGPathumUnited/บีจีปทุมยูไนเต็ด/บอลไทย/ฟุตบอลไทย/ไทยลีก/Thaileague,7,6,22,07/04/2022,07:26,positive
#thaileague,th,ลุงบิ๊ก​แม่สอด,@LMaesxd,2022-04-07 03:50:57+00:00,,"บุรีรัมย์ ยังไม่ได้เฮ

#RevoThaiLeague #ThaiLeague #ฟุตบอลไทย #บอลไทย
#thaifootball https://t.co/EK7GAwHh8j",/RevoThaiLeague/ThaiLeague/ฟุตบอลไทย/บอลไทย/thaifootball,1,0,0,07/04/2022,03:50,neutral
#thaileague,th,ลุงบิ๊ก​แม่สอด,@LMaesxd,2022-04-07 03:50:48+00:00,,"บุรีรัมย์ ยังไม่ได้เฮ

#RevoThaiLeague #ThaiLeague #ฟุตบอลไทย #บอลไทย
#thaifootball https://t.co/MU4mxroJcE",/RevoThaiLeague/ThaiLeague/ฟุตบอลไทย/บอลไทย/thaifootball,1,0,1,07/04/2022,03:50,neutral
#thaileague,en,SNEsports,@SNE_Sports,2022-04-07 10:52:14+00:00,,"Thai League : Subsidy for club season 2022/23 reduced 30%

#ThaiLeague
#SNESports
https://t.co/FQu5V31X0S",/ThaiLeague/SNESports,1,0,0,07/04/2022,10:52,neutral
#thaileague,en,ThaiLeague,@thaileague,2022-04-07 09:21:55+00:00,,"Heading to Matchday 2⃣6⃣ 

#RevoThaiLeague #ThaiLeague https://t.co/eT8BSCERau",/RevoThaiLeague/ThaiLeague,12,11,24,07/04/2022,09:21,neutral
#thaileague,en,ThaiLeague,@thaileague,2022-04-07 06:56:36+00:00,,"Caption his skill 🪲☄️🌟
@Chiangraiunited 

#REVOThaiLeague #ThaiLeague https://t.co/t8zbDtoRkM",/REVOThaiLeague/ThaiLeague,8,7,14,07/04/2022,06:56,neutral
#thaileague,en,Orient Football Shirts,@orientfootball,2022-04-07 06:32:49+00:00,,"In October 2011, @Robbie9Fowler scored his first goal for @MuangthongUtd 🇹🇭 with a simple header from a few yards out in a 4-1 win over @Chiangraiunited. 🔴⚪️

#thaileague #MuangthongUtd #LFC https://t.co/XRTO3O5nzN",/thaileague/MuangthongUtd/LFC,1,0,0,07/04/2022,06:32,positive
#thaileague,en,ASEAN Football,@AFFPresse,2022-04-07 04:36:49+00:00,,"2021/22 Revo Thai League 1 - CURRENT STANDINGS 

#AFF
#FAT
Graphic Courtesy #ThaiLeague https://t.co/fG3DKefdR2",/AFF/FAT/ThaiLeague,2,1,6,07/04/2022,04:36,positive
