keyword,hashtag,count_hashtag,date
#thaileague,thaileague,2,28/04/2022
#thaileague,revothaileague,1,28/04/2022
#thaileague,snesports,1,28/04/2022
#thaileague,spc,1,28/04/2022
#thaileague,thaileague2021,1,28/04/2022
#thaileague,togetherasone,1,28/04/2022
#thaileague,yasushiyoshida,1,28/04/2022
#thaileague,ช้างศึก,1,28/04/2022
#thaileague,บอลไทย,1,28/04/2022
#thaileague,ฟุตบอลไทย,1,28/04/2022
#thaileague,รีโว่ไทยลีก,1,28/04/2022
#thaileague,ไทยลีก,1,28/04/2022
#thaileague,ไทยลีกฟันธง,1,28/04/2022
