keyword,language,word,count_word,date
#ucl,en,ucl,935,11/04/2022
#ucl,en,chelsea,286,11/04/2022
#ucl,en,madrid,222,11/04/2022
#ucl,en,real,161,11/04/2022
#ucl,en,tomorrow,133,11/04/2022
#ucl,en,league,113,11/04/2022
#ucl,en,champions,108,11/04/2022
#ucl,en,cfc,101,11/04/2022
#ucl,en,rmache,96,11/04/2022
#ucl,en,vs,95,11/04/2022
#ucl,en,championsleague,80,11/04/2022
#ucl,en,leg,75,11/04/2022
#ucl,en,chelseafc,71,11/04/2022
#ucl,en,city,65,11/04/2022
#ucl,en,realmadrid,62,11/04/2022
#ucl,en,mcfc,59,11/04/2022
#ucl,en,go,57,11/04/2022
#ucl,en,game,56,11/04/2022
#ucl,en,bet,55,11/04/2022
#ucl,en,one,53,11/04/2022
#ucl,en,team,53,11/04/2022
#ucl,en,get,53,11/04/2022
#ucl,en,liverpool,48,11/04/2022
#ucl,en,tuchel,48,11/04/2022
#ucl,en,win,47,11/04/2022
#ucl,en,bayern,46,11/04/2022
#ucl,en,play,46,11/04/2022
#ucl,en,match,45,11/04/2022
#ucl,en,manchester,44,11/04/2022
#ucl,en,villarreal,42,11/04/2022
#ucl,en,quarterfinal,42,11/04/2022
#ucl,en,x,42,11/04/2022
#ucl,en,lfc,41,11/04/2022
#ucl,en,uefa,41,11/04/2022
#ucl,en,back,40,11/04/2022
#ucl,en,amp,38,11/04/2022
#ucl,en,first,38,11/04/2022
#ucl,en,second,37,11/04/2022
#ucl,en,football,37,11/04/2022
#ucl,en,munich,36,11/04/2022
#ucl,en,benzema,35,11/04/2022
#ucl,en,season,34,11/04/2022
#ucl,en,squad,34,11/04/2022
#ucl,en,man,33,11/04/2022
#ucl,en,free,33,11/04/2022
#ucl,en,week,33,11/04/2022
#ucl,en,make,32,11/04/2022
#ucl,en,time,32,11/04/2022
#ucl,en,link,32,11/04/2022
#ucl,en,market,32,11/04/2022
#ucl,en,ahead,31,11/04/2022
#ucl,en,us,31,11/04/2022
#ucl,en,goals,31,11/04/2022
#ucl,en,need,30,11/04/2022
#ucl,en,premierleague,30,11/04/2022
#ucl,en,come,30,11/04/2022
#ucl,en,best,30,11/04/2022
#ucl,en,mancity,30,11/04/2022
#ucl,en,offer,29,11/04/2022
#ucl,en,know,29,11/04/2022
#ucl,en,via,29,11/04/2022
#ucl,en,club,28,11/04/2022
#ucl,en,final,27,11/04/2022
#ucl,en,big,27,11/04/2022
#ucl,en,world,27,11/04/2022
#ucl,en,aware,26,11/04/2022
