keyword,language,author,twitter_name,create_at,location,text,hashtag,tweets_count,retweet_count,favourite_count,date,time,sentiment
#ucl,th,TrueVisions,@TrueVisions,2022-04-12 22:58:50+00:00,Thailand,"สรุปผลการแข่งขันฟุตบอลยูฟ่า แชมเปี้ยนส์ ลีก รอบ 8 ทีมสุดท้าย เลกสอง คืนวันพุธที่ 13 มีนาคม สองคู่แข่งขันมีดังต่อไปนี้
#TrueVisions #KingOfSports #ที่สุดของกีฬาที่ทรูวิชั่นส์ที่เดียว #UCL #UefaChampionsLeague #ยูฟ่าแชมเปี้ยนส์ลีก https://t.co/uXlPH5XWfU",/TrueVisions/KingOfSports/ที่สุดของกีฬาที่ทรูวิชั่นส์ที่เดียว/UCL/UefaChampionsLeague/ยูฟ่าแชมเปี้ยนส์ลีก,2,1,2,12/04/2022,22:58,neutral
#ucl,th,SMMSPORT,@SMMSPORT_News,2022-04-12 22:03:40+00:00,"bangkok,Thailand","เชลซี ยันสกอร์นำ 3-0 เพื่อเข้ารอบไม่อยู่ ก่อนมาโดน คาริม เบนเซม่า ซัดประตูสำคัญช่วงต่อเวลาพิเศษให้ เรอัล มาดริด แซงชนะสกอร์รวม 5-4 เข้ารอบรองชนะเลิศ ยูฟ่า แชมเปี้ยนส์ ลีก

#SMMSPORT #แชมเปี้ยนส์ลีก #ChampionsLeague #UCL #RealMadrid #Chelsea

https://t.co/Qu1Mg2BvDL",/SMMSPORT/แชมเปี้ยนส์ลีก/ChampionsLeague/UCL/RealMadrid/Chelsea,2,1,5,12/04/2022,22:03,positive
#ucl,th,GOAL Thailand,@Goal_TH,2022-04-12 22:00:54+00:00,Thailand,"แชมป์เก่าหมดสิทธิ์ป้องกันแชมป์ 👋

#GOALTHAILAND #CFC #UCL https://t.co/3i8LlMR9OU",/GOALTHAILAND/CFC/UCL,10,9,30,12/04/2022,22:00,neutral
#ucl,th,SMMSPORT,@SMMSPORT_News,2022-04-12 22:00:01+00:00,"bangkok,Thailand","เจอร์เก้น คล็อปป์ เชื่อ ลิเวอร์พูล ยังต้องเจองานยากในการรับมือ เบนฟิก้า เกมนัดสอง รอบ 8 ทีม ยูฟ่า แชมเปี้ยนส์ ลีก แม้บุกชนะมา 3-1 โดยหากโดนยิงเมื่อไหร่ จะกลายเป็นความกดดันทันที

#SMMSPORT #แชมเปี้ยนส์ลีก #ChampionsLeague #UCL #Liverpool #Benfica

https://t.co/izzhKeMneA",/SMMSPORT/แชมเปี้ยนส์ลีก/ChampionsLeague/UCL/Liverpool/Benfica,2,1,0,12/04/2022,22:00,negative
#ucl,th,Chelsea Thailand Fanclub,@CHELSEA_THFC,2022-04-12 21:57:58+00:00,,"เสียดายแต่ไม่เสียใจเพราะทุกคนทำเต็มที่แล้วเล่นกันสุดๆแล้ว มันส์มากสมศักดิ์ศรี  สู้กันใหม่ปีหน้า💙
.
Extra Time : เรอัล มาดริด [5] 2-3 [4] เชลซี

#RMCF #UCL #CFC #Chelsea #ChelseaFc #CFCTHFC https://t.co/CmamKnYTCu",/RMCF/UCL/CFC/Chelsea/ChelseaFc/CFCTHFC,50,49,41,12/04/2022,21:57,positive
#ucl,th,𝑻𝒉𝒆 𝑩𝒍𝒖𝒆𝒔,@Ouy_Villa,2022-04-12 21:57:51+00:00,,ภาพนี้บีบหัวใจมาก ไคนายทำเต็มที่แล้วนะ #CFC #UCL https://t.co/ciddBlh7wz,/CFC/UCL,1,0,0,12/04/2022,21:57,neutral
#ucl,th,𝑻𝒉𝒆 𝑩𝒍𝒖𝒆𝒔,@Ouy_Villa,2022-04-12 21:56:49+00:00,,จะร้องไห้ 😭 สงสารนักเตะ ทุกคนทำดีที่สุดแล้วนะ กอดๆๆ 💙 #CFC #UCL https://t.co/2ePNDobczf,/CFC/UCL,2,1,0,12/04/2022,21:56,negative
#ucl,th,🫧m,@whistelx,2022-04-12 21:49:25+00:00,,ความพ่ายแพ้จะทำให้พวกแกโตขึ้น ยังอายุไม่เท่าไหร่เอง สู้กับแลทป์13สมัยได้แบบชนะในบ้านก็เก่งมากๆแล้ว ยังเหลือเวลาอีกหลายปีในการเป็นแชมป์นะคะ รักๆๆๆๆ #UCL,/UCL,1,0,0,12/04/2022,21:49,positive
#ucl,th,𝑻𝒉𝒆 𝑩𝒍𝒖𝒆𝒔,@Ouy_Villa,2022-04-12 21:43:44+00:00,,ไม่มีอะไรต้องเสียใจ นักเตะทุกคนเก่งมากๆพวกเราสู้เต็มที่แล้ว ภูมิใจในทีมของฉันที่สุด 💙 #CFC #UCL https://t.co/Betdeb5FEA,/CFC/UCL,1,0,0,12/04/2022,21:43,positive
#ucl,th,𝙯𝙤𝙣𝙚,@shxqzone,2022-04-12 21:42:10+00:00,🦔,ขอพื้นที่ให้มาดริดครับ #UCL,/UCL,1,0,0,12/04/2022,21:42,neutral
