keyword,language,author,twitter_name,create_at,location,text,hashtag,tweets_count,retweet_count,favourite_count,date,time,sentiment
#อาร์เซน่อล,th,Sport Bar,@SportbarOnline,2022-03-22 05:52:10+00:00,Thailand,"""คอนเต้"" ชี้ ยังมีโอกาสลุ้นคว้าที่ 4 พรีเมียร์ลีก 

อ่านต่อ ▶▶ https://t.co/lDedeDxLfX

#อันโตนิโอคอนเต้ #คอนเต้ #สเปอร์ส
#ท็อตแน่มฮ็อทสเปอร์ #อาร์เซน่อล #พรีเมียร์ลีก
#ข่าวกีฬา #ข่าวกีฬาวันนี้ #ข่าวฟุตบอล #ข่าวฟุตบอลวันนี้
#SportBar #SportbarOnline #SportbarUpdate https://t.co/lNHSnFXvUJ",/อันโตนิโอคอนเต้/คอนเต้/สเปอร์ส/ท็อตแน่มฮ็อทสเปอร์/อาร์เซน่อล/พรีเมียร์ลีก/ข่าวกีฬา/ข่าวกีฬาวันนี้/ข่าวฟุตบอล/ข่าวฟุตบอลวันนี้/SportBar/SportbarOnline/SportbarUpdate,1,0,0,22/03/2022,05:52,neutral
#อาร์เซน่อล,th,PPTV HD 36,@PPTVHD36,2022-03-22 05:43:50+00:00,Bangkok,"“เวนเกอร์” ยันสนคัมแบ็กรับงานคุมสโมสร
https://t.co/BK9jDi9NKa
#PPTVHD36 #ช่อง36 #เวนเกอร์ #ปืนใหญ่ #อาร์เซน่อล",/PPTVHD36/ช่อง36/เวนเกอร์/ปืนใหญ่/อาร์เซน่อล,2,1,4,22/03/2022,05:43,neutral
#อาร์เซน่อล,th,Asiasport Thailand,@AsiaSportThai,2022-03-23 09:22:59+00:00,"Bangkok, Thailand","ปีน, ไก่ เล็งคว้าปีก ตุรกี ค่าตัว 20 ล้านยูโร
https://t.co/5TtzMHFJ6o

#asiasport #ฟุตบอลต่างประเทศ #พรีเมียร์ลีก #สเปอร์ส #อาร์เซน่อล #ปืนใหญ่",/asiasport/ฟุตบอลต่างประเทศ/พรีเมียร์ลีก/สเปอร์ส/อาร์เซน่อล/ปืนใหญ่,1,0,0,23/03/2022,09:22,neutral
#อาร์เซน่อล,th,SMMSPORT,@SMMSPORT_News,2022-03-23 09:00:02+00:00,"bangkok,Thailand","มาร์ติเนลลี่เผยแข้งเชลซีพยายามยุให้เปลี่ยนทีมระหว่างเกมยูโร

#SMMSPORT #กาเบรียลมาร์ติเนลลี่ #Arsenal #อาร์เซน่อล #ตลาดซื้อขายนักเตะ #พรีเมียร์ลีก🏴󠁧󠁢󠁥󠁮󠁧󠁿 

https://t.co/2FOWcnF1xd",/SMMSPORT/กาเบรียลมาร์ติเนลลี่/Arsenal/อาร์เซน่อล/ตลาดซื้อขายนักเตะ/พรีเมียร์ลีก,1,0,0,23/03/2022,09:00,neutral
#อาร์เซน่อล,th,ShotonGoal,@ShotongoalTH,2022-03-23 08:27:58+00:00,"Bangkok, Thailand","‘วิเอร่า’กอดคอ’รูนี่ย์’ ตบเท้าเข้าหอเกียรติยศพรีเมียร์ลีก!
#Shotongoal #พรีเมียร์ลีก #วิเอร่า #อาร์เซน่อล #แมนเชสเตอร์ยูไนเต็ด #รูนี่ย์

https://t.co/jSbupUiCGA",/Shotongoal/พรีเมียร์ลีก/วิเอร่า/อาร์เซน่อล/แมนเชสเตอร์ยูไนเต็ด/รูนี่ย์,1,0,0,23/03/2022,08:27,positive
#อาร์เซน่อล,th,Nirut Kaewsutthi,@KaewsutthiNirut,2022-03-23 06:12:21+00:00,,"ก็ท็อปโฟร์อ่ะหลานๆ
---------------------------
#ท็อปโฟร์ #ตารางคะแนน #ท็อป4 #แชมป์ไร้พ่าย #อาร์เซน่อล #ปืนใหญ่ #เดอะกันเนอร์ส #ลุงเวน #ลุงเวนเกอร์ https://t.co/ir2yb8KX3Z",/ท็อปโฟร์/ตารางคะแนน/ท็อป4/แชมป์ไร้พ่าย/อาร์เซน่อล/ปืนใหญ่/เดอะกันเนอร์ส/ลุงเวน/ลุงเวนเกอร์,1,0,0,23/03/2022,06:12,positive
#อาร์เซน่อล,th,Sport Bar,@SportbarOnline,2022-03-23 05:24:47+00:00,Thailand,"กูรูลูกหนังฟันธง ""แทมมี่ อับราฮัม"" กลับคืนสู่พรีเมียร์ลีกแน่นอน 

อ่านต่อ ▶▶ https://t.co/TqwRwr2cBw

#แทมมี่อับราฮัม #โธมัสทูเคิล
#โรม่า #เชลซี #อาร์เซน่อล #พรีเมียร์ลีก
#ข่าวกีฬา #ข่าวกีฬาวันนี้ #ข่าวฟุตบอล #ข่าวฟุตบอลวันนี้
#SportBar #SportbarOnline #SportbarUpdate https://t.co/rSY8NpJ2bG",/แทมมี่อับราฮัม/โธมัสทูเคิล/โรม่า/เชลซี/อาร์เซน่อล/พรีเมียร์ลีก/ข่าวกีฬา/ข่าวกีฬาวันนี้/ข่าวฟุตบอล/ข่าวฟุตบอลวันนี้/SportBar/SportbarOnline/SportbarUpdate,1,0,0,23/03/2022,05:24,positive
#อาร์เซน่อล,th,PPTV HD 36,@PPTVHD36,2022-03-23 03:38:58+00:00,Bangkok,"มาร์ติน โอเดการ์ด จากดาวรุ่งพเนจร สู่จอมทัพอาร์เซน่อล
https://t.co/YgiachNW9i
#PPTVHD36 #ช่อง36  #มาร์ตินโอเดการ์ด #อาร์เซน่อล #โอเดการ์ด",/PPTVHD36/ช่อง36/มาร์ตินโอเดการ์ด/อาร์เซน่อล/โอเดการ์ด,1,0,1,23/03/2022,03:38,neutral
#อาร์เซน่อล,th,SMMSPORT,@SMMSPORT_News,2022-03-24 20:09:16+00:00,"bangkok,Thailand","ทีมชาติอังกฤษ จะไม่มี บูคาโย่ ซาก้า ปีกดาวรุ่งจาก อาร์เซน่อล ลงอุ่นเครื่องกับ สวิสเซอร์แลนด์ และ ไอวอรี่โคสต์ เนื่องจากผลการตรวจเชื้อไวรัสโควิด-19 ออกมาเป็นบวก

#SMMSPORT #ทีมชาติอังกฤษ #บูคาโย่ซาก้า #BukayoSaka #อาร์เซน่อล #Arsenal

https://t.co/H4a0cD1Z3E",/SMMSPORT/ทีมชาติอังกฤษ/บูคาโย่ซาก้า/BukayoSaka/อาร์เซน่อล/Arsenal,1,0,1,24/03/2022,20:09,neutral
#อาร์เซน่อล,th,Asiasport Thailand,@AsiaSportThai,2022-03-24 08:09:52+00:00,"Bangkok, Thailand","ปืนใหญ่ ออกตัวก่อน หงส์แดง เตรียมทุ่ม 65 ล้าน ล่าตัว นูเญซ

#อาร์เซน่อล #ดาร์วินนูเญซ #เบนฟิก้า

https://t.co/JFG0vHECi6",/อาร์เซน่อล/ดาร์วินนูเญซ/เบนฟิก้า,1,0,0,24/03/2022,08:09,neutral
