keyword,language,author,twitter_name,create_at,location,text,hashtag,tweets_count,retweet_count,favourite_count,date,time,sentiment
#อาร์เซน่อล,th,SMMSPORT,@SMMSPORT_News,2022-05-01 23:00:01+00:00,"bangkok,Thailand","'อาร์เตต้า' ชี้ 'ปืน' ปรับวิธีการเล่นเพื่อชนะแม้ฟอร์มไม่สวย

#SMMSPORT #มิเกลอาร์เตต้า #อาร์เซน่อล #Arsenal #เวสต์แฮม #พรีเมียร์ลีก #PremierLeague 🏴󠁧󠁢󠁥󠁮󠁧󠁿

https://t.co/sZxcnJB76x",/SMMSPORT/มิเกลอาร์เตต้า/อาร์เซน่อล/Arsenal/เวสต์แฮม/พรีเมียร์ลีก/PremierLeague,2,1,1,01/05/2022,23:00,negative
#อาร์เซน่อล,th,TheRackyTeam,@TheRackyTeam,2022-05-01 22:10:33+00:00,,จบสกอร์ #เวสต์แฮม 1-2 #อาร์เซน่อล,/เวสต์แฮม/อาร์เซน่อล,1,0,0,01/05/2022,22:10,neutral
#อาร์เซน่อล,th,ShotonGoal,@ShotongoalTH,2022-05-01 19:33:38+00:00,"Bangkok, Thailand","อาร์เตต้ารับปืนใหญ่ชนะขุนค้อนด้วยฟอร์มที่ไม่ดี
#ShotonGoal #เวสต์แฮม #อาร์เซน่อล

https://t.co/Kvw3uveXH0",/ShotonGoal/เวสต์แฮม/อาร์เซน่อล,1,0,0,01/05/2022,19:33,negative
#อาร์เซน่อล,th,SMMSPORT,@SMMSPORT_News,2022-05-01 18:05:00+00:00,"bangkok,Thailand","โขกสองตุง! 'ปืน' บุกอัด 'ค้อน' 2-1 แซง 'ไก่' กลับท็อปโฟร์

#SMMSPORT #เวสต์แฮม #อาร์เซน่อล #พรีเมียร์ลีก #PremierLeague 🏴󠁧󠁢󠁥󠁮󠁧󠁿

https://t.co/bPIc4HAM1g",/SMMSPORT/เวสต์แฮม/อาร์เซน่อล/พรีเมียร์ลีก/PremierLeague,2,1,1,01/05/2022,18:05,neutral
#อาร์เซน่อล,th,SMMSPORT,@SMMSPORT_News,2022-05-01 17:48:02+00:00,"bangkok,Thailand","⚽ อาร์เซน่อล บุกปราบ เวสต์แฮม แซงกลับไปรั้งที่4, สเปอร์ส เปิดบ้านต้อนเลสเตอร์, เอฟเวอร์ตัน เฉือนหวิว เชลซี มีแต้มตามโซนปลอดภัย 2 คะแนน

📱ผลบอลสดคลิก &gt;&gt;&gt; https://t.co/JFgo5zWE6I

#SMMSPORT #สเปอร์ส #อาร์เซน่อล #เชลซี #พรีเมียร์ลีก #PremierLeague 🏴󠁧󠁢󠁥󠁮󠁧󠁿 https://t.co/GB4XHj7XIu",/SMMSPORT/สเปอร์ส/อาร์เซน่อล/เชลซี/พรีเมียร์ลีก/PremierLeague,5,4,1,01/05/2022,17:48,positive
#อาร์เซน่อล,th,SMMSPORT,@SMMSPORT_News,2022-05-01 17:36:15+00:00,"bangkok,Thailand","⚽ โฮลดิ่ง และ กาเบรียล มากัลเญส พังคนละประตูให้ อาร์เซน่อล บุกชนะ เวสต์แฮม แซงขึ้นไปรั้งอันดับ 4

0-1 ร็อบ โฮลดิ่ง น.39
1-1 จาร์ร็อด โบเว่น น.45
1-2 กาเบรียล มากัลเญส น.55

📱ผลบอลสดคลิก &gt;&gt;&gt; https://t.co/JFgo5zWE6I

#SMMSPORT #เวสต์แฮม #อาร์เซน่อล #พรีเมียร์ลีก #PremierLeague 🏴󠁧󠁢󠁥󠁮󠁧󠁿 https://t.co/jWzmsAEuzK",/SMMSPORT/เวสต์แฮม/อาร์เซน่อล/พรีเมียร์ลีก/PremierLeague,2,1,0,01/05/2022,17:36,negative
#อาร์เซน่อล,th,SMMSPORT,@SMMSPORT_News,2022-05-01 16:46:16+00:00,"bangkok,Thailand","⚽ GOAL!!! น.55 กาเบรียล มากัลเญส  ทำประตูให้ อาร์เซน่อล ออกนำ เวสต์แฮม อีกรอบ 1-2

📱ผลบอลสดคลิก &gt;&gt;&gt; https://t.co/JFgo5zWE6I

#SMMSPORT #เวสต์แฮม #อาร์เซน่อล #พรีเมียร์ลีก #PremierLeague 🏴󠁧󠁢󠁥󠁮󠁧󠁿 https://t.co/LkmtIvPWOB",/SMMSPORT/เวสต์แฮม/อาร์เซน่อล/พรีเมียร์ลีก/PremierLeague,2,1,0,01/05/2022,16:46,neutral
#อาร์เซน่อล,th,SMMSPORT,@SMMSPORT_News,2022-05-01 16:25:38+00:00,"bangkok,Thailand","⚽ หมดเวลาครึ่งแรก ฟุตบอลพรีเมียร์ลีก คู่เวลา 22:30 น.

HT เวสต์แฮม 1-1 อาร์เซน่อล
0-1 ร็อบ โฮลดิ่ง น.39
1-1 จาร์ร็อด โบเว่น น.45

📺 ถ่ายทอดสด : PPTV, True Premier Football HD1

📱ผลบอลสดคลิก &gt;&gt;&gt; https://t.co/JFgo5zWE6I

#SMMSPORT #เวสต์แฮม #อาร์เซน่อล #พรีเมียร์ลีก🏴󠁧󠁢󠁥󠁮󠁧󠁿 https://t.co/Z1O2bmiTwi",/SMMSPORT/เวสต์แฮม/อาร์เซน่อล/พรีเมียร์ลีก,2,1,1,01/05/2022,16:25,neutral
#อาร์เซน่อล,th,SMMSPORT,@SMMSPORT_News,2022-05-01 16:20:04+00:00,"bangkok,Thailand","⚽ GOAL!!! น.45 จาร์ร็อด โบเว่น ทำประตูให้ เวสต์แฮม ช่วงท้ายครึ่งแรก ตามตีเสมอ อาร์เซน่อล 1-1

📱ผลบอลสดคลิก &gt;&gt;&gt; https://t.co/JFgo5zWE6I

#SMMSPORT #เวสต์แฮม #อาร์เซน่อล #พรีเมียร์ลีก #PremierLeague 🏴󠁧󠁢󠁥󠁮󠁧󠁿 https://t.co/vtAZx9qiFR",/SMMSPORT/เวสต์แฮม/อาร์เซน่อล/พรีเมียร์ลีก/PremierLeague,1,0,0,01/05/2022,16:20,neutral
#อาร์เซน่อล,th,SMMSPORT,@SMMSPORT_News,2022-05-01 16:11:28+00:00,"bangkok,Thailand","⚽ GOAL!!! น.39 ร็อบ โฮลดิ่ง ทำประตูให้ อาร์เซน่อล บุกนำ เวสต์แฮม 0-1

📱ผลบอลสดคลิก &gt;&gt;&gt; https://t.co/JFgo5zWE6I

#SMMSPORT #เวสต์แฮม #อาร์เซน่อล #พรีเมียร์ลีก #PremierLeague 🏴󠁧󠁢󠁥󠁮󠁧󠁿 https://t.co/ShiKvAIamt",/SMMSPORT/เวสต์แฮม/อาร์เซน่อล/พรีเมียร์ลีก/PremierLeague,1,0,0,01/05/2022,16:11,neutral
