keyword,hashtag,count_hashtag,date
messi,messi𓃵,2,01/05/2022
messi,arsenal,1,01/05/2022
messi,barcelona,1,01/05/2022
messi,tc,1,01/05/2022
messi,talkyourtalk,1,01/05/2022
messi,soccer,1,01/05/2022
messi,ronaldo,1,01/05/2022
messi,reddevils,1,01/05/2022
messi,realmadrid,1,01/05/2022
messi,premierleague,1,01/05/2022
messi,pogba,1,01/05/2022
messi,oldtrafford,1,01/05/2022
messi,mufc,1,01/05/2022
messi,messi,1,01/05/2022
messi,manutd,1,01/05/2022
messi,manunited,1,01/05/2022
messi,manchester,1,01/05/2022
messi,liverpool,1,01/05/2022
messi,lionelmessi,1,01/05/2022
messi,juventus,1,01/05/2022
messi,ggmu,1,01/05/2022
messi,football,1,01/05/2022
messi,firstgoal,1,01/05/2022
messi,fifa,1,01/05/2022
messi,cristianoronaldo,1,01/05/2022
messi,cristiano,1,01/05/2022
messi,cr,1,01/05/2022
messi,chelsea,1,01/05/2022
messi,championsleague,1,01/05/2022
messi,เรื่องยิ้มๆมุ้งมิ้งฟุตบอล,1,01/05/2022
