keyword,language,author,twitter_name,create_at,location,text,hashtag,tweets_count,retweet_count,favourite_count,date,time,sentiment
neymar,th,MeL ☔,@neymar__xi,2022-04-29 04:50:03+00:00,,แม่งกดไม่ได้เลยยยย เส้าาา,,1,0,0,29/04/2022,04:50,negative
neymar,en,shaun,@shaunroberts131,2022-04-29 23:59:38+00:00,,@Kx7ii_ @hashuAG7 @neyhoIic Mbappe called neymar a tramp for not passing yet mbappe shoots from that position,,1,0,0,29/04/2022,23:59,neutral
neymar,en,Just J.W,@JustJW7,2022-04-29 23:59:31+00:00,,@433 Neymar ofcourse! 😁,,1,0,0,29/04/2022,23:59,neutral
neymar,en,shaun,@shaunroberts131,2022-04-29 23:59:00+00:00,,@Kx7ii_ @FR_Giorgos Literally bought neymar for 222million who has done barely anything,,1,0,0,29/04/2022,23:59,neutral
neymar,en,Prometheus12121,@Prometheus12122,2022-04-29 23:57:48+00:00,,@rma_kjm No version of Ronaldo is better than Neymar at dribbling lol.,,1,0,0,29/04/2022,23:57,positive
neymar,en,🐉,@mozarros1,2022-04-29 23:56:17+00:00,France,@paipls @pr1de1sthed3vil What does this mean? Jorginho finished third Neymar in Brazil was 10th. Some of Neymar’s greatest seasons had lower finishes than worse seasons bc he got injured less. See my ballon d’Or tweets,,1,0,2,29/04/2022,23:56,negative
neymar,en,Mar Olga  Peretti,@seeolgi,2022-04-29 23:55:59+00:00,,Humiliate?? It’s a game! He’s playing and like #Neymar many others they’re allowed to show us their skills!! So in basketball shooting 3’s from half court is humiliating?? Or a slam dunk? No! It’s an absolute delight for us! https://t.co/lRJxxCsg2h,/Neymar,1,0,0,29/04/2022,23:55,negative
neymar,en,Svartalfar 🍥,@Anon6814,2022-04-29 23:55:16+00:00,,"@TarikuMS @Vettel_AMR @neyhoIic I meant 2
One neymar assist 
And this error tapin",,1,0,0,29/04/2022,23:55,negative
neymar,en,SOUL🖥,@__s_o_u_l,2022-04-29 23:55:05+00:00,"Lagos, Nigeria","@ruskiswar @Knight8078 @ka_monitira @Joshua_Ubeku Neymar gave away the ball needlessly for the winning goal, and a certain number 30 lost a penalty in the first leg

??",,1,0,0,29/04/2022,23:55,positive
neymar,en,.,@washedmartial,2022-04-29 23:54:20+00:00,,i dont give a single fuck about stats i watch football with my eyes and neymar is miles ahead of suarez https://t.co/AMvZkJvt52,,1,0,3,29/04/2022,23:54,negative
neymar,en,‎ً🇵🇸,@SusMinds,2022-04-29 23:54:12+00:00,,@PrimeMetro00 @IyereKristoffer @Sxne19iv2 Neymar wants to retire he ain't beating Suarez' record🤣,,1,0,0,29/04/2022,23:54,positive
neymar,en,мiรтєяαят🇮🇹,@MrArtSEP,2022-04-29 23:54:01+00:00,"Porto, Portugal",@FR_Giorgos @7vini76 History? I only found out that your club exists because of Neymar,,1,0,0,29/04/2022,23:54,neutral
neymar,en,π,@paipls,2022-04-29 23:53:03+00:00,🎐,@mozarros1 @pr1de1sthed3vil I really hate to be that guy but Suarez (34) was a ballon dor nominee in the last edition while Neymar (29) wasn’t even a nominee,,1,0,1,29/04/2022,23:53,negative
neymar,en,♥,@wgat45,2022-04-29 23:52:34+00:00,,"@buffdaddyrip I know Neymar's been good but;

He was out for some time

Ligue 1 still doesn't have that PR,which is why people aren't even putting(the ones I've seen)mbappe in their too 3 despite all he has done .",,1,0,0,29/04/2022,23:52,positive
neymar,en,Slipping,@lowexpectationd,2022-04-29 23:50:47+00:00,,You see this two legged double scissors kick. Neymar na werey 😂 https://t.co/XVor1Z1vfI,,1,0,0,29/04/2022,23:50,neutral
neymar,en,🎞🎛,@GroovySaintQ,2022-04-29 23:50:09+00:00,🌐,Suarez is pretty high in my rankings and a top 3 CF ever but i still feel there’s a clear gap between him and Neymar almost to the point that this opinion seems disrespectful https://t.co/oOVxTiotA0,,5,4,26,29/04/2022,23:50,positive
neymar,en,Elias,@Elias_FCB19,2022-04-29 23:49:58+00:00,,"@fcbt2448 @honest_leroy @Fs_BVB @iiMiaSanMia If he makes 2 right decisions we’re through that has nothing to do with an agenda 
No matter If we were Lucky that Neymar Hit the post it would’ve been the semis",,1,0,0,29/04/2022,23:49,positive
neymar,en,Neil Emery,@Neil_1989,2022-04-29 23:49:49+00:00,,@Elitage_ Neymar shud have got it . Ridiculous ea sports,,1,0,2,29/04/2022,23:49,negative
neymar,en,Mian Safi,@MianSafi11,2022-04-29 23:49:35+00:00,,I watched football because of neymar jr,,1,0,0,29/04/2022,23:49,neutral
neymar,en,FSG OUT,@sambagoalkeeper,2022-04-29 23:49:13+00:00,,@noowaayhomie @Pessi10i Luis Suárez is five years older tho. It was obvious he was going to decline earlier than Neymar,,1,0,2,29/04/2022,23:49,neutral
neymar,en,🎷🐂,@s3leem_,2022-04-29 23:48:09+00:00,Alonsos bedroom,@Vaz_Carefree No thanks ill take neymar instead,,1,0,0,29/04/2022,23:48,neutral
neymar,en,ThiaGooo,@fcbt2448,2022-04-29 23:47:45+00:00,,@Elias_FCB19 @honest_leroy @Fs_BVB @iiMiaSanMia ofc only sane is at fault. just shut up with your agenda. its boring. we have been really lucky that neymar hit 3!!! times the post in the first half in the 2nd leg as well.,,1,0,0,29/04/2022,23:47,neutral
neymar,en,²¹,@zizouprop,2022-04-29 23:46:00+00:00,watching city bottle the ucl ,"@Serqcs @FutLM10i @Anna_96_10 @FR_Giorgos Plus Neymar was in his prime, not 34",,1,0,23,29/04/2022,23:46,neutral
