keyword,hashtag,count_hashtag,date
neymar,neymar,2,01/05/2022
neymar,nftcommunity,2,01/05/2022
neymar,beagirlwithgoals,1,01/05/2022
neymar,nintendoswitchsports,1,01/05/2022
neymar,steviewonder,1,01/05/2022
neymar,soccergoals,1,01/05/2022
neymar,shegoalinitiative,1,01/05/2022
neymar,shegoal,1,01/05/2022
neymar,njr,1,01/05/2022
neymar,nfts,1,01/05/2022
neymar,nintendoswitch,1,01/05/2022
neymar,btc,1,01/05/2022
neymar,nftlover,1,01/05/2022
neymar,nftcollectors,1,01/05/2022
neymar,nftcollectibles,1,01/05/2022
neymar,nft,1,01/05/2022
neymar,tochel,1,01/05/2022
