keyword,language,author,twitter_name,create_at,location,text,hashtag,tweets_count,retweet_count,favourite_count,date,time,sentiment
neymar,en,Rodrista. 🇪🇸🇧🇼,@J3_Designs_,2022-04-27 23:56:41+00:00,"LDN, England",@tomatozoo @CarefreeHavertz @MailSport That’s amortisation but still making a loss. PSG paid 220M for Neymar. 5 years that’s about 44M/year. Selling him for 76M only recuperates the transfer fee. They’re still out over 100M. Whether the club think his 5 years was worth it is different. It’s still red on the accounts,,1,0,0,27/04/2022,23:56,negative
neymar,en,footstatsball,@statsfutball,2022-04-27 23:54:54+00:00,,"Liverpool ending season with quadruple?
For more stats please follow @footstatsball 
#epl #premierleague #pl #lfc #messi #LiverpoolFC #chlseafc #chelsea #astonvillafc #evertonfc   #neymar #manchstercity #arsenal #laliga #realmadrid #manchasterunited  #mufc #ronaldo #cr7 #Messi",/epl/premierleague/pl/lfc/messi/LiverpoolFC/chlseafc/chelsea/astonvillafc/evertonfc/neymar/manchstercity/arsenal/laliga/realmadrid/manchasterunited/mufc/ronaldo/cr7/Messi,1,0,1,27/04/2022,23:54,positive
neymar,en,NATHAN,@_CFCNath,2022-04-27 23:51:51+00:00,"Scotland, United Kingdom",@FabrizioRomano Neymar to Chelsea fab?,,1,0,0,27/04/2022,23:51,positive
neymar,en,andreas mägi,@andreasmgi,2022-04-27 23:51:30+00:00,Estonia,"@MCFC_Mihir @theMadridZone Defenetly not, defence yes but psgs attack is top tier I'm not a fan of PSG or city but neymar mbappe and messi those 3 names are bigger than ur club",,1,0,0,27/04/2022,23:51,negative
neymar,en,Good Godfrey,@mjharvey1878,2022-04-27 23:48:20+00:00,"Richmond, TX","@danielgeorgee Really depends on who is around them. In a vacuum, I take Rooney. But Neymar with a creative midfielder to play off of, he is better. Just my .02",,1,0,1,27/04/2022,23:48,positive
neymar,en,Felix Things,@felix_szn,2022-04-27 23:45:50+00:00,,Neymar calling Bruno a hijo de puta and making him cry in that dressing room while Ronaldo watches amused in the background is the chaotic drama this club needs,,10,9,40,27/04/2022,23:45,negative
neymar,en,Andaz,@andrew_norin,2022-04-27 23:45:41+00:00,"Anaheim, CA","@tomatozoo @ReusTouch @CarefreeHavertz @MailSport Mate what tf are u on about LOL, if PSG spent £222m on Neymar (paid over 5 seasons), his wages are £41m, they’ve spent nearly £85m per season on him for 4 seasons, £341m paid already, while they still owe Barcelona £44m, selling him for anything under £385m is a MASSIVE loss",,1,0,2,27/04/2022,23:45,positive
neymar,en,Agbo Erasmus Elorm,@ErasmusAgbo,2022-04-27 23:45:21+00:00,,Neymar really did the club dirty. https://t.co/hUFz9eGEHU,,1,0,0,27/04/2022,23:45,negative
neymar,en,CruyffCast,@cruyffcast,2022-04-27 23:45:00+00:00,,"It would be hilarious if Florentino lost on Mbappe and Halland and had to bring on 30 year old Neymar. 

Or maybe he goes to Italy. I don’t see any team from 🇪🇸 🇩🇪 or 🏴󠁧󠁢󠁥󠁮󠁧󠁿 going for him. 

https://t.co/KsAvDVioUZ",,1,0,1,27/04/2022,23:45,positive
neymar,en,Ribeirokk,@neymar_fag,2022-04-27 23:44:56+00:00,,@imbiell_ @ha4kkai Vish biel,,1,0,1,27/04/2022,23:44,neutral
