keyword,language,author,twitter_name,create_at,location,text,hashtag,tweets_count,retweet_count,favourite_count,date,time,sentiment
ปืนใหญ่,th,PPTV HD 36,@PPTVHD36,2022-03-22 05:43:50+00:00,Bangkok,"“เวนเกอร์” ยันสนคัมแบ็กรับงานคุมสโมสร
https://t.co/BK9jDi9NKa
#PPTVHD36 #ช่อง36 #เวนเกอร์ #ปืนใหญ่ #อาร์เซน่อล",/PPTVHD36/ช่อง36/เวนเกอร์/ปืนใหญ่/อาร์เซน่อล,2,1,4,22/03/2022,05:43,neutral
ปืนใหญ่,th,Asiasport Thailand,@AsiaSportThai,2022-03-23 09:22:59+00:00,"Bangkok, Thailand","ปีน, ไก่ เล็งคว้าปีก ตุรกี ค่าตัว 20 ล้านยูโร
https://t.co/5TtzMHFJ6o

#asiasport #ฟุตบอลต่างประเทศ #พรีเมียร์ลีก #สเปอร์ส #อาร์เซน่อล #ปืนใหญ่",/asiasport/ฟุตบอลต่างประเทศ/พรีเมียร์ลีก/สเปอร์ส/อาร์เซน่อล/ปืนใหญ่,1,0,0,23/03/2022,09:22,neutral
ปืนใหญ่,th,Nirut Kaewsutthi,@KaewsutthiNirut,2022-03-23 06:12:21+00:00,,"ก็ท็อปโฟร์อ่ะหลานๆ
---------------------------
#ท็อปโฟร์ #ตารางคะแนน #ท็อป4 #แชมป์ไร้พ่าย #อาร์เซน่อล #ปืนใหญ่ #เดอะกันเนอร์ส #ลุงเวน #ลุงเวนเกอร์ https://t.co/ir2yb8KX3Z",/ท็อปโฟร์/ตารางคะแนน/ท็อป4/แชมป์ไร้พ่าย/อาร์เซน่อล/ปืนใหญ่/เดอะกันเนอร์ส/ลุงเวน/ลุงเวนเกอร์,1,0,0,23/03/2022,06:12,positive
ปืนใหญ่,th,Asiasport Thailand,@AsiaSportThai,2022-03-24 08:09:52+00:00,"Bangkok, Thailand","ปืนใหญ่ ออกตัวก่อน หงส์แดง เตรียมทุ่ม 65 ล้าน ล่าตัว นูเญซ

#อาร์เซน่อล #ดาร์วินนูเญซ #เบนฟิก้า

https://t.co/JFG0vHECi6",/อาร์เซน่อล/ดาร์วินนูเญซ/เบนฟิก้า,1,0,0,24/03/2022,08:09,neutral
ปืนใหญ่,th,PPTV HD 36,@PPTVHD36,2022-03-24 03:18:08+00:00,Bangkok,"อดีตกองหลังหงส์ ยก“ซาก้า-ราฟิญญ่า” เหมาะสมเป็นตัวแทนซาลาห์
https://t.co/TUg6NdzptB
#PPTVHD36 #PPTVNews #ซาก้า #ราฟิญญ่า #ลิเวอร์พูล #อาร์เซน่อล #ปืนใหญ่ #ลีดส์",/PPTVHD36/PPTVNews/ซาก้า/ราฟิญญ่า/ลิเวอร์พูล/อาร์เซน่อล/ปืนใหญ่/ลีดส์,2,1,2,24/03/2022,03:18,positive
ปืนใหญ่,th,Asiasport Thailand,@AsiaSportThai,2022-03-27 03:53:00+00:00,"Bangkok, Thailand","เอาจริงหรอ! อาร์เซน่อล หวังกระชาก แรชฟอร์ด ล่าตาข่าย
https://t.co/4c6njxosJ4

#asiasport #ฟุตบอลต่างประเทศ #แมนเชสเตอร์ยูไนเต็ด #อาร์เซน่อล #แรชฟอร์ด #ปืนใหญ่ #พรีเมียร์ลีก",/asiasport/ฟุตบอลต่างประเทศ/แมนเชสเตอร์ยูไนเต็ด/อาร์เซน่อล/แรชฟอร์ด/ปืนใหญ่/พรีเมียร์ลีก,1,0,0,27/03/2022,03:53,neutral
ปืนใหญ่,th,Dailynews Online,@DailynewsTwit,2022-03-28 05:04:00+00:00,"Bangkok, Thailand","#ผีแดง และ #ปืนใหญ่ ถึงกับสะดุ้งโหยง หลังเจอ #นาโปลี โก่งค่าตัวของ #วิคเตอร์โอซิเมน ดาวยิงฟอร์มฮอต สูงถึง 83 ล้านปอนด์เลยทีเดียว

#เดลินิวส์
https://t.co/RG1ITbhF6T",/ผีแดง/ปืนใหญ่/นาโปลี/วิคเตอร์โอซิเมน/เดลินิวส์,1,0,1,28/03/2022,05:04,neutral
ปืนใหญ่,th,Asiasport Thailand,@AsiaSportThai,2022-04-01 13:35:03+00:00,"Bangkok, Thailand","เด่นสุดๆ! อาร์เตต้า ซิวกุนซือยอดเยี่ยมประจำเดือนครั้งที่ 2
https://t.co/zO7Czzzq0t

#asiasport #ปืนใหญ่ #อาร์เซน่อล #พรีเมียร์ลีก",/asiasport/ปืนใหญ่/อาร์เซน่อล/พรีเมียร์ลีก,1,0,0,01/04/2022,13:35,positive
ปืนใหญ่,th,Asiasport Thailand,@AsiaSportThai,2022-04-01 03:40:13+00:00,"Bangkok, Thailand","ปืนใหญ่ ล็อคเป้าล่าตัว โอซิมเฮน จาก นาโปลี

#อาร์เซน่อล #วิคตอร์โอซิมเฮน #นาโปลี

https://t.co/bZDUfvGTl5",/อาร์เซน่อล/วิคตอร์โอซิมเฮน/นาโปลี,1,0,0,01/04/2022,03:40,neutral
ปืนใหญ่,th,💗บุรุษไร้นาม💗,@apchet001,2022-04-02 05:00:35+00:00,,"อากาศแบบนี้ มันช่างหน้าเสียน้ำจิงๆ
#เงี่ยน #ลพบุรีนัดเย็ด #ลพบุรี  #ปืนใหญ่",/เงี่ยน/ลพบุรีนัดเย็ด/ลพบุรี/ปืนใหญ่,1,0,1,02/04/2022,05:00,neutral
