keyword,language,author,twitter_name,create_at,location,text,hashtag,tweets_count,retweet_count,favourite_count,date,time,sentiment
โรนัลโด้,th,siamsportnews,@siamsport_news,2022-04-01 23:41:26+00:00,thailand,"แมนยูหวังแซงขึ้นที่5! ""โรนัลโด้"" พร้อมโป้ง,เลสเตอร์ยังไร้วาร์ดี้จัด ""อิเฮียนาโช่"" ส่อง  https://t.co/p6pW9Q2idP ผ่าน @siamsport_news",,3,2,8,01/04/2022,23:41,neutral
โรนัลโด้,th,SMMSPORT,@SMMSPORT_News,2022-04-01 23:00:01+00:00,"bangkok,Thailand","คริสเตียโน่ โรนัลโด้ คว้าตำแหน่งนักเตะทำประตูยอดเยี่ยมของ พรีเมียร์ ลีก เดือน มี.ค. 2022 ซึ่งเป็นหนแรกในชีวิตค้าแข้งที่ได้รางวัลนี้

ติดตามข่าวสารกีฬาทั้งใน และต่างประเทศ ได้ที่ https://t.co/U0x2tvzHTa

#SMMSPORT #พรีเมียร์ลีก #PremierLeague #คริสเตียโน่โรนัลโด้ #CristianoRonaldo https://t.co/JZHzSVdXjD",/SMMSPORT/พรีเมียร์ลีก/PremierLeague/คริสเตียโน่โรนัลโด้/CristianoRonaldo,1,0,2,01/04/2022,23:00,neutral
โรนัลโด้,th,lll ไมโล คือหมาของ MarkTuan 💚,@kangmiso97,2022-04-01 17:20:36+00:00,ประเทศไทย,"มาเน่เจอฟานไดจ์
คาวานี่เจอโรนัลโด้
เมสซี่เจอเลวาน
ญี่ปุ่นเจอสเปนกับเยอรมัน 😥

#บอลโลก2022 https://t.co/Fif91Dy30W",/บอลโลก2022,1,0,0,01/04/2022,17:20,neutral
โรนัลโด้,th,ㅁㅋ,@onthegroww,2022-04-01 16:21:58+00:00,,"คำอวยพี่โด้ที่เห็นมา ยกให้ฟิลิกคือคนที่อวยได้แบบบูชาพี่โด้ที่สุด ได้ยินแล้วอิมแพคมาก รู้แล้วว่าเด็กคนนี้มันรักพี่แค่ไหน คือคำว่า “โรนัลโด้ คือคนที่เปลี่ยนประวัติศาสตร์ฟุตบอลให้เป็นชื่อเขาเอง” ที่สุด 

https://t.co/1YWlseoxNg",,1,0,1,01/04/2022,16:21,positive
โรนัลโด้,th,✨🅰️ | a d d i n 💦,@Aladdinhi,2022-04-01 14:41:22+00:00,,@Nami_minii เจอโรนัลโด้...สกัด😅😅,,1,0,1,01/04/2022,14:41,neutral
โรนัลโด้,th,siamsportnews,@siamsport_news,2022-04-01 12:35:01+00:00,thailand,แมนยูส่งประกวด!โรนัลโด้คว้าประตูยอดเยี่ยมพรีเมียร์ฯเดือนมี.ค.(มีคลิป) https://t.co/eBrT2IsFlf ผ่าน @siamsport_news #mufc #ManUnited #แมนยู #Ronaldo #โรนัลโด้,/mufc/ManUnited/แมนยู/Ronaldo/โรนัลโด้,1,0,10,01/04/2022,12:35,positive
โรนัลโด้,th,수고했어. #ยกเลิก112,@Oilk_Land,2022-04-01 10:55:19+00:00,CIX & BTS & ENHYPEN #MUFC,แมนยูเซ็นต์บรูโน่มาคุ้มมาก ทั้งแบกทีม เป็นเพลย์เมคเก้อ เอเจ้นบรูโน่ไปคุยกับโรนัลโด้ ล่าสุดก็ขายเสื้อซีซั่นหน้าแล้วว่าสวยสุด 5555555555555555555555555555555555555555555,,8,7,0,01/04/2022,10:55,positive
โรนัลโด้,th,ShotonGoal,@ShotongoalTH,2022-04-01 07:30:13+00:00,"Bangkok, Thailand","กระหือรือ! พบสองสาวชูป้ายสุดหื่นหวัง ""ทำลูก"" กับโรนัลโด้
#ShotonGoal #คริสเตียโน่โรนัลโด้ 
https://t.co/lIzF3eUeza",/ShotonGoal/คริสเตียโน่โรนัลโด้,1,0,0,01/04/2022,07:30,negative
โรนัลโด้,th,PPTV HD 36,@PPTVHD36,2022-04-01 05:10:40+00:00,Bangkok,"แมนยู นับถอยหลังรอแยกทาง โรนัลโด้

https://t.co/XWsdKV1DrR

#PPTVHD36 #เรื่องข่าวเรื่องใหญ่ #โรนัลโด้ #แมนยู #ย้ายทีม #พรีเมียร์ลีก",/PPTVHD36/เรื่องข่าวเรื่องใหญ่/โรนัลโด้/แมนยู/ย้ายทีม/พรีเมียร์ลีก,2,1,7,01/04/2022,05:10,negative
โรนัลโด้,th,Matichon Online,@MatichonOnline,2022-04-01 04:30:33+00:00,,"‘จอร์จิน่า’ เมียโรนัลโด้ จัดใหญ่ แจกกระเป๋าหรู-ไอโฟน-PS5 คนแห่ไลก์เป็นล้าน
https://t.co/dSvuBtdZJR",,3,2,11,01/04/2022,04:30,positive
