keyword,language,author,twitter_name,create_at,location,text,hashtag,tweets_count,retweet_count,favourite_count,date,time,sentiment
โรนัลโด้,th,subtle as an earthquake,@volcanikanz,2022-03-22 14:21:19+00:00,Where no mistake could be made,@tmace14 คือถ้าไม่ใช่ดาวค้างฟ้าระดับเมสซี่หรือโรนัลโด้ เก่งแค่ไหนแต่เสือกชื่อยาว ก็มี แป้กอ่ะ 5555,,1,0,0,22/03/2022,14:21,positive
โรนัลโด้,th,Buaksib Thailand,@Buaksib_TH,2022-03-22 02:24:24+00:00,Thailand,"“ลูกากู” สุดปลื้ม เบียด โรนัลโด้ ซิวแข้งเจ๋งสุด เซเรียอา ซีซั่นก่อน #RomeluLukaku @Inter_en @Cristiano   #ฟุตบอลต่างประเทศ #ข่าวบอลนอก #ข่าวฟุตบอล
https://t.co/Gq4PhVzWTx https://t.co/b2UCDeGhmM",/RomeluLukaku/ฟุตบอลต่างประเทศ/ข่าวบอลนอก/ข่าวฟุตบอล,1,0,0,22/03/2022,02:24,positive
โรนัลโด้,th,Sriwat Srisai,@Stoness_11,2022-03-23 13:44:05+00:00,,เป้าหมายในชีวิตผม กลับเป็นการท้าทายและหิวกระหายเหมือน คริสเตียโน่ โรนัลโด้ สะงั้น Siuuuuuuu ⏳👑😂😂,,1,0,0,23/03/2022,13:44,negative
โรนัลโด้,th,New New,@NewNew80981782,2022-03-23 11:10:34+00:00,,@Witthaw57690158 เอดิสัน โรนัลโด้,,1,0,0,23/03/2022,11:10,neutral
โรนัลโด้,th,I_NUN,@INUN44488962,2022-03-23 11:03:06+00:00,,@Witthaw57690158 โรนัลโด้,,1,0,1,23/03/2022,11:03,neutral
โรนัลโด้,th,armybangtan7,@armyban71851260,2022-03-23 11:01:50+00:00,,@Witthaw57690158 โรนัลโด้,,1,0,0,23/03/2022,11:01,neutral
โรนัลโด้,th,fm99activeradio,@fm99activeradio,2022-03-23 06:39:41+00:00,,คริสเตียโน โรนัลโด้ ประกาศสู้เต็มที่ พาโปรตุเกส ผ่านเพลย์ออฟไปฟุตบอลโลก 2022 รอบสุดท้าย #fm99 https://t.co/U018wFfOSF https://t.co/LfthNFWZhh,/fm99,1,0,1,23/03/2022,06:39,positive
โรนัลโด้,th,Buaksib Thailand,@Buaksib_TH,2022-03-23 03:52:24+00:00,Thailand,"ผี สายเปย์ “โรนัลโด้” ยืนหนึ่งรับค่าเหนี่อยแพงสุด พรีเมียร์ลีก @ManUtd  @Cristiano @premierleague #ฟุตบอลต่างประเทศ #ข่าวบอลนอก #ข่าวฟุตบอล
 https://t.co/LciEAzR0xF https://t.co/zRlL9DUJ37",/ฟุตบอลต่างประเทศ/ข่าวบอลนอก/ข่าวฟุตบอล,1,0,1,23/03/2022,03:52,negative
โรนัลโด้,th,Buaksib Thailand,@Buaksib_TH,2022-03-23 03:41:20+00:00,Thailand,"“โรนัลโด้” ปลุกเร้าแข้ง โปรตุเกส ร่วมกันสู้เพื่อตั๋วบอลโลก  @Cristiano  @selecaoportugal  @ManUtd  #บอลโลก #ฟุตบอลต่างประเทศ #ข่าวบอลนอก #ข่าวฟุตบอล
https://t.co/GNczDgo9eM https://t.co/8HyzsZc3xJ",/บอลโลก/ฟุตบอลต่างประเทศ/ข่าวบอลนอก/ข่าวฟุตบอล,1,0,0,23/03/2022,03:41,positive
โรนัลโด้,th,มนุษย์ผู้รักการดูหนังซีรีส์ + กีฬา,@Rhythm_ndBlue,2022-03-24 12:29:22+00:00,,"เกมชี้ชะตา โปรตุเกส และ อิตาลี ว่าจะได้ไปบอลโลกรึป่าว เริ่มแล้วนะคะ นัดแรกคืนนี้เลย ตี 2:45

โปรตุเกส ต้องผ่านตุรกีให้ได้
อิตาลี ต้องผ่านมาซิโดเนียให้ได้

ใครรักโรนัลโด้ บรูโน่ คิเอลลินี่ จอร์จินโญ่ มาเป็นกำลังใจให้พวกเขากัน ถ้าจะไปบอลโลก

❌พวกเขาต้องห้ามแพ้
ต้องชนะเท่านั้น สู้ๆ https://t.co/zC8BZ5p7KP",,15,14,9,24/03/2022,12:29,positive
โรนัลโด้,th,SMMSPORT,@SMMSPORT_News,2022-03-24 07:30:00+00:00,"bangkok,Thailand","โรนัลโด้ นำทัพฝอยทอง รับมือไก่งวง ลุ้นซิวตั๋วบอลโลกรอบสุดท้าย

#SMMSPORT #คริสเตียโน่โรนัลโด้ #ทีมชาติโปรตุเกส #ทีมชาติตุรกี #บอลโลก #WorldCup2022

https://t.co/DWFv7MYu2C",/SMMSPORT/คริสเตียโน่โรนัลโด้/ทีมชาติโปรตุเกส/ทีมชาติตุรกี/บอลโลก/WorldCup2022,1,0,2,24/03/2022,07:30,neutral
โรนัลโด้,th,SMMSPORT,@SMMSPORT_News,2022-03-24 07:10:00+00:00,"bangkok,Thailand","⚽ #EuropeanQualifiers

โรนัลโด้ นำทัพฝอยทองตะบันแข้งกับ ตุรกี หวังคว้าชัยเพื่อลิ่วรอบชิงเพลย์ออฟไปต่อ บอลโลกรอบสุดท้าย, อิตาลี เจองานเบาแต่ไม่เบาใจ ขอใส่เต็มเหนี่ยวนอร์ทมาซิโดเนีย ทะลุชิงดำตั๋วบอลโลก

📱 ผลบอลสดคลิก &gt;&gt;&gt; https://t.co/JFgo5zW6ha

#SMMSPORT #บอลโลก #WorldCup2022 https://t.co/cs2jFJjpU9",/EuropeanQualifiers/SMMSPORT/บอลโลก/WorldCup2022,4,3,3,24/03/2022,07:10,neutral
โรนัลโด้,th,dev,@sailordevny,2022-03-25 18:10:02+00:00,,ใครบอกอีพวกตะวันตกไม่ตาม อีพวกแบบโรนัลโด้ ตระกูลพวกเซเลปชื่อดัง นักแสดงแนวหน้า พวกนักร้อง เดินหอบตามเป็นกระสอบเถอะ,,2,1,0,25/03/2022,18:10,positive
โรนัลโด้,th,Le Père,@Mnakinism,2022-03-25 04:38:25+00:00,Metaverse,โรนัลโด้ ถนัดขวา https://t.co/IJTXhOhqHo,,1,0,1,25/03/2022,04:38,neutral
โรนัลโด้,th,🍀💎𝐕𝐢𝐜𝐭𝐨𝐫𝐲_𝐕¹¹⁸,@Victory_V3,2022-03-26 10:56:59+00:00,,"3 คนในโลก! “คิมแทฮยอง” หรือ #BTSV กลายเป็นคนดังชายเพียง 3 คนในโลกที่มีคนกดถูกใจภาพบน Instagram มากกว่า 18 ล้านไลก์ด้วยกันถึง 3 โพสต์

ต่อจาก “คริสเตียโน่ โรนัลโด้” และ “ลิโอเนล เมสซี่” สองซุปเปอร์สตาร์ดาวดังระดับโลกของวงการฟุตบอลที่ทั่วโลกล้วนยอมรับและให้การยกย่องอย่างมากมาย https://t.co/EGLjbt2h2x",/BTSV,110,109,49,26/03/2022,10:56,positive
โรนัลโด้,th,DongHae1015,@Champpoikik,2022-03-26 08:18:18+00:00,,"วาทะลูกหนังขอเสนอ  “น้ำตาของโรนัลโด้"" https://t.co/c4EZOjdosF ผ่าน @YouTube",,1,0,0,26/03/2022,08:18,neutral
